"Title","EBacc entry by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","State-funded special schools","0","8235"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","State-funded special schools","!","403"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","State-funded special schools","!","703"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","State-funded special schools","!","517"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","State-funded special schools","!","18"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","All state-funded schools","38","422763"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","All state-funded schools","42","22868"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","All state-funded schools","47","51218"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","All state-funded schools","43","27924"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","All state-funded schools","63","2026"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","All state-funded mainstream schools","40","530580"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","39","191701"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Academies and free schools","42","337452"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Sponsored academies","30","85080"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Converter academies","46","247551"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Free schools","50","1838"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","University technical colleges","12","1864"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Studio schools","5","1119"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","3","885"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","State-funded special schools","!","10109"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","England","Country","E92000001","All pupils","All state-funded schools","40","540689  "
