"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 1,000 population by ethnicity, gender, and PFA","Proportion of arrests of this ethnicity, in this year, of this gender and in this police force area (excludes unreported)"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","61","449","135.86","0.55%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","17","1,085","15.67","0.15%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area"," -   ","1,628"," -   ","0.00%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area"," -   "," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","10,962","247,850","44.23","98.72%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","675","18,710","36.08","2.44%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","1,658","17,082","97.06","5.98%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","364","7,754","46.94","1.31%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","561","13,868","40.45","2.02%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","489"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","24,449","785,607","31.12","88.24%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","206","5,053","40.77","1.73%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","494","2,559","193.04","4.16%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","136","1,402","97","1.14%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","310","4,312","71.89","2.61%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","602"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","10,736","279,260","38.44","90.36%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","4,670","125,846","37.11","6.45%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","3,421","37,168","92.04","4.72%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","759","28,808","26.35","1.05%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","2,311","30,265","76.36","3.19%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","1,044"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","61,297","1,103,368","55.55","84.60%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","238","5,173","46.01","1.79%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","190","1,789","106.2","1.43%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","77","2,063","37.32","0.58%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","189","2,832","66.74","1.42%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","14"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","12,632","270,853","46.64","94.79%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","649","28,777","22.55","1.85%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","1,029","9,202","111.82","2.93%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","404","11,080","36.46","1.15%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","583","15,831","36.83","1.66%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","1,796"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","32,508","870,126","37.36","92.42%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","655","32,070","20.42","4.66%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","917","15,423","59.46","6.53%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","150","7,760","19.33","1.07%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","505","13,658","36.97","3.59%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","4,920"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","11,825","478,199","24.73","84.15%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","290","6,360","45.6","1.47%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","264","2,490","106.02","1.34%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","144","4,147","34.72","0.73%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","186","4,304","43.22","0.94%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","358"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","18,850","435,377","43.3","95.52%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","1,117","27,497","40.62","3.44%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","1,290","11,341","113.75","3.97%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","979","8,021","122.05","3.01%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","456","13,841","32.95","1.40%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","2,620"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","28,638","785,738","36.45","88.17%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","1,874","54,702","34.26","4.46%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","204","2,957","68.99","0.49%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","40","5,727","6.98","0.10%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","666","8,225","80.97","1.58%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","926"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","39,244","646,857","60.67","93.38%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","2,220","77,517","28.64","11.18%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","1,147","12,135","94.52","5.78%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","284","10,054","28.25","1.43%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","620","10,276","60.33","3.12%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","386"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","15,585","393,233","39.63","78.49%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","107","2,691","39.76","1.40%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","87","1,385","62.82","1.14%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","42","1,414","29.7","0.55%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","69","3,081","22.4","0.91%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","8,246"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","7,312","339,034","21.57","96.00%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","London, City of","Police Force Area","505"," N/A "," N/A ","14.13%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","London, City of","Police Force Area","696"," N/A "," N/A ","19.47%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","London, City of","Police Force Area","153"," N/A "," N/A ","4.28%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","London, City of","Police Force Area","155"," N/A "," N/A ","4.34%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","London, City of","Police Force Area","341"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","London, City of","Police Force Area","2,066"," N/A "," N/A ","57.79%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Merseyside","Police Force Area","227","9,956","22.8","0.79%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Merseyside","Police Force Area","704","7,760","90.72","2.45%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Merseyside","Police Force Area","317","11,922","26.59","1.10%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Merseyside","Police Force Area","453","10,522","43.05","1.58%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Merseyside","Police Force Area","1,755"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Merseyside","Police Force Area","27,026","630,874","42.84","94.08%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Metropolitan Police","Police Force Area","19,559","704,796","27.75","10.64%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Metropolitan Police","Police Force Area","51,292","507,676","101.03","27.91%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Metropolitan Police","Police Force Area","8,093","206,877","39.12","4.40%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Metropolitan Police","Police Force Area","12,032","198,416","60.64","6.55%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Metropolitan Police","Police Force Area","4,641"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Metropolitan Police","Police Force Area","92,804","2,411,433","38.49","50.50%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Norfolk","Police Force Area","92","4,683","19.65","0.95%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Norfolk","Police Force Area","251","2,442","102.78","2.60%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Norfolk","Police Force Area","69","2,666","25.88","0.71%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Norfolk","Police Force Area","128","5,073","25.23","1.32%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Norfolk","Police Force Area","343"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Norfolk","Police Force Area","9,128","405,296","22.52","94.41%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Wales","Police Force Area","87","3,433","25.34","0.46%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Wales","Police Force Area","70","802","87.28","0.37%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Wales","Police Force Area","41","2,416","16.97","0.22%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Wales","Police Force Area","47","2,555","18.4","0.25%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Wales","Police Force Area","433"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Wales","Police Force Area","18,810","329,009","57.17","98.71%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","North Yorkshire","Police Force Area","132","5,100","25.88","0.90%"
