"Measure","Year","Ethnicity","Sex","NS-SEC","Threshold","Mean","Percentage","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Anxiety","2015","White","All","All","All","2.84","N/A","2.86","2.83","147930"
"Anxiety","2016","White","All","All","All","2.88","N/A","2.9","2.86","137650"
"Anxiety","2017","White","All","All","All","2.89","N/A","2.91","2.87","138710"
"Anxiety","2012","Arab","All","All","Medium  (4 - 5)","N/A","22.53","28.01","17.05","-"
"Anxiety","2012","Arab","All","All","Very Low  (0 - 1)","N/A","34.71","42.31","27.12","-"
"Anxiety","2012","Arab","All","All","Low  (2 - 3)","N/A","21.46","26.95","15.96","-"
"Anxiety","2012","Arab","All","All","High  (6 - 10)","N/A","21.3","26.5","16.1","-"
"Anxiety","2013","Arab","All","All","Medium  (4 - 5)","N/A","21.32","26.7","15.95","-"
"Anxiety","2013","Arab","All","All","Very Low  (0 - 1)","N/A","28.51","34.62","22.39","-"
"Anxiety","2013","Arab","All","All","Low  (2 - 3)","N/A","25.76","31.81","19.71","-"
"Anxiety","2013","Arab","All","All","High  (6 - 10)","N/A","24.41","29.97","18.84","-"
"Anxiety","2014","Arab","All","All","Medium  (4 - 5)","N/A","22.15","28.15","16.14","-"
"Anxiety","2014","Arab","All","All","Very Low  (0 - 1)","N/A","30.28","36.42","24.14","-"
"Anxiety","2014","Arab","All","All","Low  (2 - 3)","N/A","25.68","31.46","19.9","-"
"Anxiety","2014","Arab","All","All","High  (6 - 10)","N/A","21.9","26.84","16.96","-"
"Anxiety","2015","Arab","All","All","Medium  (4 - 5)","N/A","23.59","29.75","17.42","-"
"Anxiety","2015","Arab","All","All","Very Low  (0 - 1)","N/A","30.53","36.71","24.34","-"
"Anxiety","2015","Arab","All","All","Low  (2 - 3)","N/A","21.83","27.22","16.44","-"
"Anxiety","2015","Arab","All","All","High  (6 - 10)","N/A","24.06","29.38","18.73","-"
"Anxiety","2016","Arab","All","All","Medium  (4 - 5)","N/A","21.02","26.1","15.94","-"
"Anxiety","2016","Arab","All","All","Very Low  (0 - 1)","N/A","33.78","40.59","26.97","-"
"Anxiety","2016","Arab","All","All","Low  (2 - 3)","N/A","20.55","25.43","15.68","-"
"Anxiety","2016","Arab","All","All","High  (6 - 10)","N/A","24.65","30.39","18.9","-"
"Anxiety","2017","Arab","All","All","Medium  (4 - 5)","N/A","18.36","23.46","13.27","-"
"Anxiety","2017","Arab","All","All","Very Low  (0 - 1)","N/A","32.84","39.39","26.3","-"
"Anxiety","2017","Arab","All","All","Low  (2 - 3)","N/A","24.62","30.02","19.22","-"
"Anxiety","2017","Arab","All","All","High  (6 - 10)","N/A","24.17","29.67","18.67","-"
"Anxiety","2012","Bangladeshi","All","All","Medium  (4 - 5)","N/A","21.56","26.29","16.84","-"
"Anxiety","2012","Bangladeshi","All","All","Very Low  (0 - 1)","N/A","35.15","40.08","30.22","-"
"Anxiety","2012","Bangladeshi","All","All","Low  (2 - 3)","N/A","22.1","26.4","17.8","-"
"Anxiety","2012","Bangladeshi","All","All","High  (6 - 10)","N/A","21.18","25.1","17.27","-"
"Anxiety","2013","Bangladeshi","All","All","Medium  (4 - 5)","N/A","18.81","22.53","15.1","-"
"Anxiety","2013","Bangladeshi","All","All","Very Low  (0 - 1)","N/A","40.22","45.51","34.93","-"
"Anxiety","2013","Bangladeshi","All","All","Low  (2 - 3)","N/A","21","25.22","16.78","-"
"Anxiety","2013","Bangladeshi","All","All","High  (6 - 10)","N/A","19.97","23.76","16.18","-"
"Anxiety","2014","Bangladeshi","All","All","Medium  (4 - 5)","N/A","15.9","19.67","12.13","-"
"Anxiety","2014","Bangladeshi","All","All","Very Low  (0 - 1)","N/A","42.59","47.67","37.52","-"
"Anxiety","2014","Bangladeshi","All","All","Low  (2 - 3)","N/A","23.9","28.19","19.61","-"
"Anxiety","2014","Bangladeshi","All","All","High  (6 - 10)","N/A","17.61","21.73","13.49","-"
"Anxiety","2015","Bangladeshi","All","All","Medium  (4 - 5)","N/A","18.91","22.75","15.07","-"
"Anxiety","2015","Bangladeshi","All","All","Very Low  (0 - 1)","N/A","39.05","44.11","33.99","-"
"Anxiety","2015","Bangladeshi","All","All","Low  (2 - 3)","N/A","21.64","25.93","17.34","-"
"Anxiety","2015","Bangladeshi","All","All","High  (6 - 10)","N/A","20.41","24.67","16.14","-"
"Anxiety","2016","Bangladeshi","All","All","Medium  (4 - 5)","N/A","21.92","26.05","17.79","-"
"Anxiety","2016","Bangladeshi","All","All","Very Low  (0 - 1)","N/A","39.37","44.8","33.94","-"
"Anxiety","2016","Bangladeshi","All","All","Low  (2 - 3)","N/A","20.59","24.53","16.64","-"
"Anxiety","2016","Bangladeshi","All","All","High  (6 - 10)","N/A","18.12","22.21","14.03","-"
"Anxiety","2017","Bangladeshi","All","All","Medium  (4 - 5)","N/A","20.45","24.39","16.52","-"
"Anxiety","2017","Bangladeshi","All","All","Very Low  (0 - 1)","N/A","37.25","43.07","31.42","-"
"Anxiety","2017","Bangladeshi","All","All","Low  (2 - 3)","N/A","23.08","27.41","18.74","-"
"Anxiety","2017","Bangladeshi","All","All","High  (6 - 10)","N/A","19.22","23.04","15.4","-"
"Anxiety","2012","Black / African / Caribbean / Black British","All","All","Medium  (4 - 5)","N/A","18.41","20.09","16.74","-"
"Anxiety","2012","Black / African / Caribbean / Black British","All","All","Very Low  (0 - 1)","N/A","35.42","37.49","33.35","-"
"Anxiety","2012","Black / African / Caribbean / Black British","All","All","Low  (2 - 3)","N/A","24.03","25.87","22.18","-"
"Anxiety","2012","Black / African / Caribbean / Black British","All","All","High  (6 - 10)","N/A","22.14","23.88","20.4","-"
"Anxiety","2013","Black / African / Caribbean / Black British","All","All","Medium  (4 - 5)","N/A","18.92","20.78","17.06","-"
"Anxiety","2013","Black / African / Caribbean / Black British","All","All","Very Low  (0 - 1)","N/A","38.06","40.21","35.92","-"
"Anxiety","2013","Black / African / Caribbean / Black British","All","All","Low  (2 - 3)","N/A","21.28","23.03","19.53","-"
"Anxiety","2013","Black / African / Caribbean / Black British","All","All","High  (6 - 10)","N/A","21.73","23.45","20.02","-"
"Anxiety","2014","Black / African / Caribbean / Black British","All","All","Medium  (4 - 5)","N/A","19.12","20.84","17.41","-"
"Anxiety","2014","Black / African / Caribbean / Black British","All","All","Very Low  (0 - 1)","N/A","41.04","43.22","38.87","-"
"Anxiety","2014","Black / African / Caribbean / Black British","All","All","Low  (2 - 3)","N/A","20.85","22.63","19.06","-"
"Anxiety","2014","Black / African / Caribbean / Black British","All","All","High  (6 - 10)","N/A","18.98","20.63","17.34","-"
"Anxiety","2015","Black / African / Caribbean / Black British","All","All","Medium  (4 - 5)","N/A","17.12","18.72","15.52","-"
"Anxiety","2015","Black / African / Caribbean / Black British","All","All","Very Low  (0 - 1)","N/A","42.03","44.19","39.86","-"
"Anxiety","2015","Black / African / Caribbean / Black British","All","All","Low  (2 - 3)","N/A","23.16","24.98","21.34","-"
"Anxiety","2015","Black / African / Caribbean / Black British","All","All","High  (6 - 10)","N/A","17.69","19.22","16.17","-"
"Anxiety","2016","Black / African / Caribbean / Black British","All","All","Medium  (4 - 5)","N/A","16.95","18.61","15.28","-"
"Anxiety","2016","Black / African / Caribbean / Black British","All","All","Very Low  (0 - 1)","N/A","40.81","43.03","38.6","-"
"Anxiety","2016","Black / African / Caribbean / Black British","All","All","Low  (2 - 3)","N/A","22.97","24.8","21.13","-"
"Anxiety","2016","Black / African / Caribbean / Black British","All","All","High  (6 - 10)","N/A","19.27","20.91","17.63","-"
"Anxiety","2017","Black / African / Caribbean / Black British","All","All","Medium  (4 - 5)","N/A","19.42","21.28","17.56","-"
"Anxiety","2017","Black / African / Caribbean / Black British","All","All","Very Low  (0 - 1)","N/A","38.6","40.85","36.36","-"
"Anxiety","2017","Black / African / Caribbean / Black British","All","All","Low  (2 - 3)","N/A","21.05","22.85","19.25","-"
"Anxiety","2017","Black / African / Caribbean / Black British","All","All","High  (6 - 10)","N/A","20.93","22.73","19.12","-"
"Anxiety","2012","Chinese","All","All","Medium  (4 - 5)","N/A","18.29","21.93","14.65","-"
"Anxiety","2012","Chinese","All","All","Very Low  (0 - 1)","N/A","32.94","37.91","27.96","-"
"Anxiety","2012","Chinese","All","All","Low  (2 - 3)","N/A","29.58","34.87","24.3","-"
"Anxiety","2012","Chinese","All","All","High  (6 - 10)","N/A","19.18","23.64","14.73","-"
"Anxiety","2013","Chinese","All","All","Medium  (4 - 5)","N/A","19.74","24.15","15.33","-"
"Anxiety","2013","Chinese","All","All","Very Low  (0 - 1)","N/A","32.68","37.73","27.63","-"
"Anxiety","2013","Chinese","All","All","Low  (2 - 3)","N/A","33.01","39.13","26.89","-"
"Anxiety","2013","Chinese","All","All","High  (6 - 10)","N/A","14.58","18.42","10.73","-"
"Anxiety","2014","Chinese","All","All","Medium  (4 - 5)","N/A","19.08","23.01","15.16","-"
"Anxiety","2014","Chinese","All","All","Very Low  (0 - 1)","N/A","34.97","40.12","29.82","-"
"Anxiety","2014","Chinese","All","All","Low  (2 - 3)","N/A","25.21","29.96","20.47","-"
"Anxiety","2014","Chinese","All","All","High  (6 - 10)","N/A","20.73","26.46","15","-"
"Anxiety","2015","Chinese","All","All","Medium  (4 - 5)","N/A","20.55","25","16.09","-"
"Anxiety","2015","Chinese","All","All","Very Low  (0 - 1)","N/A","38.83","44.22","33.45","-"
"Anxiety","2015","Chinese","All","All","Low  (2 - 3)","N/A","25.07","29.6","20.54","-"
"Anxiety","2015","Chinese","All","All","High  (6 - 10)","N/A","15.55","19.28","11.82","-"
"Anxiety","2016","Chinese","All","All","Medium  (4 - 5)","N/A","18.42","22.64","14.2","-"
"Anxiety","2016","Chinese","All","All","Very Low  (0 - 1)","N/A","38.26","43.92","32.6","-"
"Anxiety","2016","Chinese","All","All","Low  (2 - 3)","N/A","27.81","33.05","22.58","-"
"Anxiety","2016","Chinese","All","All","High  (6 - 10)","N/A","15.51","18.8","12.21","-"
"Anxiety","2017","Chinese","All","All","Medium  (4 - 5)","N/A","19.64","23.81","15.47","-"
"Anxiety","2017","Chinese","All","All","Very Low  (0 - 1)","N/A","34.41","39.44","29.38","-"
"Anxiety","2017","Chinese","All","All","Low  (2 - 3)","N/A","24.96","29.88","20.04","-"
"Anxiety","2017","Chinese","All","All","High  (6 - 10)","N/A","20.99","25.64","16.34","-"
"Anxiety","2012","Gypsy / Traveller / Irish Traveller","All","All","Medium  (4 - 5)","N/A","?","?","?","-"
"Anxiety","2012","Gypsy / Traveller / Irish Traveller","All","All","Very Low  (0 - 1)","N/A","?","?","?","-"
"Anxiety","2012","Gypsy / Traveller / Irish Traveller","All","All","Low  (2 - 3)","N/A","?","?","?","-"
"Anxiety","2012","Gypsy / Traveller / Irish Traveller","All","All","High  (6 - 10)","N/A","?","?","?","-"
"Anxiety","2013","Gypsy / Traveller / Irish Traveller","All","All","Medium  (4 - 5)","N/A","?","?","?","-"
"Anxiety","2013","Gypsy / Traveller / Irish Traveller","All","All","Very Low  (0 - 1)","N/A","?","?","?","-"
"Anxiety","2013","Gypsy / Traveller / Irish Traveller","All","All","Low  (2 - 3)","N/A","?","?","?","-"
"Anxiety","2013","Gypsy / Traveller / Irish Traveller","All","All","High  (6 - 10)","N/A","?","?","?","-"
"Anxiety","2014","Gypsy / Traveller / Irish Traveller","All","All","Medium  (4 - 5)","N/A","?","?","?","-"
"Anxiety","2014","Gypsy / Traveller / Irish Traveller","All","All","Very Low  (0 - 1)","N/A","?","?","?","-"
"Anxiety","2014","Gypsy / Traveller / Irish Traveller","All","All","Low  (2 - 3)","N/A","?","?","?","-"
"Anxiety","2014","Gypsy / Traveller / Irish Traveller","All","All","High  (6 - 10)","N/A","?","?","?","-"
"Anxiety","2015","Gypsy / Traveller / Irish Traveller","All","All","Medium  (4 - 5)","N/A","?","?","?","-"
"Anxiety","2015","Gypsy / Traveller / Irish Traveller","All","All","Very Low  (0 - 1)","N/A","?","?","?","-"
"Anxiety","2015","Gypsy / Traveller / Irish Traveller","All","All","Low  (2 - 3)","N/A","?","?","?","-"
"Anxiety","2015","Gypsy / Traveller / Irish Traveller","All","All","High  (6 - 10)","N/A","?","?","?","-"
"Anxiety","2016","Gypsy / Traveller / Irish Traveller","All","All","Medium  (4 - 5)","N/A","?","?","?","-"
"Anxiety","2016","Gypsy / Traveller / Irish Traveller","All","All","Very Low  (0 - 1)","N/A","?","?","?","-"
"Anxiety","2016","Gypsy / Traveller / Irish Traveller","All","All","Low  (2 - 3)","N/A","?","?","?","-"
"Anxiety","2016","Gypsy / Traveller / Irish Traveller","All","All","High  (6 - 10)","N/A","?","?","?","-"
"Anxiety","2017","Gypsy / Traveller / Irish Traveller","All","All","Medium  (4 - 5)","N/A","?","?","?","-"
"Anxiety","2017","Gypsy / Traveller / Irish Traveller","All","All","Very Low  (0 - 1)","N/A","?","?","?","-"
"Anxiety","2017","Gypsy / Traveller / Irish Traveller","All","All","Low  (2 - 3)","N/A","?","?","?","-"
"Anxiety","2017","Gypsy / Traveller / Irish Traveller","All","All","High  (6 - 10)","N/A","?","?","?","-"
"Anxiety","2012","Indian","All","All","Medium  (4 - 5)","N/A","20.47","22.53","18.4","-"
"Anxiety","2012","Indian","All","All","Very Low  (0 - 1)","N/A","34.33","36.69","31.96","-"
"Anxiety","2012","Indian","All","All","Low  (2 - 3)","N/A","23.77","25.83","21.7","-"
"Anxiety","2012","Indian","All","All","High  (6 - 10)","N/A","21.44","23.39","19.49","-"
"Anxiety","2013","Indian","All","All","Medium  (4 - 5)","N/A","18.68","20.48","16.87","-"
"Anxiety","2013","Indian","All","All","Very Low  (0 - 1)","N/A","34.79","37.11","32.48","-"
"Anxiety","2013","Indian","All","All","Low  (2 - 3)","N/A","26.32","28.49","24.16","-"
"Anxiety","2013","Indian","All","All","High  (6 - 10)","N/A","20.21","22.04","18.37","-"
"Anxiety","2014","Indian","All","All","Medium  (4 - 5)","N/A","17.84","19.52","16.16","-"
"Anxiety","2014","Indian","All","All","Very Low  (0 - 1)","N/A","37.78","40.17","35.39","-"
"Anxiety","2014","Indian","All","All","Low  (2 - 3)","N/A","25.11","27.22","23","-"
"Anxiety","2014","Indian","All","All","High  (6 - 10)","N/A","19.27","21.05","17.49","-"
"Anxiety","2015","Indian","All","All","Medium  (4 - 5)","N/A","17.67","19.54","15.8","-"
"Anxiety","2015","Indian","All","All","Very Low  (0 - 1)","N/A","38.15","40.58","35.72","-"
"Anxiety","2015","Indian","All","All","Low  (2 - 3)","N/A","24.33","26.4","22.26","-"
"Anxiety","2015","Indian","All","All","High  (6 - 10)","N/A","19.86","21.81","17.9","-"
"Anxiety","2016","Indian","All","All","Medium  (4 - 5)","N/A","18.18","20.05","16.31","-"
"Anxiety","2016","Indian","All","All","Very Low  (0 - 1)","N/A","38.85","41.22","36.47","-"
"Anxiety","2016","Indian","All","All","Low  (2 - 3)","N/A","24.13","26.35","21.9","-"
"Anxiety","2016","Indian","All","All","High  (6 - 10)","N/A","18.85","20.66","17.03","-"
"Anxiety","2017","Indian","All","All","Medium  (4 - 5)","N/A","20.74","22.84","18.65","-"
"Anxiety","2017","Indian","All","All","Very Low  (0 - 1)","N/A","36.79","39.28","34.31","-"
"Anxiety","2017","Indian","All","All","Low  (2 - 3)","N/A","23.41","25.52","21.29","-"
"Anxiety","2017","Indian","All","All","High  (6 - 10)","N/A","19.06","21.01","17.1","-"
"Anxiety","2012","Mixed / Multiple ethnic groups","All","All","Medium  (4 - 5)","N/A","19.01","22.32","15.71","-"
"Anxiety","2012","Mixed / Multiple ethnic groups","All","All","Very Low  (0 - 1)","N/A","32.16","35.95","28.37","-"
"Anxiety","2012","Mixed / Multiple ethnic groups","All","All","Low  (2 - 3)","N/A","22.98","26.47","19.49","-"
"Anxiety","2012","Mixed / Multiple ethnic groups","All","All","High  (6 - 10)","N/A","25.85","29.45","22.26","-"
"Anxiety","2013","Mixed / Multiple ethnic groups","All","All","Medium  (4 - 5)","N/A","15.64","18.65","12.64","-"
"Anxiety","2013","Mixed / Multiple ethnic groups","All","All","Very Low  (0 - 1)","N/A","42.08","46.35","37.8","-"
"Anxiety","2013","Mixed / Multiple ethnic groups","All","All","Low  (2 - 3)","N/A","22.77","26.57","18.97","-"
"Anxiety","2013","Mixed / Multiple ethnic groups","All","All","High  (6 - 10)","N/A","19.51","22.72","16.3","-"
"Anxiety","2014","Mixed / Multiple ethnic groups","All","All","Medium  (4 - 5)","N/A","20.4","23.64","17.16","-"
"Anxiety","2014","Mixed / Multiple ethnic groups","All","All","Very Low  (0 - 1)","N/A","34.17","37.74","30.6","-"
"Anxiety","2014","Mixed / Multiple ethnic groups","All","All","Low  (2 - 3)","N/A","23.54","26.86","20.22","-"
"Anxiety","2014","Mixed / Multiple ethnic groups","All","All","High  (6 - 10)","N/A","21.89","24.96","18.82","-"
"Anxiety","2015","Mixed / Multiple ethnic groups","All","All","Medium  (4 - 5)","N/A","19.91","23.25","16.57","-"
"Anxiety","2015","Mixed / Multiple ethnic groups","All","All","Very Low  (0 - 1)","N/A","32.33","35.99","28.67","-"
"Anxiety","2015","Mixed / Multiple ethnic groups","All","All","Low  (2 - 3)","N/A","25.24","28.86","21.62","-"
"Anxiety","2015","Mixed / Multiple ethnic groups","All","All","High  (6 - 10)","N/A","22.52","25.83","19.22","-"
"Anxiety","2016","Mixed / Multiple ethnic groups","All","All","Medium  (4 - 5)","N/A","18.82","21.93","15.71","-"
"Anxiety","2016","Mixed / Multiple ethnic groups","All","All","Very Low  (0 - 1)","N/A","35.02","39.06","30.98","-"
"Anxiety","2016","Mixed / Multiple ethnic groups","All","All","Low  (2 - 3)","N/A","24.22","27.64","20.8","-"
"Anxiety","2016","Mixed / Multiple ethnic groups","All","All","High  (6 - 10)","N/A","21.95","25.16","18.73","-"
"Anxiety","2017","Mixed / Multiple ethnic groups","All","All","Medium  (4 - 5)","N/A","17.07","19.95","14.19","-"
"Anxiety","2017","Mixed / Multiple ethnic groups","All","All","Very Low  (0 - 1)","N/A","36.58","40.5","32.65","-"
"Anxiety","2017","Mixed / Multiple ethnic groups","All","All","Low  (2 - 3)","N/A","22.32","25.58","19.06","-"
"Anxiety","2017","Mixed / Multiple ethnic groups","All","All","High  (6 - 10)","N/A","24.03","27.38","20.68","-"
"Anxiety","2012","Other Asian background","All","All","Medium  (4 - 5)","N/A","20.53","23.64","17.41","-"
"Anxiety","2012","Other Asian background","All","All","Very Low  (0 - 1)","N/A","34.89","38.48","31.29","-"
"Anxiety","2012","Other Asian background","All","All","Low  (2 - 3)","N/A","23.31","26.42","20.2","-"
"Anxiety","2012","Other Asian background","All","All","High  (6 - 10)","N/A","21.27","24.2","18.34","-"
"Anxiety","2013","Other Asian background","All","All","Medium  (4 - 5)","N/A","18.77","22.22","15.33","-"
"Anxiety","2013","Other Asian background","All","All","Very Low  (0 - 1)","N/A","35.32","39.24","31.4","-"
"Anxiety","2013","Other Asian background","All","All","Low  (2 - 3)","N/A","22.03","25.29","18.77","-"
"Anxiety","2013","Other Asian background","All","All","High  (6 - 10)","N/A","23.88","27.14","20.62","-"
"Anxiety","2014","Other Asian background","All","All","Medium  (4 - 5)","N/A","17.6","20.56","14.63","-"
"Anxiety","2014","Other Asian background","All","All","Very Low  (0 - 1)","N/A","39.42","43.19","35.65","-"
"Anxiety","2014","Other Asian background","All","All","Low  (2 - 3)","N/A","24","27.12","20.87","-"
"Anxiety","2014","Other Asian background","All","All","High  (6 - 10)","N/A","18.99","21.92","16.06","-"
"Anxiety","2015","Other Asian background","All","All","Medium  (4 - 5)","N/A","18.08","21.05","15.12","-"
"Anxiety","2015","Other Asian background","All","All","Very Low  (0 - 1)","N/A","37.45","41.24","33.66","-"
"Anxiety","2015","Other Asian background","All","All","Low  (2 - 3)","N/A","25.89","29.14","22.63","-"
"Anxiety","2015","Other Asian background","All","All","High  (6 - 10)","N/A","18.58","21.45","15.71","-"
"Anxiety","2016","Other Asian background","All","All","Medium  (4 - 5)","N/A","19.95","22.99","16.92","-"
"Anxiety","2016","Other Asian background","All","All","Very Low  (0 - 1)","N/A","39.21","43.01","35.4","-"
"Anxiety","2016","Other Asian background","All","All","Low  (2 - 3)","N/A","23.33","26.62","20.03","-"
"Anxiety","2016","Other Asian background","All","All","High  (6 - 10)","N/A","17.51","20.24","14.79","-"
"Anxiety","2017","Other Asian background","All","All","Medium  (4 - 5)","N/A","18.09","21.16","15.02","-"
"Anxiety","2017","Other Asian background","All","All","Very Low  (0 - 1)","N/A","40.84","44.78","36.89","-"
"Anxiety","2017","Other Asian background","All","All","Low  (2 - 3)","N/A","23.91","27.35","20.46","-"
"Anxiety","2017","Other Asian background","All","All","High  (6 - 10)","N/A","17.17","19.98","14.37","-"
"Anxiety","2012","Other ethnic group","All","All","Medium  (4 - 5)","N/A","19.55","22.19","16.91","-"
"Anxiety","2012","Other ethnic group","All","All","Very Low  (0 - 1)","N/A","30.17","33.37","26.97","-"
"Anxiety","2012","Other ethnic group","All","All","Low  (2 - 3)","N/A","25.59","28.62","22.56","-"
"Anxiety","2012","Other ethnic group","All","All","High  (6 - 10)","N/A","24.69","27.87","21.51","-"
"Anxiety","2013","Other ethnic group","All","All","Medium  (4 - 5)","N/A","17.65","20.12","15.17","-"
"Anxiety","2013","Other ethnic group","All","All","Very Low  (0 - 1)","N/A","33.64","36.85","30.44","-"
"Anxiety","2013","Other ethnic group","All","All","Low  (2 - 3)","N/A","25.12","28.07","22.16","-"
"Anxiety","2013","Other ethnic group","All","All","High  (6 - 10)","N/A","23.6","26.62","20.57","-"
"Anxiety","2014","Other ethnic group","All","All","Medium  (4 - 5)","N/A","18.83","21.44","16.22","-"
