"Title","Household income"
"Location","United Kingdom"
"Time period","2013/14 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","221","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","236","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","236","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","236","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","236","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","236","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","236","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","236","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","236","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","236","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","236","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","236","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","420","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","420","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","420","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","420","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","420","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","420","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","420","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","420","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","420","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","420","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","420","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,457","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,457","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","1,457","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","1,457","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","1,457","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,457","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,457","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,457","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,457","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,457","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","1,457","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","597","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","597","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","597","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","597","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","597","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","597","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","597","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","597","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","597","","","",""
