"Title","Household income"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Ethnicity","measure","value","time","time_type","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age_Bracket","Age_Bracket_Type"
"Pakistani","Percentage of households with incomes of £100 but less than £200","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £100 but less than £200","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £100 but less than £200","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £100 but less than £200","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £100 but less than £200","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £100 but less than £200","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £200 but less than £300","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £200 but less than £300","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £200 but less than £300","15","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £200 but less than £300","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £200 but less than £300","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £200 but less than £300","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £200 but less than £300","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £200 but less than £300","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £200 but less than £300","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £200 but less than £300","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £300 but less than £400","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £300 but less than £400","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £300 but less than £400","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £300 but less than £400","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £300 but less than £400","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £300 but less than £400","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £300 but less than £400","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £300 but less than £400","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £300 but less than £400","14","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £300 but less than £400","14","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £400 but less than £500","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £400 but less than £500","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £400 but less than £500","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £400 but less than £500","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £400 but less than £500","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £400 but less than £500","16","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £400 but less than £500","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £400 but less than £500","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £400 but less than £500","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £400 but less than £500","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £500 but less than £600","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £500 but less than £600","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £500 but less than £600","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £500 but less than £600","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £500 but less than £600","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £500 but less than £600","12","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £500 but less than £600","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £500 but less than £600","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £500 but less than £600","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £500 but less than £600","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £600 but less than £700","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £600 but less than £700","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £600 but less than £700","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £600 but less than £700","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £600 but less than £700","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £600 but less than £700","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £600 but less than £700","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £600 but less than £700","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £600 but less than £700","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £600 but less than £700","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £700 but less than £800","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £700 but less than £800","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £700 but less than £800","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £700 but less than £800","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £700 but less than £800","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £700 but less than £800","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £700 but less than £800","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £700 but less than £800","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £700 but less than £800","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £700 but less than £800","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £800 but less than £900","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £800 but less than £900","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £800 but less than £900","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £800 but less than £900","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £900 but less than £1,000","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £900 but less than £1,000","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £900 but less than £1,000","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £900 but less than £1,000","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of £900 but less than £1,000","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of £900 but less than £1,000","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of £900 but less than £1,000","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of £900 but less than £1,000","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of £900 but less than £1,000","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of £900 but less than £1,000","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All"," Percentage of households with incomes of £1,000 or more ","25","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White"," Percentage of households with incomes of £1,000 or more ","25","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed"," Percentage of households with incomes of £1,000 or more ","22","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian"," Percentage of households with incomes of £1,000 or more ","38","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani"," Percentage of households with incomes of £1,000 or more ","18","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi"," Percentage of households with incomes of £1,000 or more ","20","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese"," Percentage of households with incomes of £1,000 or more ","32","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other"," Percentage of households with incomes of £1,000 or more ","30","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black"," Percentage of households with incomes of £1,000 or more ","17","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other"," Percentage of households with incomes of £1,000 or more ","24","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Sample size","58242","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Sample size","53560","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Sample size","509","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Sample size","991","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Sample size","585","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Sample size","234","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Sample size","217","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Sample size","353","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Sample size","1323","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Sample size","470","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
