"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Measure","Time","Time_type","Region","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominators"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","15","%","24,111"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","4,869"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","24","%","2,983"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","11,771"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","8","%","7,541"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","All","All","Boys","All/Boys/Girls","10","%","328,249"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","9","%","244,555"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","219,455"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","898"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","1","%","323"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","1","%","1,243"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","22,636"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","12","%","19,275"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","7","%","4,939"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","2,772"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","4,602"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","6,962"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","11","%","34,773"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","9,412"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","7","%","14,430"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","10","%","5,175"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","13","%","5,756"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","10","%","18,178"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","7","%","3,419"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","11","%","12,246"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","2,513"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","20","%","1,539"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","6,053"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","6","%","3,876"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","All","All","Girls","All/Boys/Girls","17","%","313,344"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","17","%","232,742"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","17","%","209,001"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","22","%","827"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","3","%","281"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1","%","1,174"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","15","%","21,459"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","19","%","18,616"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","13","%","4,869"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","18","%","2,731"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","25","%","4,275"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","21","%","6,741"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","19","%","33,539"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","27","%","9,023"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","13","%","13,728"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","17","%","5,208"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","21","%","5,580"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","17","%","17,620"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","13","%","3,399"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","19","%","11,865"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","16","%","2,356"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","29","%","1,444"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","14","%","5,718"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","11","%","3,665"
