"Title","Employment by sector"
"Time period","2004 to 2016"
"Location","United Kingdom"
"Source","Annual Population Survey"
"Department","Department for Business, Energy & Industrial Strategy"
"Last update","n/a"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Industry,Value,Value, Denominator , Numerator ,Conf,Note
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,156,000 "," 271,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",17.7,," 491,700 "," 87,000 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.3,," 491,700 "," 429,100 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",11.9,," 491,700 "," 58,600 ",2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.5,," 491,700 "," 71,100 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",38.2,," 491,700 "," 187,700 ",3,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.0,," 491,700 "," 24,700 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 533,200 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1,," 533,200 "," 5,200 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),13.2,," 533,200 "," 70,500 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.9,," 533,200 "," 20,700 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",26.6,," 533,200 "," 142,000 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),81.8,," 533,200 "," 436,300 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",12.8,," 533,200 "," 68,400 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15.0,," 533,200 "," 80,100 ",2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",24.8,," 533,200 "," 132,300 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.5,," 533,200 "," 13,500 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 166,400 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 166,400 "," 1,400 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),8.6,," 166,400 "," 14,300 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.1,," 166,400 "," 8,500 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",25.1,," 166,400 "," 41,700 ",4.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),85.4,," 166,400 "," 142,100 ",3.4,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.5,," 166,400 "," 15,800 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15.6,," 166,400 "," 26,000 ",3.5,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29.3,," 166,400 "," 48,800 ",4.4,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.9,," 166,400 "," 9,800 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 506,600 ", 700 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.7,," 506,600 "," 3,700 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),8.5,," 506,600 "," 42,900 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.5,," 506,600 "," 17,700 ",1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",28.6,," 506,600 "," 144,900 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.2,," 506,600 "," 441,700 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.7,," 506,600 "," 49,100 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.9,," 506,600 "," 75,500 ",2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29.8,," 506,600 "," 150,800 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.2,," 506,600 "," 21,400 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 314,000 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.1,," 314,000 "," 3,300 ",0.8,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),11.1,," 314,000 "," 35,000 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),1.5,," 314,000 "," 4,700 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",35.7,," 314,000 "," 112,100 ",3.5,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.3,," 314,000 "," 270,900 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",17.5,," 314,000 "," 54,800 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",11.4,," 314,000 "," 35,800 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",19,," 314,000 "," 59,800 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.7,," 314,000 "," 8,400 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1,," 26,121,800 "," 269,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.5,," 26,121,800 "," 380,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),13.4,," 26,121,800 "," 3,509,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.8,," 26,121,800 "," 2,309,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.8,," 26,121,800 "," 4,903,400 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),75.2,," 26,121,800 "," 19,653,000 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.4,," 26,121,800 "," 2,464,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.0,," 26,121,800 "," 3,661,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",27.6,," 26,121,800 "," 7,221,000 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2004,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.4,," 26,121,800 "," 1,402,700 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,500,900 "," 277,900 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.5,," 28,500,900 "," 413,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.6,," 28,500,900 "," 3,594,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.5,," 28,500,900 "," 2,432,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",19.1,," 28,500,900 "," 5,437,000 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),76.4,," 28,500,900 "," 21,782,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.5,," 28,500,900 "," 2,701,700 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.3,," 28,500,900 "," 4,075,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.4,," 28,500,900 "," 8,081,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.2,," 28,500,900 "," 1,486,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 532,900 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.5,," 532,900 "," 2,900 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.2,," 532,900 "," 38,600 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.1,," 532,900 "," 26,900 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",16.1,," 532,900 "," 85,600 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.1,," 532,900 "," 464,400 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",12.7,," 532,900 "," 67,400 ",2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",13.8,," 532,900 "," 73,400 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",40.4,," 532,900 "," 215,300 ",3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.3,," 532,900 "," 22,700 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 551,600 ", 900 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.1,," 551,600 "," 5,900 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),13.5,," 551,600 "," 74,700 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.5,," 551,600 "," 19,300 ",1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",22.3,," 551,600 "," 123,200 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),81.7,," 551,600 "," 450,800 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",14,," 551,600 "," 77,100 ",2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.2,," 551,600 "," 94,900 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",25.3,," 551,600 "," 139,500 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.9,," 551,600 "," 16,100 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 169,900 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.4,," 169,900 "," 2,500 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.2,," 169,900 "," 12,300 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),6.1,," 169,900 "," 10,300 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",25.1,," 169,900 "," 42,600 ",4.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),85.2,," 169,900 "," 144,800 ",3.5,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.5,," 169,900 "," 16,100 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16,," 169,900 "," 27,200 ",3.6,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.8,," 169,900 "," 49,000 ",4.4,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.8,," 169,900 "," 9,900 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 589,000 "," 1,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.7,," 589,000 "," 4,100 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.9,," 589,000 "," 46,800 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.4,," 589,000 "," 20,000 ",1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",28.5,," 589,000 "," 168,000 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.8,," 589,000 "," 516,900 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",10,," 589,000 "," 59,100 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.2,," 589,000 "," 83,500 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29.5,," 589,000 "," 173,500 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.6,," 589,000 "," 32,800 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 325,500 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.8,," 325,500 "," 2,700 ",0.7,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.5,," 325,500 "," 31,100 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.1,," 325,500 "," 6,900 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",36.1,," 325,500 "," 117,400 ",3.6,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.5,," 325,500 "," 284,800 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",17.9,," 325,500 "," 58,300 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",11.1,," 325,500 "," 36,100 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",20,," 325,500 "," 65,200 ",3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.4,," 325,500 "," 7,800 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1,," 26,310,400 "," 275,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.5,," 26,310,400 "," 394,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.9,," 26,310,400 "," 3,389,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.9,," 26,310,400 "," 2,346,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.6,," 26,310,400 "," 4,897,400 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),75.7,," 26,310,400 "," 19,904,400 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.2,," 26,310,400 "," 2,421,300 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.3,," 26,310,400 "," 3,757,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.3,," 26,310,400 "," 7,433,100 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2005,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.3,," 26,310,400 "," 1,395,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,801,000 "," 296,000 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.5,," 28,801,000 "," 439,700 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.3,," 28,801,000 "," 3,545,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.7,," 28,801,000 "," 2,512,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.9,," 28,801,000 "," 5,433,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),76.4,," 28,801,000 "," 22,007,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.5,," 28,801,000 "," 2,728,000 ",0.1,
