"Title","Mathematics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/16"
"Measure","Time","Time_type","Region","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominators"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","25","%","8,877"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","21","%","13,703"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","20","%","68,312"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","29","%","18,435"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","14","%","28,158"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","10,383"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","24","%","11,336"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","16","%","35,798"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","6,818"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","24,111"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","14","%","4,869"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","40","%","2,983"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","16","%","11,771"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","7,541"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","All","All","Boys","All/Boys/Girls","19","%","328,249"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","19","%","244,555"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","19","%","219,455"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","22","%","898"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","2","%","323"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","3","%","1,243"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","19","%","22,636"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","21","%","19,275"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","14","%","4,939"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","20","%","2,772"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","27","%","4,602"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","23","%","6,962"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","21","%","34,773"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","30","%","9,412"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","14,430"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","20","%","5,175"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","26","%","5,756"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","18","%","18,178"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","3,419"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","19","%","12,246"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","2,513"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","43","%","1,539"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","18","%","6,053"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicites used by the National Pupil Database (19)","Boys","All/Boys/Girls","13","%","3,876"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","All","All","Girls","All/Boys/Girls","16","%","313,344"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","16","%","232,742"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","16","%","209,001"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","18","%","827"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","2","%","281"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","1","%","1,174"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","15","%","21,459"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","17","%","18,616"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","12","%","4,869"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","15","%","2,731"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","22","%","4,275"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","19","%","6,741"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","19","%","33,539"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","27","%","9,023"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","12","%","13,728"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","17","%","5,208"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","23","%","5,580"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","15","%","17,620"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","11","%","3,399"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","17","%","11,865"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","14","%","2,356"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","36","%","1,444"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","15","%","5,718"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicites used by the National Pupil Database (19)","Girls","All/Boys/Girls","11","%","3,665"
