"Title","Home ownership"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","78.5","4721","6012","7097"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," All","All","All","All","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","4.2","8","197","185"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","20.5","200","976","996"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","39","458","1174","1309"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","47.4","393","829","895"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","54.7","243","444","494"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","66.8","316","472","540"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," All","All","All","All","39.5","1618","4093","4419"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","9.4","71","752","851"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","37.8","1260","3336","3640"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","54.3","2150","3960","4602"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","66.9","3048","4554","5100"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","73.5","2810","3824","4586"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","77.7","5037","6485","7637"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","53.9","99","183","216"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","29","353","1217","1275"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","32.8","31","93","98"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","31.6","28","90","100"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","69.4","40","57","64"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","48.9","23","48","50"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","68.1","357","524","519"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","57.6","208","361","376"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","39.9","54","135","156"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","38.2","42","110","117"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","37","75","204","199"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","20.6","83","406","515"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","37.4","111","298","332"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","38.6","11","29","36"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","26.9","20","74","83"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","30.8","80","258","271"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","80.9","6273","7758","8368"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","70.9","2731","3850","4411"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","52.2","3188","6111","7903"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","68.8","12192","17719","20682"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","51.5","788","1531","1511"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","44.4","344","775","812"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","27.4","379","1383","1625"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","41","1512","3689","3948"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","76","7061","9289","9879"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","66.5","3075","4625","5223"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","47.6","3568","7494","9528"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","64","13704","21408","24630"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","11.2","62","555","666"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","44.9","1059","2359","2644"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","60.7","1692","2786","3293"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","71.3","2655","3724","4205"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","75.9","2567","3380","4092"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","78.5","4721","6012","7097"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," All","All","All","All","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","4.2","8","197","185"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","20.5","200","976","996"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","39","458","1174","1309"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","47.4","393","829","895"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","54.7","243","444","494"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","66.8","316","472","540"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," All","All","All","All","39.5","1618","4093","4419"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","9.4","71","752","851"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","37.8","1260","3336","3640"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","54.3","2150","3960","4602"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","66.9","3048","4554","5100"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","73.5","2810","3824","4586"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","77.7","5037","6485","7637"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," All","All","All","All","62.7","14375","22910","26416"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North East","61.8","671","1086","1470"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North West","65.9","1812","2748","3381"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","64.1","1272","1986","2431"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East Midlands","70.4","1194","1695","2091"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","West Midlands","67","1318","1968","2265"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East","69.7","1532","2197","2575"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","London","63.2","1079","1706","1581"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South East","71.9","2312","3215","3729"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South West","70.8","1568","2215","2474"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North East","43.9","27","61","77"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North West","44.4","156","352","430"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","42.4","120","283","339"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","42.3","109","257","305"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","49","193","394","444"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East","43.8","145","331","389"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","London","33.6","576","1713","1646"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South East","43.2","223","516","593"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South West","36.9","69","187","196"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","39.5","1618","4093","4419"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North East","60.8","697","1147","1547"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North West","63.5","1968","3100","3811"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","61.4","1392","2269","2770"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East Midlands","66.7","1302","1952","2396"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","West Midlands","64","1511","2362","2709"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East","66.3","1677","2528","2964"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","London","48.4","1655","3419","3227"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South East","67.9","2535","3731","4322"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South West","68.1","1637","2403","2670"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","62.7","14375","22910","26416"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","Up to £99","All","17.9","35","195","242"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£100 to £199","All","38.9","592","1524","2059"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£200 to £299","All","50","1010","2021","2698"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£300 to £399","All","58.1","1253","2154","2650"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£400 to £499","All","60.9","1077","1768","2139"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£500 to £599","All","66.5","1076","1619","1866"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£600 to £699","All","72.4","1128","1559","1784"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£700 to £799","All","76.6","988","1289","1453"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£800 to £899","All","79.9","889","1113","1200"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£900 to £999","All","79.8","711","891","1001"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£1000 and above","All","85.9","3921","4562","4753"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","67.8","12680","18695","21845"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","3.4","2","51","56"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","18.2","56","305","371"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","28.7","122","425","502"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","28.5","137","481","550"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","31.9","121","378","447"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","30.1","116","386","435"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","40.5","144","354","383"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","42.7","115","269","274"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","43.5","107","245","234"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","61.6","115","186","180"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","58.8","573","975","943"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","39.6","1606","4056","4375"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","Up to £99","All","14.9","37","247","298"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£100 to £199","All","35.4","648","1829","2430"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£200 to £299","All","46.3","1132","2446","3200"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£300 to £399","All","52.7","1390","2635","3200"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£400 to £499","All","55.8","1198","2146","2586"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£500 to £599","All","59.5","1192","2005","2301"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£600 to £699","All","66.5","1271","1913","2167"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£700 to £799","All","70.8","1102","1558","1727"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£800 to £899","All","73.3","996","1358","1434"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£900 to £999","All","76.7","826","1077","1181"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£1000 and above","All","81.2","4494","5536","5696"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","62.8","14286","22751","26220"
