"Title","A* to C in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"Mixed","Warwickshire","72","187"
"Mixed","Wolverhampton","48","223"
"Mixed","Worcestershire","65","169"
"Mixed","Bedford","53","143"
"Mixed","Cambridgeshire","72","194"
"Mixed","Central Bedfordshire","58","103"
"Mixed","Essex","66","541"
"Mixed","Hertfordshire","65","702"
"Mixed","Luton","47","192"
"Mixed","Norfolk","57","178"
"Mixed","Peterborough","63","105"
"Mixed","Southend-on-Sea","66","91"
"Mixed","Suffolk","56","305"
"Mixed","Thurrock","77","61"
"Mixed","Camden","56","142"
"Mixed","City of London","N/A","N/A"
"Mixed","Hackney","69","193"
"Mixed","Hammersmith and Fulham","69","133"
"Mixed","Haringey","68","253"
"Mixed","Islington","64","158"
"Mixed","Kensington and Chelsea","74","113"
"Mixed","Lambeth","59","228"
"Mixed","Lewisham","64","286"
"Mixed","Newham","51","199"
"Mixed","Southwark","66","255"
"Mixed","Tower Hamlets","55","129"
"Mixed","Wandsworth","72","188"
"Mixed","Westminster","75","130"
"Mixed","Barking and Dagenham","55","141"
"Mixed","Barnet","73","363"
"Mixed","Bexley","63","161"
"Mixed","Brent","55","158"
"Mixed","Bromley","74","229"
"Mixed","Croydon","59","424"
"Mixed","Ealing","72","195"
"Mixed","Enfield","65","324"
"Mixed","Greenwich","62","208"
"Mixed","Harrow","64","163"
"Mixed","Havering","61","127"
"Mixed","Hillingdon","68","299"
"Mixed","Hounslow","74","224"
"Mixed","Kingston upon Thames","83","115"
"Mixed","Merton","74","155"
"Mixed","Redbridge","61","230"
"Mixed","Richmond upon Thames","70","135"
"Mixed","Sutton","76","201"
"Mixed","Waltham Forest","62","227"
"Mixed","Bracknell Forest","69","49"
"Mixed","Brighton and Hove","69","181"
"Mixed","Buckinghamshire","68","312"
"Mixed","East Sussex","63","166"
"Mixed","Hampshire","66","350"
"Mixed","Isle of Wight","56","27"
"Mixed","Kent","73","536"
"Mixed","Medway","62","125"
"Mixed","Milton Keynes","59","187"
"Mixed","Oxfordshire","59","288"
"Mixed","Portsmouth","63","54"
"Mixed","Reading","56","98"
"Mixed","Slough","74","112"
"Mixed","Southampton","56","95"
"Mixed","Surrey","74","473"
"Mixed","West Berkshire","63","75"
"Mixed","West Sussex","61","258"
"Mixed","Windsor and Maidenhead","79","99"
"Mixed","Wokingham","64","89"
"Mixed","Bath and North East Somerset","65","74"
"Mixed","Bournemouth","71","73"
"Mixed","Bristol, City of","64","209"
"Mixed","Cornwall","71","99"
"Mixed","Devon","63","95"
"Mixed","Dorset","68","80"
"Mixed","Gloucestershire","62","195"
"Mixed","Isles of Scilly","N/A","0"
"Mixed","North Somerset","68","66"
"Mixed","Plymouth","70","43"
"Mixed","Poole","79","47"
"Mixed","Somerset","67","100"
"Mixed","South Gloucestershire","54","109"
"Mixed","Swindon","67","60"
"Mixed","Torbay","75","40"
"Mixed","Wiltshire","73","115"
"White","All - England","63","421,440"
"White","County Durham","63","4,846"
"White","Darlington","62","1,086"
"White","Gateshead","64","1,810"
"White","Hartlepool","55","1,036"
"White","Middlesbrough","53","1,164"
"White","Newcastle upon Tyne","62","1,913"
"White","North Tyneside","68","1,833"
"White","Northumberland","61","3,100"
"White","Redcar and Cleveland","61","1,567"
"White","South Tyneside","63","1,421"
"White","Stockton-on-Tees","64","1,842"
"White","Sunderland","59","2,677"
"White","Blackburn with Darwen","61","922"
"White","Blackpool","48","1,270"
"White","Bolton","58","2,354"
"White","Bury","63","1,636"
"White","Cheshire East","68","3,509"
"White","Cheshire West and Chester","65","3,283"
"White","Cumbria","63","4,987"
"White","Halton","60","1,335"
"White","Knowsley","39","1,103"
"White","Lancashire","64","10,512"
"White","Liverpool","57","3,919"
"White","Manchester","51","2,312"
"White","Oldham","58","1,901"
"White","Rochdale","58","1,601"
"White","Salford","52","1,832"
"White","Sefton","61","2,896"
"White","St. Helens","61","1,675"
"White","Stockport","66","2,463"
"White","Tameside","63","2,078"
"White","Trafford","75","2,118"
"White","Warrington","64","2,216"
"White","Wigan","63","3,271"
"White","Wirral","66","3,222"
"White","Barnsley","59","2,018"
"White","Bradford","54","2,979"
"White","Calderdale","67","2,021"
"White","Doncaster","59","2,808"
"White","East Riding of Yorkshire","67","3,222"
"White","Kingston upon Hull, City of","53","2,028"
"White","Kirklees","63","3,029"
"White","Leeds","61","5,700"
"White","North East Lincolnshire","56","1,486"
"White","North Lincolnshire","64","1,751"
