"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender, and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominators","Breakdown"
"Chinese","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","124","FSM Boys"
"Other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","57","%","1,279","FSM Boys"
"All","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","65","%","47,336","FSM Girls"
"White","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","62","%","32,633","FSM Girls"
"White - British","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","63","%","30,412","FSM Girls"
"White - Irish","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","63","%","128","FSM Girls"
"White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","35","%","180","FSM Girls"
"White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","35","%","375","FSM Girls"
"White - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","61","%","1,538","FSM Girls"
"Mixed","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","3,986","FSM Girls"
"Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","70","%","1,470","FSM Girls"
"Mixed - White and Black African","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","73","%","621","FSM Girls"
"Mixed - White and Asian","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","622","FSM Girls"
"Mixed - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","1,273","FSM Girls"
"Asian","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","4,422","FSM Girls"
"Asian - Indian","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","77","%","513","FSM Girls"
"Asian - Pakistani","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","70","%","2,261","FSM Girls"
"Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","75","%","1,028","FSM Girls"
"Asian - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","620","FSM Girls"
"Black","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","76","%","4,576","FSM Girls"
"Black - Caribbean","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","1,018","FSM Girls"
"Black - African","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","77","%","2,915","FSM Girls"
"Black - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","73","%","643","FSM Girls"
"Chinese","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","79","%","109","FSM Girls"
"Other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","1,224","FSM Girls"
"All","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","73","%","278,188","Non-FSM  Boys"
"White","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","73","%","209,568","Non-FSM  Boys"
"White - British","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","74","%","186,756","Non-FSM  Boys"
"White - Irish","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","76","%","768","Non-FSM  Boys"
"White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","25","%","126","Non-FSM  Boys"
"White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","22","%","875","Non-FSM  Boys"
"White - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","65","%","21,043","Non-FSM  Boys"
"Mixed","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","76","%","15,155","Non-FSM  Boys"
"Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","71","%","3,438","Non-FSM  Boys"
"Mixed - White and Black African","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","2,164","Non-FSM  Boys"
"Mixed - White and Asian","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","3,920","Non-FSM  Boys"
"Mixed - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","75","%","5,633","Non-FSM  Boys"
"Asian","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","73","%","30,296","Non-FSM  Boys"
"Asian - Indian","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","8,948","Non-FSM  Boys"
"Asian - Pakistani","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","68","%","12,100","Non-FSM  Boys"
"Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","72","%","4,152","Non-FSM  Boys"
"Asian - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","74","%","5,096","Non-FSM  Boys"
"Black","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","74","%","13,492","Non-FSM  Boys"
"Black - Caribbean","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","72","%","2,450","Non-FSM  Boys"
"Black - African","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","75","%","9,218","Non-FSM  Boys"
"Black - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","71","%","1,824","Non-FSM  Boys"
"Chinese","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","78","%","1,415","Non-FSM  Boys"
"Other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","66","%","4,774","Non-FSM  Boys"
"All","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","266,008","Non-FSM Girls"
"White","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","200,109","Non-FSM Girls"
"White - British","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","178,589","Non-FSM Girls"
"White - Irish","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","699","Non-FSM Girls"
"White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","41","%","101","Non-FSM Girls"
"White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","28","%","799","Non-FSM Girls"
"White - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","71","%","19,921","Non-FSM Girls"
"Mixed","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","14,630","Non-FSM Girls"
"Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","3,399","Non-FSM Girls"
"Mixed - White and Black African","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","2,110","Non-FSM Girls"
"Mixed - White and Asian","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","3,653","Non-FSM Girls"
"Mixed - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","5,468","Non-FSM Girls"
"Asian","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","29,117","Non-FSM Girls"
"Asian - Indian","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","8,510","Non-FSM Girls"
"Asian - Pakistani","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","76","%","11,467","Non-FSM Girls"
"Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","4,180","Non-FSM Girls"
"Asian - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","4,960","Non-FSM Girls"
"Black","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","13,044","Non-FSM Girls"
"Black - Caribbean","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","2,381","Non-FSM Girls"
"Black - African","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","8,950","Non-FSM Girls"
"Black - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","1,713","Non-FSM Girls"
"Chinese","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","1,335","Non-FSM Girls"
"Other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","73","%","4,494","Non-FSM Girls"
