"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","Score","Pupils"
"Asian","Liverpool","55","132"
"Asian","Manchester","51","974"
"Asian","Oldham","46","822"
"Asian","Rochdale","49","551"
"Asian","Salford","55","38"
"Asian","Sefton","52","23"
"Asian","St. Helens","56","14"
"Asian","Stockport","53","168"
"Asian","Tameside","52","253"
"Asian","Trafford","59","327"
"Asian","Warrington","56","49"
"Asian","Wigan","53","30"
"Asian","Wirral","59","64"
"Asian","Barnsley","44","6"
"Asian","Bradford","46","2,482"
"Asian","Calderdale","49","375"
"Asian","Doncaster","49","77"
"Asian","East Riding of Yorkshire","49","12"
"Asian","Kingston upon Hull, City of","56","17"
"Asian","Kirklees","50","1,139"
"Asian","Leeds","48","849"
"Asian","North East Lincolnshire","60","10"
"Asian","North Lincolnshire","54","62"
"Asian","North Yorkshire","57","93"
"Asian","Rotherham","48","231"
"Asian","Sheffield","47","501"
"Asian","Wakefield","49","116"
"Asian","York","70","11"
"Asian","Derby","48","482"
"Asian","Derbyshire","49","75"
"Asian","Leicester","51","1,631"
"Asian","Leicestershire","57","505"
"Asian","Lincolnshire","65","76"
"Asian","Northamptonshire","53","326"
"Asian","Nottingham","51","438"
"Asian","Nottinghamshire","55","180"
"Asian","Rutland","48","4"
"Asian","Birmingham","50","4,580"
"Asian","Coventry","53","660"
"Asian","Dudley","49","298"
"Asian","Herefordshire, County of","52","5"
"Asian","Sandwell","50","934"
"Asian","Shropshire","53","19"
"Asian","Solihull","54","278"
"Asian","Staffordshire","50","254"
"Asian","Stoke-on-Trent","50","301"
"Asian","Telford and Wrekin","49","117"
"Asian","Walsall","52","628"
"Asian","Warwickshire","57","263"
"Asian","Wolverhampton","54","530"
"Asian","Worcestershire","50","142"
"Asian","Bedford","51","273"
"Asian","Cambridgeshire","56","190"
"Asian","Central Bedfordshire","50","46"
"Asian","Essex","62","337"
"Asian","Hertfordshire","57","849"
"Asian","Luton","49","967"
"Asian","Norfolk","59","88"
"Asian","Peterborough","48","367"
"Asian","Southend-on-Sea","62","135"
"Asian","Suffolk","53","102"
"Asian","Thurrock","53","65"
"Asian","Camden","50","272"
"Asian","City of London","N/A","N/A"
"Asian","Hackney","54","272"
"Asian","Hammersmith and Fulham","55","116"
"Asian","Haringey","52","127"
"Asian","Islington","55","170"
"Asian","Kensington and Chelsea","59","26"
"Asian","Lambeth","55","79"
"Asian","Lewisham","53","129"
"Asian","Newham","54","1,601"
"Asian","Southwark","56","124"
"Asian","Tower Hamlets","52","1,685"
"Asian","Wandsworth","55","333"
"Asian","Westminster","55","199"
"Asian","Barking and Dagenham","55","398"
"Asian","Barnet","63","512"
"Asian","Bexley","60","207"
"Asian","Brent","54","900"
"Asian","Bromley","66","167"
"Asian","Croydon","55","453"
"Asian","Ealing","52","747"
"Asian","Enfield","59","313"
"Asian","Greenwich","56","207"
"Asian","Harrow","56","900"
"Asian","Havering","55","117"
"Asian","Hillingdon","56","751"
"Asian","Hounslow","57","696"
"Asian","Kingston upon Thames","63","343"
"Asian","Merton","55","222"
"Asian","Redbridge","57","1,623"
"Asian","Richmond upon Thames","56","96"
"Asian","Sutton","68","524"
"Asian","Waltham Forest","53","635"
"Asian","Bracknell Forest","58","41"
"Asian","Brighton and Hove","50","82"
"Asian","Buckinghamshire","55","855"
"Asian","East Sussex","54","60"
"Asian","Hampshire","55","333"
"Asian","Isle of Wight","43","12"
"Asian","Kent","61","526"
"Asian","Medway","59","157"
"Asian","Milton Keynes","53","204"
"Asian","Oxfordshire","49","317"
"Asian","Portsmouth","54","95"
"Asian","Reading","59","221"
"Asian","Slough","58","798"
"Asian","Southampton","56","176"
"Asian","Surrey","56","602"
"Asian","West Berkshire","57","50"
"Asian","West Sussex","55","330"
"Asian","Windsor and Maidenhead","51","191"
"Asian","Wokingham","53","166"
"Asian","Bath and North East Somerset","52","24"
"Asian","Bournemouth","65","40"
"Asian","Bristol, City of","50","253"
"Asian","Cornwall","54","21"
"Asian","Devon","57","26"
"Asian","Dorset","49","46"
"Asian","Gloucestershire","61","146"
"Asian","Isles of Scilly","N/A","0"
"Asian","North Somerset","54","32"
"Asian","Plymouth","61","25"
"Asian","Poole","59","31"
"Asian","Somerset","55","50"
"Asian","South Gloucestershire","52","67"
"Asian","Swindon","51","195"
"Asian","Torbay","59","12"
"Asian","Wiltshire","57","70"
"Black","County Durham","43","6"
"Black","Darlington","!","!"
"Black","Gateshead","56","14"
"Black","Hartlepool","55","5"
"Black","Middlesbrough","52","15"
"Black","Newcastle upon Tyne","50","80"
"Black","North Tyneside","53","11"
"Black","Northumberland","!","!"
"Black","Redcar and Cleveland","54","3"
"Black","South Tyneside","38","8"
"Black","Stockton-on-Tees","!","!"
"Black","Sunderland","51","16"
"Black","Blackburn with Darwen","46","15"
"Black","Blackpool","43","9"
"Black","Bolton","43","124"
"Black","Bury","48","36"
"Black","Cheshire East","48","13"
"Black","Cheshire West and Chester","43","12"
"Black","Cumbria","48","13"
"Black","Halton","!","!"
"Black","Knowsley","!","!"
"Black","Lancashire","52","38"
"Black","Liverpool","47","137"
"Black","Manchester","49","741"
"Black","Oldham","44","47"
"Black","Rochdale","52","63"
"Black","Salford","52","78"
"Black","Sefton","46","15"
"Black","St. Helens","54","8"
"Black","Stockport","50","21"
"Black","Tameside","48","35"
"Black","Trafford","54","75"
"Black","Warrington","42","14"
"Black","Wigan","53","16"
"Black","Wirral","57","8"
"Black","Barnsley","45","15"
"Black","Bradford","45","81"
"Black","Calderdale","53","20"
"Black","Doncaster","42","35"
"Black","East Riding of Yorkshire","!","!"
"Black","Kingston upon Hull, City of","46","23"
"Black","Kirklees","46","85"
"Black","Leeds","46","440"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","51","11"
"Black","North Yorkshire","48","18"
"Black","Rotherham","51","38"
"Black","Sheffield","47","260"
"Black","Wakefield","46","38"
"Black","York","54","9"
"Black","Derby","44","85"
"Black","Derbyshire","54","19"
"Black","Leicester","46","345"
"Black","Leicestershire","50","43"
"Black","Lincolnshire","51","34"
"Black","Northamptonshire","48","282"
"Black","Nottingham","47","248"
"Black","Nottinghamshire","52","78"
"Black","Rutland","52","3"
"Black","Birmingham","48","1,489"
"Black","Coventry","48","276"
"Black","Dudley","46","70"
"Black","Herefordshire, County of","47","5"
"Black","Sandwell","45","257"
"Black","Shropshire","52","7"
"Black","Solihull","50","72"
"Black","Staffordshire","49","37"
"Black","Stoke-on-Trent","47","48"
"Black","Telford and Wrekin","51","36"
"Black","Walsall","48","139"
"Black","Warwickshire","48","50"
"Black","Wolverhampton","46","221"
"Black","Worcestershire","44","20"
"Black","Bedford","47","109"
"Black","Cambridgeshire","48","56"
"Black","Central Bedfordshire","48","44"
"Black","Essex","54","333"
"Black","Hertfordshire","53","447"
"Black","Luton","49","294"
"Black","Norfolk","51","68"
"Black","Peterborough","52","73"
"Black","Southend-on-Sea","59","125"
"Black","Suffolk","46","53"
"Black","Thurrock","53","164"
"Black","Camden","48","345"
"Black","City of London","N/A","N/A"
"Black","Hackney","50","719"
"Black","Hammersmith and Fulham","48","333"
"Black","Haringey","46","639"
"Black","Islington","49","423"
"Black","Kensington and Chelsea","52","148"
"Black","Lambeth","48","945"
"Black","Lewisham","46","1,041"
"Black","Newham","49","917"
"Black","Southwark","52","1,094"
"Black","Tower Hamlets","49","307"
"Black","Wandsworth","48","458"
"Black","Westminster","51","333"
"Black","Barking and Dagenham","51","551"
"Black","Barnet","51","489"
"Black","Bexley","57","532"
"Black","Brent","46","767"
"Black","Bromley","52","272"
"Black","Croydon","48","1,124"
"Black","Ealing","47","574"
"Black","Enfield","48","879"
"Black","Greenwich","51","604"
"Black","Harrow","49","344"
"Black","Havering","51","362"
"Black","Hillingdon","48","327"
"Black","Hounslow","50","344"
"Black","Kingston upon Thames","52","73"
"Black","Merton","50","299"
"Black","Redbridge","50","494"
"Black","Richmond upon Thames","45","48"
"Black","Sutton","59","212"
"Black","Waltham Forest","47","598"
"Black","Bracknell Forest","50","26"
"Black","Brighton and Hove","46","41"
"Black","Buckinghamshire","49","132"
"Black","East Sussex","50","31"
"Black","Hampshire","48","115"
"Black","Isle of Wight","N/A","0"
"Black","Kent","56","303"
"Black","Medway","52","116"
"Black","Milton Keynes","49","338"
"Black","Oxfordshire","47","126"
"Black","Portsmouth","49","33"
"Black","Reading","46","90"
"Black","Slough","50","148"
"Black","Southampton","50","56"
"Black","Surrey","50","180"
"Black","West Berkshire","45","25"
"Black","West Sussex","42","120"
"Black","Windsor and Maidenhead","50","29"
"Black","Wokingham","50","75"
"Black","Bath and North East Somerset","46","24"
"Black","Bournemouth","52","17"
"Black","Bristol, City of","42","282"
"Black","Cornwall","46","9"
"Black","Devon","54","14"
"Black","Dorset","44","9"
"Black","Gloucestershire","45","63"
"Black","Isles of Scilly","N/A","0"
"Black","North Somerset","42","15"
"Black","Plymouth","43","18"
"Black","Poole","48","4"
"Black","Somerset","44","14"
"Black","South Gloucestershire","44","43"
"Black","Swindon","50","42"
"Black","Torbay","47","7"
"Black","Wiltshire","49","38"
"Chinese","County Durham","58","6"
"Chinese","Darlington","62","3"
"Chinese","Gateshead","!","!"
"Chinese","Hartlepool","!","!"
"Chinese","Middlesbrough","N/A","0"
"Chinese","Newcastle upon Tyne","55","13"
"Chinese","North Tyneside","67","9"
"Chinese","Northumberland","69","6"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","South Tyneside","N/A","0"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Sunderland","65","3"
"Chinese","Blackburn with Darwen","!","!"
"Chinese","Blackpool","60","5"
"Chinese","Bolton","57","7"
"Chinese","Bury","50","4"
"Chinese","Cheshire East","60","15"
"Chinese","Cheshire West and Chester","59","8"
"Chinese","Cumbria","65","9"
"Chinese","Halton","N/A","0"
"Chinese","Knowsley","!","!"
"Chinese","Lancashire","63","32"
"Chinese","Liverpool","63","45"
"Chinese","Manchester","60","43"
"Chinese","Oldham","65","7"
"Chinese","Rochdale","!","!"
"Chinese","Salford","58","6"
"Chinese","Sefton","59","8"
"Chinese","St. Helens","71","4"
"Chinese","Stockport","52","16"
"Chinese","Tameside","57","12"
"Chinese","Trafford","68","49"
"Chinese","Warrington","64","6"
"Chinese","Wigan","65","3"
"Chinese","Wirral","63","14"
"Chinese","Barnsley","N/A","0"
"Chinese","Bradford","!","!"
"Chinese","Calderdale","60","4"
"Chinese","Doncaster","62","10"
"Chinese","East Riding of Yorkshire","63","3"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kirklees","63","10"
"Chinese","Leeds","61","28"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","72","4"
"Chinese","North Yorkshire","67","13"
"Chinese","Rotherham","67","8"
"Chinese","Sheffield","66","18"
"Chinese","Wakefield","52","6"
"Chinese","York","62","9"
"Chinese","Derby","64","8"
"Chinese","Derbyshire","52","14"
"Chinese","Leicester","62","3"
"Chinese","Leicestershire","56","22"
"Chinese","Lincolnshire","65","33"
"Chinese","Northamptonshire","63","20"
"Chinese","Nottingham","63","8"
"Chinese","Nottinghamshire","64","25"
"Chinese","Rutland","N/A","0"
"Chinese","Birmingham","66","45"
"Chinese","Coventry","59","9"
"Chinese","Dudley","59","4"
"Chinese","Herefordshire, County of","59","4"
"Chinese","Sandwell","64","5"
"Chinese","Shropshire","52","8"
"Chinese","Solihull","55","10"
"Chinese","Staffordshire","61","20"
"Chinese","Stoke-on-Trent","62","9"
"Chinese","Telford and Wrekin","60","9"
"Chinese","Walsall","64","3"
"Chinese","Warwickshire","60","16"
"Chinese","Wolverhampton","56","3"
"Chinese","Worcestershire","60","8"
"Chinese","Bedford","68","3"
"Chinese","Cambridgeshire","63","30"
"Chinese","Central Bedfordshire","60","10"
"Chinese","Essex","59","51"
"Chinese","Hertfordshire","65","63"
"Chinese","Luton","56","4"
"Chinese","Norfolk","61","25"
"Chinese","Peterborough","65","8"
"Chinese","Southend-on-Sea","66","22"
"Chinese","Suffolk","55","4"
"Chinese","Thurrock","61","9"
"Chinese","Camden","66","10"
"Chinese","City of London","N/A","N/A"
"Chinese","Hackney","68","12"
"Chinese","Hammersmith and Fulham","66","6"
"Chinese","Haringey","55","12"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","!"
"Chinese","Lambeth","64","15"
"Chinese","Lewisham","61","37"
"Chinese","Newham","60","11"
"Chinese","Southwark","64","34"
"Chinese","Tower Hamlets","68","10"
"Chinese","Wandsworth","67","14"
"Chinese","Westminster","66","18"
"Chinese","Barking and Dagenham","55","6"
"Chinese","Barnet","68","46"
"Chinese","Bexley","63","40"
"Chinese","Brent","62","9"
"Chinese","Bromley","66","36"
"Chinese","Croydon","65","21"
"Chinese","Ealing","64","5"
"Chinese","Enfield","67","20"
"Chinese","Greenwich","61","24"
"Chinese","Harrow","63","11"
"Chinese","Havering","62","11"
"Chinese","Hillingdon","62","12"
"Chinese","Hounslow","52","5"
"Chinese","Kingston upon Thames","71","23"
"Chinese","Merton","64","6"
"Chinese","Redbridge","66","20"
"Chinese","Richmond upon Thames","61","12"
"Chinese","Sutton","74","41"
"Chinese","Waltham Forest","53","22"
"Chinese","Bracknell Forest","64","4"
"Chinese","Brighton and Hove","71","3"
"Chinese","Buckinghamshire","63","18"
"Chinese","East Sussex","65","9"
"Chinese","Hampshire","64","35"
"Chinese","Isle of Wight","38","3"
"Chinese","Kent","66","64"
"Chinese","Medway","67","11"
"Chinese","Milton Keynes","55","15"
"Chinese","Oxfordshire","62","26"
"Chinese","Portsmouth","64","7"
"Chinese","Reading","78","21"
"Chinese","Slough","73","5"
"Chinese","Southampton","61","9"
"Chinese","Surrey","61","44"
"Chinese","West Berkshire","62","12"
"Chinese","West Sussex","58","12"
"Chinese","Windsor and Maidenhead","64","8"
"Chinese","Wokingham","67","10"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bournemouth","63","7"
"Chinese","Bristol, City of","57","15"
"Chinese","Cornwall","!","!"
"Chinese","Devon","63","13"
"Chinese","Dorset","65","11"
"Chinese","Gloucestershire","62","23"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","North Somerset","58","6"
"Chinese","Plymouth","60","13"
"Chinese","Poole","68","5"
"Chinese","Somerset","61","11"
"Chinese","South Gloucestershire","66","6"
"Chinese","Swindon","57","10"
"Chinese","Torbay","69","8"
"Chinese","Wiltshire","69","6"
"Mixed","County Durham","52","42"
"Mixed","Darlington","51","15"
"Mixed","Gateshead","61","20"
"Mixed","Hartlepool","52","8"
"Mixed","Middlesbrough","51","53"
"Mixed","Newcastle upon Tyne","54","65"
"Mixed","North Tyneside","54","35"
"Mixed","Northumberland","53","36"
"Mixed","Redcar and Cleveland","53","20"
"Mixed","South Tyneside","46","17"
"Mixed","Stockton-on-Tees","51","25"
"Mixed","Sunderland","48","27"
"Mixed","Blackburn with Darwen","51","61"
"Mixed","Blackpool","46","24"
"Mixed","Bolton","48","88"
"Mixed","Bury","51","101"
"Mixed","Cheshire East","51","93"
"Mixed","Cheshire West and Chester","51","72"
"Mixed","Cumbria","56","53"
"Mixed","Halton","55","25"
"Mixed","Knowsley","48","21"
"Mixed","Lancashire","51","277"
"Mixed","Liverpool","45","203"
"Mixed","Manchester","45","344"
"Mixed","Oldham","44","90"
"Mixed","Rochdale","52","83"
"Mixed","Salford","50","80"
"Mixed","Sefton","50","60"
"Mixed","St. Helens","57","15"
"Mixed","Stockport","53","105"
"Mixed","Tameside","52","74"
"Mixed","Trafford","57","132"
"Mixed","Warrington","46","35"
"Mixed","Wigan","51","66"
"Mixed","Wirral","53","69"
"Mixed","Barnsley","51","35"
"Mixed","Bradford","44","218"
"Mixed","Calderdale","49","93"
"Mixed","Doncaster","48","61"
"Mixed","East Riding of Yorkshire","52","46"
"Mixed","Kingston upon Hull, City of","53","44"
"Mixed","Kirklees","45","225"
"Mixed","Leeds","48","335"
"Mixed","North East Lincolnshire","49","38"
"Mixed","North Lincolnshire","52","19"
"Mixed","North Yorkshire","55","124"
"Mixed","Rotherham","50","58"
"Mixed","Sheffield","46","265"
"Mixed","Wakefield","51","64"
"Mixed","York","59","33"
"Mixed","Derby","46","166"
"Mixed","Derbyshire","49","161"
"Mixed","Leicester","44","210"
"Mixed","Leicestershire","51","246"
"Mixed","Lincolnshire","55","134"
"Mixed","Northamptonshire","48","327"
"Mixed","Nottingham","45","231"
"Mixed","Nottinghamshire","51","255"
"Mixed","Rutland","50","9"
"Mixed","Birmingham","50","834"
"Mixed","Coventry","45","181"
"Mixed","Dudley","46","183"
"Mixed","Herefordshire, County of","58","25"
"Mixed","Sandwell","43","223"
"Mixed","Shropshire","52","53"
"Mixed","Solihull","48","181"
"Mixed","Staffordshire","49","189"
"Mixed","Stoke-on-Trent","46","69"
"Mixed","Telford and Wrekin","50","70"
"Mixed","Walsall","48","155"
"Mixed","Warwickshire","54","187"
"Mixed","Wolverhampton","45","223"
"Mixed","Worcestershire","50","169"
"Mixed","Bedford","46","143"
"Mixed","Cambridgeshire","55","194"
"Mixed","Central Bedfordshire","49","103"
"Mixed","Essex","52","541"
"Mixed","Hertfordshire","53","702"
"Mixed","Luton","46","192"
"Mixed","Norfolk","49","178"
"Mixed","Peterborough","49","105"
"Mixed","Southend-on-Sea","52","91"
"Mixed","Suffolk","49","305"
"Mixed","Thurrock","52","61"
"Mixed","Camden","48","142"
"Mixed","City of London","N/A","N/A"
"Mixed","Hackney","53","193"
"Mixed","Hammersmith and Fulham","53","133"
"Mixed","Haringey","52","253"
"Mixed","Islington","49","158"
"Mixed","Kensington and Chelsea","56","113"
"Mixed","Lambeth","49","228"
"Mixed","Lewisham","50","286"
"Mixed","Newham","48","199"
"Mixed","Southwark","53","255"
"Mixed","Tower Hamlets","47","129"
"Mixed","Wandsworth","52","188"
"Mixed","Westminster","55","130"
"Mixed","Barking and Dagenham","47","141"
"Mixed","Barnet","58","363"
"Mixed","Bexley","51","161"
"Mixed","Brent","49","158"
"Mixed","Bromley","56","229"
"Mixed","Croydon","49","424"
"Mixed","Ealing","52","195"
"Mixed","Enfield","51","324"
"Mixed","Greenwich","50","208"
"Mixed","Harrow","52","163"
"Mixed","Havering","51","127"
"Mixed","Hillingdon","52","299"
"Mixed","Hounslow","56","224"
"Mixed","Kingston upon Thames","61","115"
"Mixed","Merton","54","155"
"Mixed","Redbridge","52","230"
"Mixed","Richmond upon Thames","52","135"
"Mixed","Sutton","60","201"
"Mixed","Waltham Forest","50","227"
"Mixed","Bracknell Forest","54","49"
"Mixed","Brighton and Hove","52","181"
"Mixed","Buckinghamshire","54","312"
"Mixed","East Sussex","50","166"
"Mixed","Hampshire","52","350"
"Mixed","Isle of Wight","48","27"
"Mixed","Kent","55","536"
"Mixed","Medway","51","125"
"Mixed","Milton Keynes","50","187"
"Mixed","Oxfordshire","48","288"
"Mixed","Portsmouth","52","54"
"Mixed","Reading","45","98"
"Mixed","Slough","55","112"
"Mixed","Southampton","46","95"
"Mixed","Surrey","55","473"
"Mixed","West Berkshire","52","75"
"Mixed","West Sussex","51","258"
"Mixed","Windsor and Maidenhead","56","99"
"Mixed","Wokingham","49","89"
"Mixed","Bath and North East Somerset","48","74"
"Mixed","Bournemouth","54","73"
"Mixed","Bristol, City of","48","209"
"Mixed","Cornwall","53","99"
"Mixed","Devon","53","95"
"Mixed","Dorset","50","80"
"Mixed","Gloucestershire","51","195"
"Mixed","Isles of Scilly","N/A","0"
"Mixed","North Somerset","55","66"
"Mixed","Plymouth","53","43"
"Mixed","Poole","55","47"
"Mixed","Somerset","53","100"
"Mixed","South Gloucestershire","48","109"
"Mixed","Swindon","51","60"
"Mixed","Torbay","58","40"
"Mixed","Wiltshire","54","115"
"White","County Durham","49","4,846"
"White","Darlington","48","1,086"
"White","Gateshead","50","1,810"
"White","Hartlepool","47","1,036"
"White","Middlesbrough","46","1,164"
"White","Newcastle upon Tyne","48","1,913"
"White","North Tyneside","51","1,833"
"White","Northumberland","48","3,100"
"White","Redcar and Cleveland","48","1,567"
"White","South Tyneside","49","1,421"
"White","Stockton-on-Tees","50","1,842"
"White","Sunderland","48","2,677"
"White","Blackburn with Darwen","49","922"
"White","Blackpool","44","1,270"
"White","Bolton","48","2,354"
"White","Bury","51","1,636"
"White","Cheshire East","52","3,509"
"White","Cheshire West and Chester","51","3,283"
"White","Cumbria","49","4,987"
"White","Halton","49","1,335"
"White","Knowsley","39","1,103"
"White","Lancashire","50","10,512"
"White","Liverpool","47","3,919"
"White","Manchester","45","2,312"
"White","Oldham","46","1,901"
"White","Rochdale","48","1,601"
"White","Salford","46","1,832"
"White","Sefton","50","2,896"
"White","St. Helens","49","1,675"
"White","Stockport","52","2,463"
"White","Tameside","49","2,078"
"White","Trafford","56","2,118"
"White","Warrington","50","2,216"
"White","Wigan","51","3,271"
"White","Wirral","52","3,222"
"White","Barnsley","47","2,018"
"White","Bradford","46","2,979"
"White","Calderdale","52","2,021"
"White","Doncaster","47","2,808"
"White","East Riding of Yorkshire","52","3,222"
"White","Kingston upon Hull, City of","48","2,028"
"White","Kirklees","49","3,029"
"White","Leeds","49","5,700"
"White","North East Lincolnshire","48","1,486"
"White","North Lincolnshire","49","1,751"
"White","North Yorkshire","52","5,886"
"White","Rotherham","49","2,980"
"White","Sheffield","49","4,001"
"White","Wakefield","49","3,407"
"White","York","53","1,511"
