"Title","Fire and rescue services workforce"
"Location","England"
"Time period","2011 to 2017"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-13"
"Ethnicity","Area","Type","Value","Value_type","Headcount"
"All (excluding Unknowns)","Cumbria","Retained Duty System firefighters","100","%","276"
"All (excluding Unknowns)","Cumbria","Support Staff","100","%","48"
"All (excluding Unknowns)","Cumbria","Total Staff","100","%","515"
"All (excluding Unknowns)","Cumbria","Total firefighters","100","%","467"
"All (excluding Unknowns)","Cumbria","Wholetime firefighters","100","%","191"
"All (excluding Unknowns)","Derbyshire","Fire Control","100","%","26"
"All (excluding Unknowns)","Derbyshire","Retained Duty System firefighters","100","%","322"
"All (excluding Unknowns)","Derbyshire","Support Staff","100","%","170"
"All (excluding Unknowns)","Derbyshire","Total Staff","100","%","866"
"All (excluding Unknowns)","Derbyshire","Total firefighters","100","%","670"
"All (excluding Unknowns)","Derbyshire","Wholetime firefighters","100","%","348"
"All (excluding Unknowns)","Devon and Somerset","Fire Control","100","%","37"
"All (excluding Unknowns)","Devon and Somerset","Retained Duty System firefighters","100","%","1062"
"All (excluding Unknowns)","Devon and Somerset","Support Staff","100","%","209"
"All (excluding Unknowns)","Devon and Somerset","Total Staff","100","%","1814"
"All (excluding Unknowns)","Devon and Somerset","Total firefighters","100","%","1568"
"All (excluding Unknowns)","Devon and Somerset","Wholetime firefighters","100","%","506"
"All (excluding Unknowns)","Dorset and Wiltshire","Fire Control","100","%","24"
"All (excluding Unknowns)","Dorset and Wiltshire","Retained Duty System firefighters","100","%","538"
"All (excluding Unknowns)","Dorset and Wiltshire","Support Staff","100","%","240"
"All (excluding Unknowns)","Dorset and Wiltshire","Total Staff","100","%","1209"
"All (excluding Unknowns)","Dorset and Wiltshire","Total firefighters","100","%","945"
"All (excluding Unknowns)","Dorset and Wiltshire","Wholetime firefighters","100","%","407"
"All (excluding Unknowns)","Durham","Fire Control","100","%","18"
"All (excluding Unknowns)","Durham","Retained Duty System firefighters","100","%","163"
"All (excluding Unknowns)","Durham","Support Staff","100","%","68"
"All (excluding Unknowns)","Durham","Total Staff","100","%","552"
"All (excluding Unknowns)","Durham","Total firefighters","100","%","466"
"All (excluding Unknowns)","Durham","Wholetime firefighters","100","%","303"
"All (excluding Unknowns)","East Sussex","Fire Control","100","%","46"
"All (excluding Unknowns)","East Sussex","Retained Duty System firefighters","100","%","295"
"All (excluding Unknowns)","East Sussex","Support Staff","100","%","145"
"All (excluding Unknowns)","East Sussex","Total Staff","100","%","824"
"All (excluding Unknowns)","East Sussex","Total firefighters","100","%","633"
"All (excluding Unknowns)","East Sussex","Wholetime firefighters","100","%","338"
"All (excluding Unknowns)","England","Fire Control","100","%","1029"
"All (excluding Unknowns)","England","Retained Duty System firefighters","100","%","10364"
"All (excluding Unknowns)","England","Support Staff","100","%","6738"
"All (excluding Unknowns)","England","Total Staff","100","%","39339"
"All (excluding Unknowns)","England","Total firefighters","100","%","31572"
"All (excluding Unknowns)","England","Wholetime firefighters","100","%","21208"
"All (excluding Unknowns)","Essex","Fire Control","100","%","22"
"All (excluding Unknowns)","Essex","Retained Duty System firefighters","100","%","270"
"All (excluding Unknowns)","Essex","Support Staff","100","%","167"
"All (excluding Unknowns)","Essex","Total Staff","100","%","680"
"All (excluding Unknowns)","Essex","Total firefighters","100","%","491"
"All (excluding Unknowns)","Essex","Wholetime firefighters","100","%","221"
"All (excluding Unknowns)","Gloucestershire","Fire Control","100","%","17"
"All (excluding Unknowns)","Gloucestershire","Retained Duty System firefighters","100","%","175"
"All (excluding Unknowns)","Gloucestershire","Support Staff","100","%","36"
"All (excluding Unknowns)","Gloucestershire","Total Staff","100","%","370"
"All (excluding Unknowns)","Gloucestershire","Total firefighters","100","%","317"
"All (excluding Unknowns)","Gloucestershire","Wholetime firefighters","100","%","142"
"All (excluding Unknowns)","Greater London","Fire Control","100","%","102"
"All (excluding Unknowns)","Greater London","Retained Duty System firefighters","N.A","%","0"
"All (excluding Unknowns)","Greater London","Support Staff","100","%","780"
"All (excluding Unknowns)","Greater London","Total Staff","100","%","5500"
"All (excluding Unknowns)","Greater London","Total firefighters","100","%","4618"
"All (excluding Unknowns)","Greater London","Wholetime firefighters","100","%","4618"
"All (excluding Unknowns)","Greater Manchester","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Greater Manchester","Retained Duty System firefighters","100","%","13"
"All (excluding Unknowns)","Greater Manchester","Support Staff","100","%","399"
"All (excluding Unknowns)","Greater Manchester","Total Staff","100","%","1617"
"All (excluding Unknowns)","Greater Manchester","Total firefighters","100","%","1218"
"All (excluding Unknowns)","Greater Manchester","Wholetime firefighters","100","%","1205"
"All (excluding Unknowns)","Hampshire","Fire Control","100","%","37"
"All (excluding Unknowns)","Hampshire","Retained Duty System firefighters","100","%","554"
"All (excluding Unknowns)","Hampshire","Support Staff","100","%","248"
"All (excluding Unknowns)","Hampshire","Total Staff","100","%","1511"
"All (excluding Unknowns)","Hampshire","Total firefighters","100","%","1226"
"All (excluding Unknowns)","Hampshire","Wholetime firefighters","100","%","672"
"All (excluding Unknowns)","Hereford and Worcester","Fire Control","100","%","23"
"All (excluding Unknowns)","Hereford and Worcester","Retained Duty System firefighters","100","%","376"
"All (excluding Unknowns)","Hereford and Worcester","Support Staff","100","%","100"
"All (excluding Unknowns)","Hereford and Worcester","Total Staff","100","%","734"
"All (excluding Unknowns)","Hereford and Worcester","Total firefighters","100","%","611"
"All (excluding Unknowns)","Hereford and Worcester","Wholetime firefighters","100","%","235"
"All (excluding Unknowns)","Hertfordshire","Fire Control","100","%","28"
"All (excluding Unknowns)","Hertfordshire","Retained Duty System firefighters","100","%","168"
"All (excluding Unknowns)","Hertfordshire","Support Staff","100","%","158"
"All (excluding Unknowns)","Hertfordshire","Total Staff","100","%","823"
"All (excluding Unknowns)","Hertfordshire","Total firefighters","100","%","637"
"All (excluding Unknowns)","Hertfordshire","Wholetime firefighters","100","%","469"
"All (excluding Unknowns)","Humberside","Fire Control","100","%","26"
"All (excluding Unknowns)","Humberside","Retained Duty System firefighters","100","%","267"
"All (excluding Unknowns)","Humberside","Support Staff","100","%","185"
"All (excluding Unknowns)","Humberside","Total Staff","100","%","940"
"All (excluding Unknowns)","Humberside","Total firefighters","100","%","729"
"All (excluding Unknowns)","Humberside","Wholetime firefighters","100","%","462"
"All (excluding Unknowns)","Isle Of Wight","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Isle Of Wight","Retained Duty System firefighters","100","%","95"
"All (excluding Unknowns)","Isle Of Wight","Support Staff","100","%","18"
"All (excluding Unknowns)","Isle Of Wight","Total Staff","100","%","188"
"All (excluding Unknowns)","Isle Of Wight","Total firefighters","100","%","170"
"All (excluding Unknowns)","Isle Of Wight","Wholetime firefighters","100","%","75"
"All (excluding Unknowns)","Isles of Scilly","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Isles of Scilly","Retained Duty System firefighters","100","%","38"
"All (excluding Unknowns)","Isles of Scilly","Support Staff","N.A","%","0"
"All (excluding Unknowns)","Isles of Scilly","Total Staff","100","%","38"
"All (excluding Unknowns)","Isles of Scilly","Total firefighters","100","%","38"
"All (excluding Unknowns)","Isles of Scilly","Wholetime firefighters","N.A","%","0"
"All (excluding Unknowns)","Kent","Fire Control","100","%","26"
"All (excluding Unknowns)","Kent","Retained Duty System firefighters","100","%","327"
"All (excluding Unknowns)","Kent","Support Staff","100","%","192"
"All (excluding Unknowns)","Kent","Total Staff","100","%","1065"
"All (excluding Unknowns)","Kent","Total firefighters","100","%","847"
"All (excluding Unknowns)","Kent","Wholetime firefighters","100","%","520"
"All (excluding Unknowns)","Lancashire","Fire Control","100","%","2"
"All (excluding Unknowns)","Lancashire","Retained Duty System firefighters","100","%","392"
"All (excluding Unknowns)","Lancashire","Support Staff","100","%","209"
"All (excluding Unknowns)","Lancashire","Total Staff","100","%","1205"
"All (excluding Unknowns)","Lancashire","Total firefighters","100","%","994"
"All (excluding Unknowns)","Lancashire","Wholetime firefighters","100","%","602"
"All (excluding Unknowns)","Leicestershire","Fire Control","100","%","22"
"All (excluding Unknowns)","Leicestershire","Retained Duty System firefighters","100","%","193"
"All (excluding Unknowns)","Leicestershire","Support Staff","100","%","117"
"All (excluding Unknowns)","Leicestershire","Total Staff","100","%","677"
"All (excluding Unknowns)","Leicestershire","Total firefighters","100","%","538"
"All (excluding Unknowns)","Leicestershire","Wholetime firefighters","100","%","345"
"All (excluding Unknowns)","Lincolnshire","Fire Control","100","%","17"
"All (excluding Unknowns)","Lincolnshire","Retained Duty System firefighters","100","%","444"
"All (excluding Unknowns)","Lincolnshire","Support Staff","100","%","53"
"All (excluding Unknowns)","Lincolnshire","Total Staff","100","%","683"
"All (excluding Unknowns)","Lincolnshire","Total firefighters","100","%","613"
"All (excluding Unknowns)","Lincolnshire","Wholetime firefighters","100","%","169"
"All (excluding Unknowns)","Merseyside","Fire Control","100","%","34"
"All (excluding Unknowns)","Merseyside","Retained Duty System firefighters","100","%","319"
"All (excluding Unknowns)","Merseyside","Support Staff","100","%","302"
"All (excluding Unknowns)","Merseyside","Total Staff","100","%","1297"
"All (excluding Unknowns)","Merseyside","Total firefighters","100","%","961"
"All (excluding Unknowns)","Merseyside","Wholetime firefighters","100","%","642"
"All (excluding Unknowns)","Metropolitan fire and rescue authorities","Fire Control","100","%","302"
"All (excluding Unknowns)","Metropolitan fire and rescue authorities","Retained Duty System firefighters","100","%","565"
"All (excluding Unknowns)","Metropolitan fire and rescue authorities","Support Staff","100","%","2581"
"All (excluding Unknowns)","Metropolitan fire and rescue authorities","Total Staff","100","%","13475"
"All (excluding Unknowns)","Metropolitan fire and rescue authorities","Total firefighters","100","%","10592"
"All (excluding Unknowns)","Metropolitan fire and rescue authorities","Wholetime firefighters","100","%","10027"
"All (excluding Unknowns)","Non Metropolitan fire and rescue authorities","Fire Control","100","%","727"
"All (excluding Unknowns)","Non Metropolitan fire and rescue authorities","Retained Duty System firefighters","100","%","9799"
"All (excluding Unknowns)","Non Metropolitan fire and rescue authorities","Support Staff","100","%","4157"
"All (excluding Unknowns)","Non Metropolitan fire and rescue authorities","Total Staff","100","%","25864"
"All (excluding Unknowns)","Non Metropolitan fire and rescue authorities","Total firefighters","100","%","20980"
"All (excluding Unknowns)","Non Metropolitan fire and rescue authorities","Wholetime firefighters","100","%","11181"
"All (excluding Unknowns)","Norfolk","Fire Control","100","%","16"
"All (excluding Unknowns)","Norfolk","Retained Duty System firefighters","100","%","329"
"All (excluding Unknowns)","Norfolk","Support Staff","100","%","61"
"All (excluding Unknowns)","Norfolk","Total Staff","100","%","601"
"All (excluding Unknowns)","Norfolk","Total firefighters","100","%","524"
"All (excluding Unknowns)","Norfolk","Wholetime firefighters","100","%","195"
"All (excluding Unknowns)","North West Fire Control","Fire Control","100","%","63"
"All (excluding Unknowns)","North West Fire Control","Retained Duty System firefighters","N.A","%","0"
"All (excluding Unknowns)","North West Fire Control","Support Staff","100","%","4"
"All (excluding Unknowns)","North West Fire Control","Total Staff","100","%","67"
"All (excluding Unknowns)","North West Fire Control","Total firefighters","N.A","%","0"
"All (excluding Unknowns)","North West Fire Control","Wholetime firefighters","N.A","%","0"
"All (excluding Unknowns)","North Yorkshire","Fire Control","100","%","16"
"All (excluding Unknowns)","North Yorkshire","Retained Duty System firefighters","100","%","266"
"All (excluding Unknowns)","North Yorkshire","Support Staff","100","%","94"
"All (excluding Unknowns)","North Yorkshire","Total Staff","100","%","628"
"All (excluding Unknowns)","North Yorkshire","Total firefighters","100","%","518"
"All (excluding Unknowns)","North Yorkshire","Wholetime firefighters","100","%","252"
"All (excluding Unknowns)","Northamptonshire","Fire Control","100","%","16"
"All (excluding Unknowns)","Northamptonshire","Retained Duty System firefighters","100","%","161"
"All (excluding Unknowns)","Northamptonshire","Support Staff","100","%","46"
"All (excluding Unknowns)","Northamptonshire","Total Staff","100","%","440"
"All (excluding Unknowns)","Northamptonshire","Total firefighters","100","%","378"
"All (excluding Unknowns)","Northamptonshire","Wholetime firefighters","100","%","217"
"All (excluding Unknowns)","Northumberland","Fire Control","100","%","16"
"All (excluding Unknowns)","Northumberland","Retained Duty System firefighters","100","%","149"
"All (excluding Unknowns)","Northumberland","Support Staff","100","%","32"
"All (excluding Unknowns)","Northumberland","Total Staff","100","%","321"
"All (excluding Unknowns)","Northumberland","Total firefighters","100","%","273"
"All (excluding Unknowns)","Northumberland","Wholetime firefighters","100","%","124"
"All (excluding Unknowns)","Nottinghamshire","Fire Control","100","%","26"
"All (excluding Unknowns)","Nottinghamshire","Retained Duty System firefighters","100","%","239"
"All (excluding Unknowns)","Nottinghamshire","Support Staff","100","%","153"
"All (excluding Unknowns)","Nottinghamshire","Total Staff","100","%","852"
"All (excluding Unknowns)","Nottinghamshire","Total firefighters","100","%","673"
"All (excluding Unknowns)","Nottinghamshire","Wholetime firefighters","100","%","434"
"All (excluding Unknowns)","Oxfordshire","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Oxfordshire","Retained Duty System firefighters","100","%","298"
"All (excluding Unknowns)","Oxfordshire","Support Staff","100","%","73"
"All (excluding Unknowns)","Oxfordshire","Total Staff","100","%","601"
"All (excluding Unknowns)","Oxfordshire","Total firefighters","100","%","528"
"All (excluding Unknowns)","Oxfordshire","Wholetime firefighters","100","%","230"
"All (excluding Unknowns)","Shropshire","Fire Control","100","%","17"
"All (excluding Unknowns)","Shropshire","Retained Duty System firefighters","100","%","224"
"All (excluding Unknowns)","Shropshire","Support Staff","100","%","64"
"All (excluding Unknowns)","Shropshire","Total Staff","100","%","449"
"All (excluding Unknowns)","Shropshire","Total firefighters","100","%","368"
"All (excluding Unknowns)","Shropshire","Wholetime firefighters","100","%","144"
"All (excluding Unknowns)","South Yorkshire","Fire Control","100","%","25"
"All (excluding Unknowns)","South Yorkshire","Retained Duty System firefighters","100","%","79"
"All (excluding Unknowns)","South Yorkshire","Support Staff","100","%","200"
"All (excluding Unknowns)","South Yorkshire","Total Staff","100","%","869"
"All (excluding Unknowns)","South Yorkshire","Total firefighters","100","%","644"
"All (excluding Unknowns)","South Yorkshire","Wholetime firefighters","100","%","565"
"All (excluding Unknowns)","Staffordshire","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Staffordshire","Retained Duty System firefighters","N.A","%","0"
"All (excluding Unknowns)","Staffordshire","Support Staff","N.A","%","0"
"All (excluding Unknowns)","Staffordshire","Total Staff","100","%","17"
"All (excluding Unknowns)","Staffordshire","Total firefighters","100","%","17"
"All (excluding Unknowns)","Staffordshire","Wholetime firefighters","100","%","17"
"All (excluding Unknowns)","Suffolk","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Suffolk","Retained Duty System firefighters","100","%","334"
"All (excluding Unknowns)","Suffolk","Support Staff","100","%","71"
"All (excluding Unknowns)","Suffolk","Total Staff","100","%","603"
"All (excluding Unknowns)","Suffolk","Total firefighters","100","%","532"
"All (excluding Unknowns)","Suffolk","Wholetime firefighters","100","%","198"
"All (excluding Unknowns)","Surrey","Fire Control","100","%","24"
"All (excluding Unknowns)","Surrey","Retained Duty System firefighters","100","%","116"
"All (excluding Unknowns)","Surrey","Support Staff","100","%","63"
"All (excluding Unknowns)","Surrey","Total Staff","100","%","670"
"All (excluding Unknowns)","Surrey","Total firefighters","100","%","583"
"All (excluding Unknowns)","Surrey","Wholetime firefighters","100","%","467"
"All (excluding Unknowns)","Tyne and Wear","Fire Control","100","%","31"
"All (excluding Unknowns)","Tyne and Wear","Retained Duty System firefighters","100","%","10"
"All (excluding Unknowns)","Tyne and Wear","Support Staff","100","%","174"
"All (excluding Unknowns)","Tyne and Wear","Total Staff","100","%","848"
"All (excluding Unknowns)","Tyne and Wear","Total firefighters","100","%","643"
"All (excluding Unknowns)","Tyne and Wear","Wholetime firefighters","100","%","633"
"All (excluding Unknowns)","Warwickshire","Fire Control","100","%","13"
"All (excluding Unknowns)","Warwickshire","Retained Duty System firefighters","100","%","92"
"All (excluding Unknowns)","Warwickshire","Support Staff","100","%","62"
"All (excluding Unknowns)","Warwickshire","Total Staff","100","%","371"
"All (excluding Unknowns)","Warwickshire","Total firefighters","100","%","296"
"All (excluding Unknowns)","Warwickshire","Wholetime firefighters","100","%","204"
"All (excluding Unknowns)","West Midlands","Fire Control","100","%","61"
"All (excluding Unknowns)","West Midlands","Retained Duty System firefighters","100","%","6"
"All (excluding Unknowns)","West Midlands","Support Staff","100","%","444"
"All (excluding Unknowns)","West Midlands","Total Staff","100","%","1896"
"All (excluding Unknowns)","West Midlands","Total firefighters","100","%","1391"
"All (excluding Unknowns)","West Midlands","Wholetime firefighters","100","%","1385"
"All (excluding Unknowns)","West Sussex","Fire Control","N.A","%","0"
"All (excluding Unknowns)","West Sussex","Retained Duty System firefighters","100","%","218"
"All (excluding Unknowns)","West Sussex","Support Staff","100","%","62"
"All (excluding Unknowns)","West Sussex","Total Staff","100","%","574"
"All (excluding Unknowns)","West Sussex","Total firefighters","100","%","512"
"All (excluding Unknowns)","West Sussex","Wholetime firefighters","100","%","294"
"All (excluding Unknowns)","West Yorkshire","Fire Control","100","%","49"
"All (excluding Unknowns)","West Yorkshire","Retained Duty System firefighters","100","%","138"
"All (excluding Unknowns)","West Yorkshire","Support Staff","100","%","282"
"All (excluding Unknowns)","West Yorkshire","Total Staff","100","%","1448"
"All (excluding Unknowns)","West Yorkshire","Total firefighters","100","%","1117"
"All (excluding Unknowns)","West Yorkshire","Wholetime firefighters","100","%","979"
"Asian","Avon","Fire Control","0","%","0"
"Asian","Avon","Retained Duty System firefighters","0","%","0"
"Asian","Avon","Support Staff","0","%","0"
"Asian","Avon","Total Staff","0","%","0"
"Asian","Avon","Total firefighters","0","%","0"
"Asian","Avon","Wholetime firefighters","0","%","0"
"Asian","Bedfordshire","Fire Control","0","%","0"
"Asian","Bedfordshire","Retained Duty System firefighters","0","%","0"
"Asian","Bedfordshire","Support Staff","4","%","4"
"Asian","Bedfordshire","Total Staff","1.1","%","4"
"Asian","Bedfordshire","Total firefighters","?","%","0"
"Asian","Bedfordshire","Wholetime firefighters","0","%","0"
"Asian","Berkshire","Fire Control","0","%","0"
"Asian","Berkshire","Retained Duty System firefighters","0","%","0"
"Asian","Berkshire","Support Staff","2.6","%","3"
"Asian","Berkshire","Total Staff","0.9","%","5"
"Asian","Berkshire","Total firefighters","0.5","%","2"
"Asian","Berkshire","Wholetime firefighters","0.5","%","2"
"Asian","Buckinghamshire","Fire Control","N.A","%","0"
"Asian","Buckinghamshire","Retained Duty System firefighters","0.8","%","1"
"Asian","Buckinghamshire","Support Staff","1","%","1"
"Asian","Buckinghamshire","Total Staff","0.5","%","2"
"Asian","Buckinghamshire","Total firefighters","0.3","%","1"
"Asian","Buckinghamshire","Wholetime firefighters","0","%","0"
"Asian","Cambridgeshire","Fire Control","0","%","0"
"Asian","Cambridgeshire","Retained Duty System firefighters","0","%","0"
"Asian","Cambridgeshire","Support Staff","3.2","%","4"
"Asian","Cambridgeshire","Total Staff","1","%","6"
"Asian","Cambridgeshire","Total firefighters","0.4","%","2"
"Asian","Cambridgeshire","Wholetime firefighters","0.8","%","2"
"Asian","Cheshire","Fire Control","N.A","%","0"
"Asian","Cheshire","Retained Duty System firefighters","0","%","0"
"Asian","Cheshire","Support Staff","0.5","%","1"
"Asian","Cheshire","Total Staff","0.5","%","4"
"Asian","Cheshire","Total firefighters","0.5","%","3"
"Asian","Cheshire","Wholetime firefighters","0.8","%","3"
"Asian","Cleveland","Fire Control","0","%","0"
"Asian","Cleveland","Retained Duty System firefighters","0","%","0"
"Asian","Cleveland","Support Staff","1.6","%","2"
"Asian","Cleveland","Total Staff","0.7","%","4"
"Asian","Cleveland","Total firefighters","0.5","%","2"
"Asian","Cleveland","Wholetime firefighters","0.6","%","2"
"Asian","Cornwall","Fire Control","0","%","0"
"Asian","Cornwall","Retained Duty System firefighters","0","%","0"
"Asian","Cornwall","Support Staff","0","%","0"
"Asian","Cornwall","Total Staff","0","%","0"
"Asian","Cornwall","Total firefighters","0","%","0"
"Asian","Cornwall","Wholetime firefighters","0","%","0"
"Asian","Cumbria","Fire Control","N.A","%","0"
"Asian","Cumbria","Retained Duty System firefighters","0","%","0"
"Asian","Cumbria","Support Staff","0","%","0"
"Asian","Cumbria","Total Staff","0.2","%","1"
"Asian","Cumbria","Total firefighters","0.2","%","1"
"Asian","Cumbria","Wholetime firefighters","0.5","%","1"
"Asian","Derbyshire","Fire Control","0","%","0"
"Asian","Derbyshire","Retained Duty System firefighters","0.3","%","1"
"Asian","Derbyshire","Support Staff","2.9","%","5"
"Asian","Derbyshire","Total Staff","1.3","%","11"
"Asian","Derbyshire","Total firefighters","0.9","%","6"
"Asian","Derbyshire","Wholetime firefighters","1.4","%","5"
"Asian","Devon and Somerset","Fire Control","0","%","0"
"Asian","Devon and Somerset","Retained Duty System firefighters","0","%","0"
"Asian","Devon and Somerset","Support Staff","0","%","0"
"Asian","Devon and Somerset","Total Staff","0","%","0"
"Asian","Devon and Somerset","Total firefighters","0","%","0"
"Asian","Devon and Somerset","Wholetime firefighters","0","%","0"
"Asian","Dorset and Wiltshire","Fire Control","0","%","0"
"Asian","Dorset and Wiltshire","Retained Duty System firefighters","0","%","0"
"Asian","Dorset and Wiltshire","Support Staff","0.4","%","1"
"Asian","Dorset and Wiltshire","Total Staff","0.1","%","1"
"Asian","Dorset and Wiltshire","Total firefighters","0","%","0"
"Asian","Dorset and Wiltshire","Wholetime firefighters","0","%","0"
"Asian","Durham","Fire Control","0","%","0"
"Asian","Durham","Retained Duty System firefighters","1.2","%","2"
"Asian","Durham","Support Staff","1.5","%","1"
"Asian","Durham","Total Staff","0.9","%","5"
"Asian","Durham","Total firefighters","0.9","%","4"
"Asian","Durham","Wholetime firefighters","0.7","%","2"
"Asian","East Sussex","Fire Control","0","%","0"
"Asian","East Sussex","Retained Duty System firefighters","0","%","0"
"Asian","East Sussex","Support Staff","0.7","%","1"
"Asian","East Sussex","Total Staff","0.1","%","1"
"Asian","East Sussex","Total firefighters","0","%","0"
"Asian","East Sussex","Wholetime firefighters","0","%","0"
"Asian","England","Fire Control","0.3","%","3"
"Asian","England","Retained Duty System firefighters","0.2","%","20"
"Asian","England","Support Staff","2.7","%","182"
"Asian","England","Total Staff","0.9","%","356"
"Asian","England","Total firefighters","0.5","%","171"
"Asian","England","Wholetime firefighters","0.7","%","151"
"Asian","Essex","Fire Control","0","%","0"
"Asian","Essex","Retained Duty System firefighters","0","%","0"
"Asian","Essex","Support Staff","0","%","0"
"Asian","Essex","Total Staff","0","%","0"
"Asian","Essex","Total firefighters","?","%","0"
"Asian","Essex","Wholetime firefighters","0","%","0"
"Asian","Gloucestershire","Fire Control","0","%","0"
"Asian","Gloucestershire","Retained Duty System firefighters","0","%","0"
"Asian","Gloucestershire","Support Staff","2.8","%","1"
"Asian","Gloucestershire","Total Staff","0.5","%","2"
"Asian","Gloucestershire","Total firefighters","0.3","%","1"
"Asian","Gloucestershire","Wholetime firefighters","0.7","%","1"
"Asian","Greater London","Fire Control","0","%","0"
"Asian","Greater London","Retained Duty System firefighters","N.A","%","0"
"Asian","Greater London","Support Staff","6.5","%","51"
"Asian","Greater London","Total Staff","2","%","111"
"Asian","Greater London","Total firefighters","1.3","%","60"
"Asian","Greater London","Wholetime firefighters","1.3","%","60"
"Asian","Greater Manchester","Fire Control","N.A","%","0"
"Asian","Greater Manchester","Retained Duty System firefighters","0","%","0"
"Asian","Greater Manchester","Support Staff","2","%","8"
"Asian","Greater Manchester","Total Staff","1.1","%","17"
"Asian","Greater Manchester","Total firefighters","0.7","%","9"
"Asian","Greater Manchester","Wholetime firefighters","0.8","%","9"
"Asian","Hampshire","Fire Control","0","%","0"
"Asian","Hampshire","Retained Duty System firefighters","0.2","%","1"
"Asian","Hampshire","Support Staff","1.6","%","4"
"Asian","Hampshire","Total Staff","0.5","%","8"
