"Ethnicity","Year","Type","Value","Value_type","Headcount"
"Other inc. Chinese","2014","Retained Duty System firefighters","0.3","%","38"
"Other inc. Chinese","2014","Support Staff","0.8","%","57"
"Other inc. Chinese","2014","Total Staff","0.6","%","262"
"Other inc. Chinese","2014","Total firefighters","0.6","%","200"
"Other inc. Chinese","2014","Wholetime firefighters","0.7","%","162"
"Other inc. Chinese","2015","Fire Control","0.2","%","2"
"Other inc. Chinese","2015","Retained Duty System firefighters","0.2","%","16"
"Other inc. Chinese","2015","Support Staff","0.5","%","38"
"Other inc. Chinese","2015","Total Staff","0.4","%","172"
"Other inc. Chinese","2015","Total firefighters","0.4","%","132"
"Other inc. Chinese","2015","Wholetime firefighters","0.5","%","116"
"Other inc. Chinese","2016","Fire Control","0.1","%","1"
"Other inc. Chinese","2016","Retained Duty System firefighters","0.2","%","17"
"Other inc. Chinese","2016","Support Staff","0.7","%","49"
"Other inc. Chinese","2016","Total Staff","0.5","%","188"
"Other inc. Chinese","2016","Total firefighters","0.4","%","138"
"Other inc. Chinese","2016","Wholetime firefighters","0.5","%","121"
"Other inc. Chinese","2017","Fire Control","0","%","0"
"Other inc. Chinese","2017","Retained Duty System firefighters","0.1","%","13"
"Other inc. Chinese","2017","Support Staff","0.7","%","47"
"Other inc. Chinese","2017","Total Staff","0.5","%","185"
"Other inc. Chinese","2017","Total firefighters","0.4","%","138"
"Other inc. Chinese","2017","Wholetime firefighters","0.6","%","125"
"Mixed","2011","Fire Control","1.2","%","17"
"Mixed","2011","Retained Duty System firefighters","0.4","%","46"
"Mixed","2011","Support Staff","0.9","%","82"
"Mixed","2011","Total Staff","1.2","%","572"
"Mixed","2011","Total firefighters","1.2","%","473"
"Mixed","2011","Wholetime firefighters","1.6","%","427"
"Mixed","2012","Fire Control","1.2","%","17"
"Mixed","2012","Retained Duty System firefighters","0.4","%","43"
"Mixed","2012","Support Staff","0.9","%","71"
"Mixed","2012","Total Staff","1.2","%","592"
"Mixed","2012","Total firefighters","1.3","%","504"
"Mixed","2012","Wholetime firefighters","1.7","%","461"
"Mixed","2013","Fire Control","1.5","%","20"
"Mixed","2013","Retained Duty System firefighters","0.6","%","73"
"Mixed","2013","Support Staff","1","%","78"
"Mixed","2013","Total Staff","1.3","%","604"
"Mixed","2013","Total firefighters","1.4","%","506"
"Mixed","2013","Wholetime firefighters","1.7","%","433"
"Mixed","2014","Fire Control","1.6","%","20"
"Mixed","2014","Retained Duty System firefighters","0.5","%","56"
"Mixed","2014","Support Staff","1","%","72"
"Mixed","2014","Total Staff","1.3","%","592"
"Mixed","2014","Total firefighters","1.4","%","500"
"Mixed","2014","Wholetime firefighters","1.8","%","444"
"Mixed","2015","Fire Control","1.9","%","21"
"Mixed","2015","Retained Duty System firefighters","0.5","%","58"
"Mixed","2015","Support Staff","1","%","73"
"Mixed","2015","Total Staff","1.4","%","586"
"Mixed","2015","Total firefighters","1.5","%","492"
"Mixed","2015","Wholetime firefighters","1.9","%","434"
"Mixed","2016","Fire Control","1.9","%","20"
"Mixed","2016","Retained Duty System firefighters","0.7","%","72"
"Mixed","2016","Support Staff","1.2","%","82"
"Mixed","2016","Total Staff","1.5","%","599"
"Mixed","2016","Total firefighters","1.5","%","497"
"Mixed","2016","Wholetime firefighters","1.9","%","425"
"Mixed","2017","Fire Control","2.1","%","22"
"Mixed","2017","Retained Duty System firefighters","0.8","%","82"
"Mixed","2017","Support Staff","1.3","%","89"
"Mixed","2017","Total Staff","1.6","%","618"
"Mixed","2017","Total firefighters","1.6","%","507"
"Mixed","2017","Wholetime firefighters","2","%","425"
"Unknown","2011","Fire Control","N.A","%","116"
"Unknown","2011","Retained Duty System firefighters","N.A","%","1817"
"Unknown","2011","Support Staff","N.A","%","624"
"Unknown","2011","Total Staff","N.A","%","5087"
"Unknown","2011","Total firefighters","N.A","%","4347"
"Unknown","2011","Wholetime firefighters","N.A","%","2530"
"Unknown","2012","Fire Control","N.A","%","76"
"Unknown","2012","Retained Duty System firefighters","N.A","%","1409"
"Unknown","2012","Support Staff","N.A","%","503"
"Unknown","2012","Total Staff","N.A","%","3751"
"Unknown","2012","Total firefighters","N.A","%","3172"
"Unknown","2012","Wholetime firefighters","N.A","%","1763"
"Unknown","2013","Fire Control","N.A","%","74"
"Unknown","2013","Retained Duty System firefighters","N.A","%","1658"
"Unknown","2013","Support Staff","N.A","%","588"
"Unknown","2013","Total Staff","N.A","%","4157"
"Unknown","2013","Total firefighters","N.A","%","3495"
"Unknown","2013","Wholetime firefighters","N.A","%","1837"
"Unknown","2014","Fire Control","N.A","%","80"
"Unknown","2014","Retained Duty System firefighters","N.A","%","1736"
"Unknown","2014","Support Staff","N.A","%","674"
"Unknown","2014","Total Staff","N.A","%","4384"
"Unknown","2014","Total firefighters","N.A","%","3630"
"Unknown","2014","Wholetime firefighters","N.A","%","1894"
"Unknown","2015","Fire Control","N.A","%","101"
"Unknown","2015","Retained Duty System firefighters","N.A","%","2086"
"Unknown","2015","Support Staff","N.A","%","832"
"Unknown","2015","Total Staff","N.A","%","5323"
"Unknown","2015","Total firefighters","N.A","%","4390"
"Unknown","2015","Wholetime firefighters","N.A","%","2304"
"Unknown","2016","Fire Control","N.A","%","76"
"Unknown","2016","Retained Duty System firefighters","N.A","%","1730"
"Unknown","2016","Support Staff","N.A","%","636"
"Unknown","2016","Total Staff","N.A","%","4051"
"Unknown","2016","Total firefighters","N.A","%","3339"
"Unknown","2016","Wholetime firefighters","N.A","%","1609"
"Unknown","2017","Fire Control","N.A","%","95"
"Unknown","2017","Retained Duty System firefighters","N.A","%","2113"
"Unknown","2017","Support Staff","N.A","%","879"
"Unknown","2017","Total Staff","N.A","%","5022"
"Unknown","2017","Total firefighters","N.A","%","4048"
"Unknown","2017","Wholetime firefighters","N.A","%","1935"
"White","2011","Fire Control","97.7","%","1407"
"White","2011","Retained Duty System firefighters","99","%","12280"
"White","2011","Support Staff","93.3","%","8143"
"White","2011","Total Staff","96","%","47185"
"White","2011","Total firefighters","96.5","%","37635"
"White","2011","Wholetime firefighters","95.3","%","25355"
"White","2012","Fire Control","97.6","%","1333"
"White","2012","Retained Duty System firefighters","99","%","12278"
"White","2012","Support Staff","93.1","%","7509"
"White","2012","Total Staff","95.9","%","46355"
"White","2012","Total firefighters","96.5","%","37513"
"White","2012","Wholetime firefighters","95.3","%","25235"
"White","2013","Fire Control","97.2","%","1277"
"White","2013","Retained Duty System firefighters","98.8","%","11639"
"White","2013","Support Staff","93.1","%","7219"
"White","2013","Total Staff","95.8","%","44427"
"White","2013","Total firefighters","96.4","%","35931"
"White","2013","Wholetime firefighters","95.2","%","24292"
"White","2014","Fire Control","97.2","%","1200"
"White","2014","Retained Duty System firefighters","98.8","%","11302"
"White","2014","Support Staff","93.2","%","6853"
"White","2014","Total Staff","95.7","%","42530"
"White","2014","Total firefighters","96.2","%","34477"
"White","2014","Wholetime firefighters","95","%","23175"
"White","2015","Fire Control","96.7","%","1063"
"White","2015","Retained Duty System firefighters","98.8","%","10579"
"White","2015","Support Staff","93","%","6536"
"White","2015","Total Staff","95.7","%","39976"
"White","2015","Total firefighters","96.2","%","32377"
"White","2015","Wholetime firefighters","95","%","21798"
"White","2016","Fire Control","97.1","%","1019"
"White","2016","Retained Duty System firefighters","98.7","%","10681"
"White","2016","Support Staff","92.9","%","6528"
"White","2016","Total Staff","95.7","%","39553"
"White","2016","Total firefighters","96.2","%","32006"
"White","2016","Wholetime firefighters","95","%","21325"
"White","2017","Fire Control","96.7","%","995"
"White","2017","Retained Duty System firefighters","98.7","%","10228"
"White","2017","Support Staff","92.7","%","6247"
"White","2017","Total Staff","95.5","%","37570"
"White","2017","Total firefighters","96.1","%","30328"
"White","2017","Wholetime firefighters","94.8","%","20100"
