"Title","Jobseeker’s Allowance: how long people claim for"
"Location","England, Wales and Scotland"
"Time period","May 2012 to April 2017"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Month","Ethnicity","Duration","Region","Caseload","Value","Value"
"Jan-2012","Mixed","over 26 and up to 52 weeks","East","470","21.8%",""
"Jan-2012","Other","over 26 and up to 52 weeks","East","230","21.0%",""
"Jan-2012","Unreported","over 26 and up to 52 weeks","East","1,370","20.8%",""
"Jan-2012","All","over 52 and up to 78 weeks","East","11,540","9.6%",""
"Jan-2012","White","over 52 and up to 78 weeks","East","9,700","9.5%",""
"Jan-2012","Ethnic Minority","over 52 and up to 78 weeks","East","1,165","10.0%",""
"Jan-2012","White British","over 52 and up to 78 weeks","East","9,350","9.6%",""
"Jan-2012","White Other","over 52 and up to 78 weeks","East","355","7.1%",""
"Jan-2012","Black","over 52 and up to 78 weeks","East","450","11.1%",""
"Jan-2012","Asian","over 52 and up to 78 weeks","East","425","9.8%",""
"Jan-2012","Mixed","over 52 and up to 78 weeks","East","180","8.3%",""
"Jan-2012","Other","over 52 and up to 78 weeks","East","105","9.6%",""
"Jan-2012","Unreported","over 52 and up to 78 weeks","East","675","10.2%",""
"Jan-2012","All","over 78 and up to 104 weeks","East","5,290","4.4%",""
"Jan-2012","White","over 78 and up to 104 weeks","East","4,425","4.3%",""
"Jan-2012","Ethnic Minority","over 78 and up to 104 weeks","East","600","5.2%",""
"Jan-2012","White British","over 78 and up to 104 weeks","East","4,255","4.4%",""
"Jan-2012","White Other","over 78 and up to 104 weeks","East","170","3.4%",""
"Jan-2012","Black","over 78 and up to 104 weeks","East","240","5.9%",""
"Jan-2012","Asian","over 78 and up to 104 weeks","East","230","5.3%",""
"Jan-2012","Mixed","over 78 and up to 104 weeks","East","85","3.9%",""
"Jan-2012","Other","over 78 and up to 104 weeks","East","50","4.6%",""
"Jan-2012","Unreported","over 78 and up to 104 weeks","East","265","4.0%",""
"Jan-2012","All","over 104 weeks","East","5,585","4.6%",""
"Jan-2012","White","over 104 weeks","East","4,770","4.7%",""
"Jan-2012","Ethnic Minority","over 104 weeks","East","445","3.8%",""
"Jan-2012","White British","over 104 weeks","East","4,600","4.7%",""
"Jan-2012","White Other","over 104 weeks","East","170","3.4%",""
"Jan-2012","Black","over 104 weeks","East","190","4.7%",""
"Jan-2012","Asian","over 104 weeks","East","140","3.2%",""
"Jan-2012","Mixed","over 104 weeks","East","70","3.2%",""
"Jan-2012","Other","over 104 weeks","East","45","4.1%",""
"Jan-2012","Unreported","over 104 weeks","East","370","5.6%",""
"Jan-2012","All","All","East Midlands","112,800","100.0%",""
"Jan-2012","White","All","East Midlands","92,735","100.0%",""
"Jan-2012","Ethnic Minority","All","East Midlands","14,985","100.0%",""
"Jan-2012","White British","All","East Midlands","89,430","100.0%",""
"Jan-2012","White Other","All","East Midlands","3,305","100.0%",""
"Jan-2012","Black","All","East Midlands","4,625","100.0%",""
"Jan-2012","Asian","All","East Midlands","6,590","100.0%",""
"Jan-2012","Mixed","All","East Midlands","2,285","100.0%",""
"Jan-2012","Other","All","East Midlands","1,480","100.0%",""
"Jan-2012","Unreported","All","East Midlands","5,085","100.0%",""
"Jan-2012","All","13 weeks or less","East Midlands","45,345","40.2%",""
"Jan-2012","White","13 weeks or less","East Midlands","37,785","40.7%",""
"Jan-2012","Ethnic Minority","13 weeks or less","East Midlands","5,680","37.9%",""
"Jan-2012","White British","13 weeks or less","East Midlands","36,050","40.3%",""
"Jan-2012","White Other","13 weeks or less","East Midlands","1,730","52.3%",""
"Jan-2012","Black","13 weeks or less","East Midlands","1,600","34.6%",""
"Jan-2012","Asian","13 weeks or less","East Midlands","2,625","39.8%",""
"Jan-2012","Mixed","13 weeks or less","East Midlands","860","37.6%",""
"Jan-2012","Other","13 weeks or less","East Midlands","595","40.2%",""
"Jan-2012","Unreported","13 weeks or less","East Midlands","1,880","37.0%",""
"Jan-2012","All","over 13 and up to 26 weeks","East Midlands","22,985","20.4%",""
"Jan-2012","White","over 13 and up to 26 weeks","East Midlands","18,750","20.2%",""
"Jan-2012","Ethnic Minority","over 13 and up to 26 weeks","East Midlands","3,185","21.3%",""
"Jan-2012","White British","over 13 and up to 26 weeks","East Midlands","18,080","20.2%",""
"Jan-2012","White Other","over 13 and up to 26 weeks","East Midlands","670","20.3%",""
"Jan-2012","Black","over 13 and up to 26 weeks","East Midlands","935","20.2%",""
"Jan-2012","Asian","over 13 and up to 26 weeks","East Midlands","1,485","22.5%",""
"Jan-2012","Mixed","over 13 and up to 26 weeks","East Midlands","460","20.1%",""
"Jan-2012","Other","over 13 and up to 26 weeks","East Midlands","310","20.9%",""
"Jan-2012","Unreported","over 13 and up to 26 weeks","East Midlands","1,050","20.6%",""
"Jan-2012","All","over 26 and up to 52 weeks","East Midlands","24,055","21.3%",""
"Jan-2012","White","over 26 and up to 52 weeks","East Midlands","19,490","21.0%",""
"Jan-2012","Ethnic Minority","over 26 and up to 52 weeks","East Midlands","3,440","23.0%",""
"Jan-2012","White British","over 26 and up to 52 weeks","East Midlands","18,950","21.2%",""
"Jan-2012","White Other","over 26 and up to 52 weeks","East Midlands","540","16.3%",""
"Jan-2012","Black","over 26 and up to 52 weeks","East Midlands","1,080","23.4%",""
"Jan-2012","Asian","over 26 and up to 52 weeks","East Midlands","1,485","22.5%",""
"Jan-2012","Mixed","over 26 and up to 52 weeks","East Midlands","540","23.6%",""
"Jan-2012","Other","over 26 and up to 52 weeks","East Midlands","335","22.6%",""
"Jan-2012","Unreported","over 26 and up to 52 weeks","East Midlands","1,125","22.1%",""
"Jan-2012","All","over 52 and up to 78 weeks","East Midlands","11,395","10.1%",""
"Jan-2012","White","over 52 and up to 78 weeks","East Midlands","9,370","10.1%",""
"Jan-2012","Ethnic Minority","over 52 and up to 78 weeks","East Midlands","1,465","9.8%",""
"Jan-2012","White British","over 52 and up to 78 weeks","East Midlands","9,175","10.3%",""
"Jan-2012","White Other","over 52 and up to 78 weeks","East Midlands","195","5.9%",""
"Jan-2012","Black","over 52 and up to 78 weeks","East Midlands","490","10.6%",""
"Jan-2012","Asian","over 52 and up to 78 weeks","East Midlands","560","8.5%",""
"Jan-2012","Mixed","over 52 and up to 78 weeks","East Midlands","265","11.6%",""
"Jan-2012","Other","over 52 and up to 78 weeks","East Midlands","150","10.1%",""
"Jan-2012","Unreported","over 52 and up to 78 weeks","East Midlands","565","11.1%",""
"Jan-2012","All","over 78 and up to 104 weeks","East Midlands","3,690","3.3%",""
"Jan-2012","White","over 78 and up to 104 weeks","East Midlands","2,995","3.2%",""
"Jan-2012","Ethnic Minority","over 78 and up to 104 weeks","East Midlands","525","3.5%",""
"Jan-2012","White British","over 78 and up to 104 weeks","East Midlands","2,915","3.3%",""
"Jan-2012","White Other","over 78 and up to 104 weeks","East Midlands","75","2.3%",""
"Jan-2012","Black","over 78 and up to 104 weeks","East Midlands","210","4.5%",""
"Jan-2012","Asian","over 78 and up to 104 weeks","East Midlands","205","3.1%",""
"Jan-2012","Mixed","over 78 and up to 104 weeks","East Midlands","65","2.8%",""
"Jan-2012","Other","over 78 and up to 104 weeks","East Midlands","40","2.7%",""
"Jan-2012","Unreported","over 78 and up to 104 weeks","East Midlands","170","3.3%",""
"Jan-2012","All","over 104 weeks","East Midlands","5,325","4.7%",""
"Jan-2012","White","over 104 weeks","East Midlands","4,350","4.7%",""
"Jan-2012","Ethnic Minority","over 104 weeks","East Midlands","685","4.6%",""
"Jan-2012","White British","over 104 weeks","East Midlands","4,260","4.8%",""
"Jan-2012","White Other","over 104 weeks","East Midlands","90","2.7%",""
"Jan-2012","Black","over 104 weeks","East Midlands","305","6.6%",""
"Jan-2012","Asian","over 104 weeks","East Midlands","235","3.6%",""
"Jan-2012","Mixed","over 104 weeks","East Midlands","90","3.9%",""
"Jan-2012","Other","over 104 weeks","East Midlands","55","3.7%",""
"Jan-2012","Unreported","over 104 weeks","East Midlands","290","5.7%",""
"Jan-2012","All","All","London","234,535","100.0%",""
"Jan-2012","White","All","London","99,165","100.0%",""
"Jan-2012","Ethnic Minority","All","London","114,685","100.0%",""
"Jan-2012","White British","All","London","79,070","100.0%",""
"Jan-2012","White Other","All","London","20,095","100.0%",""
"Jan-2012","Black","All","London","61,890","100.0%",""
"Jan-2012","Asian","All","London","29,305","100.0%",""
"Jan-2012","Mixed","All","London","10,820","100.0%",""
"Jan-2012","Other","All","London","12,670","100.0%",""
"Jan-2012","Unreported","All","London","20,680","100.0%",""
"Jan-2012","All","13 weeks or less","London","76,660","32.7%",""
"Jan-2012","White","13 weeks or less","London","35,910","36.2%",""
"Jan-2012","Ethnic Minority","13 weeks or less","London","34,630","30.2%",""
"Jan-2012","White British","13 weeks or less","London","28,005","35.4%",""
"Jan-2012","White Other","13 weeks or less","London","7,900","39.3%",""
"Jan-2012","Black","13 weeks or less","London","17,130","27.7%",""
"Jan-2012","Asian","13 weeks or less","London","9,825","33.5%",""
"Jan-2012","Mixed","13 weeks or less","London","3,660","33.8%",""
"Jan-2012","Other","13 weeks or less","London","4,015","31.7%",""
"Jan-2012","Unreported","13 weeks or less","London","6,120","29.6%",""
"Jan-2012","All","over 13 and up to 26 weeks","London","50,960","21.7%",""
"Jan-2012","White","over 13 and up to 26 weeks","London","21,570","21.8%",""
"Jan-2012","Ethnic Minority","over 13 and up to 26 weeks","London","24,735","21.6%",""
"Jan-2012","White British","over 13 and up to 26 weeks","London","16,840","21.3%",""
"Jan-2012","White Other","over 13 and up to 26 weeks","London","4,730","23.5%",""
"Jan-2012","Black","over 13 and up to 26 weeks","London","12,780","20.6%",""
"Jan-2012","Asian","over 13 and up to 26 weeks","London","6,625","22.6%",""
"Jan-2012","Mixed","over 13 and up to 26 weeks","London","2,500","23.1%",""
"Jan-2012","Other","over 13 and up to 26 weeks","London","2,830","22.3%",""
"Jan-2012","Unreported","over 13 and up to 26 weeks","London","4,655","22.5%",""
"Jan-2012","All","over 26 and up to 52 weeks","London","55,395","23.6%",""
"Jan-2012","White","over 26 and up to 52 weeks","London","21,465","21.6%",""
"Jan-2012","Ethnic Minority","over 26 and up to 52 weeks","London","28,850","25.2%",""
"Jan-2012","White British","over 26 and up to 52 weeks","London","17,520","22.2%",""
"Jan-2012","White Other","over 26 and up to 52 weeks","London","3,945","19.6%",""
"Jan-2012","Black","over 26 and up to 52 weeks","London","15,900","25.7%",""
"Jan-2012","Asian","over 26 and up to 52 weeks","London","7,320","25.0%",""
"Jan-2012","Mixed","over 26 and up to 52 weeks","London","2,590","23.9%",""
"Jan-2012","Other","over 26 and up to 52 weeks","London","3,040","24.0%",""
"Jan-2012","Unreported","over 26 and up to 52 weeks","London","5,080","24.6%",""
"Jan-2012","All","over 52 and up to 78 weeks","London","26,165","11.2%",""
"Jan-2012","White","over 52 and up to 78 weeks","London","10,185","10.3%",""
"Jan-2012","Ethnic Minority","over 52 and up to 78 weeks","London","13,615","11.9%",""
"Jan-2012","White British","over 52 and up to 78 weeks","London","8,315","10.5%",""
"Jan-2012","White Other","over 52 and up to 78 weeks","London","1,870","9.3%",""
"Jan-2012","Black","over 52 and up to 78 weeks","London","7,880","12.7%",""
"Jan-2012","Asian","over 52 and up to 78 weeks","London","3,050","10.4%",""
"Jan-2012","Mixed","over 52 and up to 78 weeks","London","1,090","10.1%",""
"Jan-2012","Other","over 52 and up to 78 weeks","London","1,590","12.5%",""
"Jan-2012","Unreported","over 52 and up to 78 weeks","London","2,370","11.5%",""
"Jan-2012","All","over 78 and up to 104 weeks","London","11,840","5.0%",""
"Jan-2012","White","over 78 and up to 104 weeks","London","4,705","4.7%",""
"Jan-2012","Ethnic Minority","over 78 and up to 104 weeks","London","6,035","5.3%",""
"Jan-2012","White British","over 78 and up to 104 weeks","London","3,975","5.0%",""
"Jan-2012","White Other","over 78 and up to 104 weeks","London","730","3.6%",""
"Jan-2012","Black","over 78 and up to 104 weeks","London","3,705","6.0%",""
"Jan-2012","Asian","over 78 and up to 104 weeks","London","1,280","4.4%",""
"Jan-2012","Mixed","over 78 and up to 104 weeks","London","470","4.3%",""
"Jan-2012","Other","over 78 and up to 104 weeks","London","580","4.6%",""
"Jan-2012","Unreported","over 78 and up to 104 weeks","London","1,100","5.3%",""
"Jan-2012","All","over 104 weeks","London","13,515","5.8%",""
"Jan-2012","White","over 104 weeks","London","5,330","5.4%",""
"Jan-2012","Ethnic Minority","over 104 weeks","London","6,825","6.0%",""
"Jan-2012","White British","over 104 weeks","London","4,415","5.6%",""
"Jan-2012","White Other","over 104 weeks","London","915","4.6%",""
"Jan-2012","Black","over 104 weeks","London","4,495","7.3%",""
"Jan-2012","Asian","over 104 weeks","London","1,205","4.1%",""
"Jan-2012","Mixed","over 104 weeks","London","510","4.7%",""
"Jan-2012","Other","over 104 weeks","London","620","4.9%",""
"Jan-2012","Unreported","over 104 weeks","London","1,355","6.6%",""
"Jan-2012","All","All","North East","94,245","100.0%",""
"Jan-2012","White","All","North East","87,065","100.0%",""
"Jan-2012","Ethnic Minority","All","North East","3,070","100.0%",""
"Jan-2012","White British","All","North East","85,960","100.0%",""
"Jan-2012","White Other","All","North East","1,105","100.0%",""
"Jan-2012","Black","All","North East","645","100.0%",""
"Jan-2012","Asian","All","North East","1,315","100.0%",""
"Jan-2012","Mixed","All","North East","465","100.0%",""
"Jan-2012","Other","All","North East","650","100.0%",""
"Jan-2012","Unreported","All","North East","4,105","100.0%",""
"Jan-2012","All","13 weeks or less","North East","33,225","35.3%",""
"Jan-2012","White","13 weeks or less","North East","30,905","35.5%",""
"Jan-2012","Ethnic Minority","13 weeks or less","North East","1,030","33.6%",""
"Jan-2012","White British","13 weeks or less","North East","30,410","35.4%",""
"Jan-2012","White Other","13 weeks or less","North East","495","44.8%",""
"Jan-2012","Black","13 weeks or less","North East","210","32.6%",""
"Jan-2012","Asian","13 weeks or less","North East","450","34.2%",""
"Jan-2012","Mixed","13 weeks or less","North East","165","35.5%",""
"Jan-2012","Other","13 weeks or less","North East","205","31.5%",""
"Jan-2012","Unreported","13 weeks or less","North East","1,290","31.4%",""
"Jan-2012","All","over 13 and up to 26 weeks","North East","20,150","21.4%",""
"Jan-2012","White","over 13 and up to 26 weeks","North East","18,535","21.3%",""
"Jan-2012","Ethnic Minority","over 13 and up to 26 weeks","North East","675","22.0%",""
"Jan-2012","White British","over 13 and up to 26 weeks","North East","18,260","21.2%",""
"Jan-2012","White Other","over 13 and up to 26 weeks","North East","275","24.9%",""
"Jan-2012","Black","over 13 and up to 26 weeks","North East","150","23.3%",""
"Jan-2012","Asian","over 13 and up to 26 weeks","North East","270","20.5%",""
"Jan-2012","Mixed","over 13 and up to 26 weeks","North East","120","25.8%",""
"Jan-2012","Other","over 13 and up to 26 weeks","North East","140","21.5%",""
"Jan-2012","Unreported","over 13 and up to 26 weeks","North East","940","22.9%",""
"Jan-2012","All","over 26 and up to 52 weeks","North East","23,370","24.8%",""
"Jan-2012","White","over 26 and up to 52 weeks","North East","21,545","24.7%",""
"Jan-2012","Ethnic Minority","over 26 and up to 52 weeks","North East","815","26.5%",""
"Jan-2012","White British","over 26 and up to 52 weeks","North East","21,345","24.8%",""
"Jan-2012","White Other","over 26 and up to 52 weeks","North East","200","18.1%",""
"Jan-2012","Black","over 26 and up to 52 weeks","North East","155","24.0%",""
"Jan-2012","Asian","over 26 and up to 52 weeks","North East","375","28.5%",""
"Jan-2012","Mixed","over 26 and up to 52 weeks","North East","105","22.6%",""
"Jan-2012","Other","over 26 and up to 52 weeks","North East","180","27.7%",""
"Jan-2012","Unreported","over 26 and up to 52 weeks","North East","1,010","24.6%",""
"Jan-2012","All","over 52 and up to 78 weeks","North East","10,645","11.3%",""
"Jan-2012","White","over 52 and up to 78 weeks","North East","9,830","11.3%",""
"Jan-2012","Ethnic Minority","over 52 and up to 78 weeks","North East","335","10.9%",""
"Jan-2012","White British","over 52 and up to 78 weeks","North East","9,750","11.3%",""
"Jan-2012","White Other","over 52 and up to 78 weeks","North East","80","7.2%",""
"Jan-2012","Black","over 52 and up to 78 weeks","North East","90","14.0%",""
"Jan-2012","Asian","over 52 and up to 78 weeks","North East","130","9.9%",""
"Jan-2012","Mixed","over 52 and up to 78 weeks","North East","45","9.7%",""
"Jan-2012","Other","over 52 and up to 78 weeks","North East","70","10.8%",""
"Jan-2012","Unreported","over 52 and up to 78 weeks","North East","485","11.8%",""
"Jan-2012","All","over 78 and up to 104 weeks","North East","3,740","4.0%",""
"Jan-2012","White","over 78 and up to 104 weeks","North East","3,435","3.9%",""
"Jan-2012","Ethnic Minority","over 78 and up to 104 weeks","North East","120","3.9%",""
"Jan-2012","White British","over 78 and up to 104 weeks","North East","3,410","4.0%",""
"Jan-2012","White Other","over 78 and up to 104 weeks","North East","30","2.7%",""
"Jan-2012","Black","over 78 and up to 104 weeks","North East","25","3.9%",""
"Jan-2012","Asian","over 78 and up to 104 weeks","North East","50","3.8%",""
"Jan-2012","Mixed","over 78 and up to 104 weeks","North East","20","4.3%",""
"Jan-2012","Other","over 78 and up to 104 weeks","North East","30","4.6%",""
"Jan-2012","Unreported","over 78 and up to 104 weeks","North East","180","4.4%",""
"Jan-2012","All","over 104 weeks","North East","3,110","3.3%",""
"Jan-2012","White","over 104 weeks","North East","2,815","3.2%",""
"Jan-2012","Ethnic Minority","over 104 weeks","North East","90","2.9%",""
"Jan-2012","White British","over 104 weeks","North East","2,795","3.3%",""
"Jan-2012","White Other","over 104 weeks","North East","25","2.3%",""
"Jan-2012","Black","over 104 weeks","North East","15","2.3%",""
"Jan-2012","Asian","over 104 weeks","North East","40","3.0%",""
"Jan-2012","Mixed","over 104 weeks","North East","10","2.2%",""
"Jan-2012","Other","over 104 weeks","North East","25","3.8%",""
"Jan-2012","Unreported","over 104 weeks","North East","200","4.9%",""
"Jan-2012","All","All","North West","206,760","100.0%",""
"Jan-2012","White","All","North West","176,730","100.0%",""
"Jan-2012","Ethnic Minority","All","North West","20,500","100.0%",""
"Jan-2012","White British","All","North West","172,425","100.0%",""
"Jan-2012","White Other","All","North West","4,305","100.0%",""
"Jan-2012","Black","All","North West","5,480","100.0%",""
"Jan-2012","Asian","All","North West","9,580","100.0%",""
"Jan-2012","Mixed","All","North West","2,950","100.0%",""
"Jan-2012","Other","All","North West","2,495","100.0%",""
"Jan-2012","Unreported","All","North West","9,525","100.0%",""
"Jan-2012","All","13 weeks or less","North West","79,950","38.7%",""
"Jan-2012","White","13 weeks or less","North West","69,280","39.2%",""
"Jan-2012","Ethnic Minority","13 weeks or less","North West","7,230","35.3%",""
"Jan-2012","White British","13 weeks or less","North West","67,165","39.0%",""
"Jan-2012","White Other","13 weeks or less","North West","2,115","49.1%",""
"Jan-2012","Black","13 weeks or less","North West","1,700","31.0%",""
"Jan-2012","Asian","13 weeks or less","North West","3,535","36.9%",""
"Jan-2012","Mixed","13 weeks or less","North West","1,110","37.6%",""
"Jan-2012","Other","13 weeks or less","North West","880","35.3%",""
"Jan-2012","Unreported","13 weeks or less","North West","3,440","36.1%",""
"Jan-2012","All","over 13 and up to 26 weeks","North West","44,865","21.7%",""
"Jan-2012","White","over 13 and up to 26 weeks","North West","38,010","21.5%",""
"Jan-2012","Ethnic Minority","over 13 and up to 26 weeks","North West","4,680","22.8%",""
"Jan-2012","White British","over 13 and up to 26 weeks","North West","37,115","21.5%",""
"Jan-2012","White Other","over 13 and up to 26 weeks","North West","895","20.8%",""
"Jan-2012","Black","over 13 and up to 26 weeks","North West","1,160","21.2%",""
"Jan-2012","Asian","over 13 and up to 26 weeks","North West","2,295","24.0%",""
"Jan-2012","Mixed","over 13 and up to 26 weeks","North West","685","23.2%",""
"Jan-2012","Other","over 13 and up to 26 weeks","North West","545","21.8%",""
"Jan-2012","Unreported","over 13 and up to 26 weeks","North West","2,170","22.8%",""
"Jan-2012","All","over 26 and up to 52 weeks","North West","43,240","20.9%",""
