"Title","Fuel poverty"
"Location","England"
"Time period","2003 to 2016"
"Data source","Department for Business, Energy & Industrial Strategy"
"Data source link","https://www.gov.uk/government/collections/fuel-poverty-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-04"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Income band","Value","Value_type","Numerator (number of households, 000's)","Denominator (number of households, 000's)"
"Percentage of households in Fuel Poverty in England","2009","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","12","%","2,562","21,535"
"Percentage of households in Fuel Poverty in England","2010","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","11","%","2,072","19,500"
"Percentage of households in Fuel Poverty in England","2010","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","19","%","390","2,100"
"Percentage of households in Fuel Poverty in England","2010","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","11","%","2,462","21,600"
"Percentage of households in Fuel Poverty in England","2011","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","2,036","19,650"
"Percentage of households in Fuel Poverty in England","2011","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","17","%","388","2,269"
"Percentage of households in Fuel Poverty in England","2011","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","11","%","2,424","21,918"
"Percentage of households in Fuel Poverty in England","2012","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","1,930","19,598"
"Percentage of households in Fuel Poverty in England","2012","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","18","%","414","2,338"
"Percentage of households in Fuel Poverty in England","2012","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","11","%","2,344","21,935"
"Percentage of households in Fuel Poverty in England","2013","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","1,934","20,191"
"Percentage of households in Fuel Poverty in England","2013","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","18","%","434","2,392"
"Percentage of households in Fuel Poverty in England","2013","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","2,368","22,583"
"Percentage of households in Fuel Poverty in England","2014","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","1,972","20,223"
"Percentage of households in Fuel Poverty in England","2014","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","17","%","390","2,320"
"Percentage of households in Fuel Poverty in England","2014","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","2,362","22,542"
"Percentage of households in Fuel Poverty in England","2015","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","2,097","20,186"
"Percentage of households in Fuel Poverty in England","2015","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","16","%","385","2,471"
"Percentage of households in Fuel Poverty in England","2015","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","11","%","2,482","22,657"
"Percentage of households in Fuel Poverty in England","2016","Year","White","White & Other","Equivalised after housing cost income (Deciles 1-3)","10","%","2,099","20,348"
"Percentage of households in Fuel Poverty in England","2016","Year","Other","White & Other","Equivalised after housing cost income (Deciles 1-3)","17","%","452","2,648"
"Percentage of households in Fuel Poverty in England","2016","Year","All","White & Other","Equivalised after housing cost income (Deciles 1-3)","11","%","2,551","22,996"
