"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Note","Sample size"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2011/12","Year","Other","White & other","England","44.4","48.9","39.9","Taking Part Survey","871"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2011/12","Year","All","White & other","England","48.9","50.1","47.6","Taking Part Survey","9,188"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2012/13","Year","White","White & other","England","53.7","55.1","52.3","Taking Part Survey","9,054"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2012/13","Year","Other","White & other","England","45","50.6","39.5","Taking Part Survey","775"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2012/13","Year","All","White & other","England","52.8","54.1","51.5","Taking Part Survey","9,838"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2013/14","Year","White","White & other","England","53.6","54.9","52.3","Taking Part Survey","9,545"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2013/14","Year","Other","White & other","England","49.3","54.8","43.8","Taking Part Survey","798"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2013/14","Year","All","White & other","England","53.1","54.3","51.9","Taking Part Survey","10,355"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2014/15","Year","White","White & other","England","53.2","54.7","51.6","Taking Part Survey","9,050"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2014/15","Year","Other","White & other","England","42.9","48.5","37.4","Taking Part Survey","757"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2014/15","Year","All","White & other","England","52","53.4","50.6","Taking Part Survey","9,817"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","White","White & other","England","53.1","54.5","51.7","Taking Part Survey","9,312"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","Other","White & other","England","48.2","53.2","43.1","Taking Part Survey","850"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","All","White & other","England","52.5","53.9","51.2","Taking Part Survey","10,171"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2016/17","Year","White","White & other","England","53.6","55.2","52.1","Taking Part Survey","8473"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2016/17","Year","Other","White & other","England","44.1","48.2","40","Taking Part Survey","862"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2016/17","Year","All","White & other","England","52.3","53.8","50.8","Taking Part Survey","9352"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","White","White, Asian, Black and Other","England","43","43.8","42.2","Taking Part Survey","24,038"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","Asian","White, Asian, Black and Other","England","34.8","37.3","32.3","Taking Part Survey","2,080"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","Black","White, Asian, Black and Other","England","31.5","34.6","28.5","Taking Part Survey","1,322"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","Other","White, Asian, Black and Other","England","41.2","45.9","36.6","Taking Part Survey","645"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","All","White, Asian, Black and Other","England","42.3","43","41.5","Taking Part Survey","28,117"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","White","White, Asian, Black and Other","England","47.3","48.4","46.3","Taking Part Survey","12,617"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","Asian","White, Asian, Black and Other","England","38","42","34","Taking Part Survey","796"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","Black","White, Asian, Black and Other","England","29.5","34.7","24.4","Taking Part Survey","423"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","Other","White, Asian, Black and Other","England","49.2","56.8","41.7","Taking Part Survey","238"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","All","White, Asian, Black and Other","England","46.3","47.3","45.3","Taking Part Survey","14,102"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","White","White, Asian, Black and Other","England","53.1","54.5","51.7","Taking Part Survey","9,312"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","Asian","White, Asian, Black and Other","England","49.9","56.4","43.4","Taking Part Survey","434"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","Black","White, Asian, Black and Other","England","41.3","49.9","32.7","Taking Part Survey","242"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","Other","White, Asian, Black and Other","England","52.9","63.2","42.7","Taking Part Survey","174"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2015/16","Year","All","White, Asian, Black and Other","England","52.5","53.9","51.2","Taking Part Survey","10,171"
