Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type,Age group,Age group type,NS-SEC group,Income band,Region,Tenure,Value,Denominator,Numerator,Sample size
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£800 to £899,All,All,18.9,210022,39636,314
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£900 to £999,All,All,21.4,170613,36527,234
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£1000 and above,All,All,29.8,814503,242799,1173
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,North East,All,35.7,1083531,386464,2223
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,North West,All,38.3,2732893,1046505,5124
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,Yorkshire and the Humber,All,39,2014231,784867,3676
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,East Midlands,All,40.9,1710066,700232,3206
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,West Midlands,All,42.3,1982713,839358,3498
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,East,All,42.4,2169371,918946,3992
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,London,All,33.1,1723591,570629,2353
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,South East,All,40.8,3193654,1304316,5718
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,South West,All,43.1,2217722,955156,3929
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,North East,All,21.7,57729,12552,104
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,North West,All,24.3,321434,78247,580
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,Yorkshire and the Humber,All,19.5,230373,44906,413
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,East Midlands,All,22.7,227931,51740,411
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,West Midlands,All,25.2,339739,85621,604
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,East,All,27.1,321024,86927,572
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,London,All,16.3,1643031,267655,2377
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,South East,All,23.8,486885,115898,826
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,South West,All,21.3,157547,33623,279
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole, 16 - 24,EHS age bands,All,All,All,All,12.8,573254,73236,984
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole, 25 - 34,EHS age bands,All,All,All,All,18.9,2396932,452056,4082
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole, 35 - 44,EHS age bands,All,All,All,All,25.4,2941139,748349,5296
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole, 45 - 54,EHS age bands,All,All,All,All,35.1,3766221,1321586,6601
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole, 55 - 64,EHS age bands,All,All,All,All,51.9,3249826,1685733,6044
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole, 65 or over,EHS age bands,All,All,All,All,54.7,5900399,3225512,10712
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole, 16 - 24,EHS age bands,All,All,All,All,9.2,202590,18703,269
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole, 25 - 34,EHS age bands,All,All,All,All,10.1,901571,91403,1393
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole, 35 - 44,EHS age bands,All,All,All,All,14.8,1044794,154343,1743
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole, 45 - 54,EHS age bands,All,All,All,All,21.1,761583,160913,1291
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole, 55 - 64,EHS age bands,All,All,All,All,32.4,413099,133835,708
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole, 65 or over,EHS age bands,All,All,All,All,47.2,462057,217971,762
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,Owner occupiers,52.6,12733724,6702018,20923
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,Social rented housing,10.5,3109053,325811,8454
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,Private rented housing,16,2984994,478644,4342
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,Owner occupiers,37.7,1574662,593837,2389
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,Social rented housing,6.2,804976,50082,1918
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,Private rented housing,9.5,1406057,133250,1859
