"Title","Income spent on rent for new lettings of social housing","","","","","","",""
"Location","England","","","","","","",""
"Time period","2016/17","","","","","","",""
"Data source","Ministry of Housing, Communities and Local Government","","","","","","",""
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","","",""
"Last updated","-","","","","","","",""
"Measure","Time","Time_type","Geography_code","Geography_name","Geography_type","Ethnicity","Ethnicity_type","Value"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","53"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","White: Irish","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","White: Irish","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","White: Irish","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","White: Irish","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","White: Irish","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","White: Irish","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","White: Irish","ONS 18+1","55"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","White: Irish","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","White: Irish","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","White: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","White: Other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","White: Other","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","White: Other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","White: Other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","White: Other","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","White: Other","ONS 18+1","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","White: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","White: Other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Mixed: White & Black Caribbean","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Mixed: White & Black Caribbean","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Mixed: White & Black Caribbean","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Mixed: White & Black Caribbean","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Mixed: White & Black Caribbean","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Mixed: White & Black Caribbean","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Mixed: White & Black Caribbean","ONS 18+1","54"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Mixed: White & Black Caribbean","ONS 18+1","48"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Mixed: White & Black Caribbean","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Mixed: White & Black African","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Mixed: White & Black African","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Mixed: White & Black African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Mixed: White & Black African","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Mixed: White & Black African","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Mixed: White & Black African","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Mixed: White & Black African","ONS 18+1","53"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Mixed: White & Black African","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Mixed: White & Black African","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Mixed: White & Asian","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Mixed: White & Asian","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Mixed: White & Asian","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Mixed: White & Asian","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Mixed: White & Asian","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Mixed: White & Asian","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Mixed: White & Asian","ONS 18+1","54"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Mixed: White & Asian","ONS 18+1","48"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Mixed: White & Asian","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Mixed: Other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Mixed: Other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Mixed: Other","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Mixed: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Mixed: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Mixed: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Mixed: Other","ONS 18+1","54"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Mixed: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Mixed: Other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Asian/Asian British: Indian","ONS 18+1","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Asian/Asian British: Indian","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Asian/Asian British: Indian","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Asian/Asian British: Indian","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Asian/Asian British: Indian","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Asian/Asian British: Indian","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Asian/Asian British: Indian","ONS 18+1","53"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Asian/Asian British: Indian","ONS 18+1","48"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Asian/Asian British: Indian","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Asian/Asian British: Pakistani","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Asian/Asian British: Pakistani","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Asian/Asian British: Pakistani","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Asian/Asian British: Pakistani","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Asian/Asian British: Pakistani","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Asian/Asian British: Pakistani","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Asian/Asian British: Pakistani","ONS 18+1","48"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Asian/Asian British: Pakistani","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Asian/Asian British: Pakistani","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Asian/Asian British: Bangladeshi","ONS 18+1","34"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Asian/Asian British: Bangladeshi","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Asian/Asian British: Bangladeshi","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Asian/Asian British: Bangladeshi","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Asian/Asian British: Bangladeshi","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Asian/Asian British: Bangladeshi","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Asian/Asian British: Bangladeshi","ONS 18+1","49"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Asian/Asian British: Bangladeshi","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Asian/Asian British: Bangladeshi","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Asian/Asian British: Other","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Asian/Asian British: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Asian/Asian British: Other","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Asian/Asian British: Other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Asian/Asian British: Other","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Asian/Asian British: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Asian/Asian British: Other","ONS 18+1","50"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Asian/Asian British: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Asian/Asian British: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","53"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","48"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Black, African, Caribbean or Black British: African","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Black, African, Caribbean or Black British: African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Black, African, Caribbean or Black British: African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Black, African, Caribbean or Black British: African","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Black, African, Caribbean or Black British: African","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Black, African, Caribbean or Black British: African","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Black, African, Caribbean or Black British: African","ONS 18+1","49"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Black, African, Caribbean or Black British: African","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Black, African, Caribbean or Black British: African","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Black, African, Caribbean or Black British: Other","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Asian/Asian British: Chinese","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Asian/Asian British: Chinese","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Asian/Asian British: Chinese","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Asian/Asian British: Chinese","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Asian/Asian British: Chinese","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Asian/Asian British: Chinese","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Asian/Asian British: Chinese","ONS 18+1","53"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Asian/Asian British: Chinese","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Asian/Asian British: Chinese","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Other Ethnic group: Other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Other Ethnic group: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Other Ethnic group: Other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Other Ethnic group: Other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Other Ethnic group: Other","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Other Ethnic group: Other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Other Ethnic group: Other","ONS 18+1","50"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Other Ethnic group: Other","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Other Ethnic group: Other","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","White: Gypsy, Irish Traveller","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","White: Gypsy, Irish Traveller","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","White: Gypsy, Irish Traveller","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","White: Gypsy, Irish Traveller","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","White: Gypsy, Irish Traveller","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","White: Gypsy, Irish Traveller","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","White: Gypsy, Irish Traveller","ONS 18+1","49"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","White: Gypsy, Irish Traveller","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","White: Gypsy, Irish Traveller","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Other Ethnic group: Arab","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Other Ethnic group: Arab","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Other Ethnic group: Arab","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Other Ethnic group: Arab","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Other Ethnic group: Arab","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Other Ethnic group: Arab","ONS 18+1","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Other Ethnic group: Arab","ONS 18+1","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Other Ethnic group: Arab","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Other Ethnic group: Arab","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Asian","ONS 5+1 2011","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Asian","ONS 5+1 2011","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Asian","ONS 5+1 2011","36"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Asian","ONS 5+1 2011","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Asian","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Asian","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Asian","ONS 5+1 2011","50"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Asian","ONS 5+1 2011","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Asian","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Black","ONS 5+1 2011","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Black","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Black","ONS 5+1 2011","37"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Black","ONS 5+1 2011","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Black","ONS 5+1 2011","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Black","ONS 5+1 2011","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Black","ONS 5+1 2011","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Black","ONS 5+1 2011","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Black","ONS 5+1 2011","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Mixed","ONS 5+1 2011","41"
