"Title","Travel to school"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-01"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Denominator","Unweighted_Sample_Trips","Numerator","Unweighted_Sample_Distance","Weighted_Sample_Trip_Time","Unweighted_Sample_Trip_Time","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16","Notes"
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2010-2014","5-year rolling average","Asian","National Travel Survey broad ethnicity classification","2.1","6133","6099","12670","12022","114381","112184","926","940",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2010-2014","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","2.4","3667","4008","8800","9339","90835","98543","525","582",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2010-2014","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","2","2216","2188","4365","4255","47927","47078","393","399",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2010-2014","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","2.6","908","938","2407","2434","20146","20715","150","166",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","2.7","60036","60348","159226","159326","1133605","1131439","9599","9906",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","2.6","72571","72436","186002","184127","1393416","1381247","11476","11761",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2011-2015","5-year rolling average","Asian","National Travel Survey broad ethnicity classification","2.1","6102","6023","12713","12100","113281","110861","946","957",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2011-2015","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","2.3","3536","3808","8210","8666","85351","91437","513","569",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2011-2015","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","2.1","2343","2317","4986","4766","50479","48478","396","402",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2011-2015","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","2.3","963","998","2218","2317","22520","23914","148","163",""
"Average trip distance in miles travelled to school by children aged 5 to 16 ","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","2.6","59584","59238","157733","156064","1120554","1105037","9467","9663",""
