"Title","Working age population"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-08-01"
"Measure","Ethnicity","Geography","Age_group","Sex","Value","Count","Year","Source","","","","",""
"Percent of working age population","Chinese","England and Wales","16-64","Male","0.8","151351","2011","2011 Census","","","","",""
"Percent of working age population","Asian other","England and Wales","16-64","Male","1.6","291886","2011","2011 Census","","","","",""
"Percent of working age population","Black/African/Caribbean/Black British","England and Wales","16-64","Male","3.3","588402","2011","2011 Census","","","","",""
"Percent of working age population","African","England and Wales","16-64","Male","1.8","318947","2011","2011 Census","","","","",""
"Percent of working age population","Caribbean","England and Wales","16-64","Male","1.0","186128","2011","2011 Census","","","","",""
"Percent of working age population","Black other","England and Wales","16-64","Male","0.5","83327","2011","2011 Census","","","","",""
"Percent of working age population","Other ethnic group","England and Wales","16-64","Male","1.3","230230","2011","2011 Census","","","","",""
"Percent of working age population","Arab","England and Wales","16-64","Male","0.5","95237","2011","2011 Census","","","","",""
"Percent of working age population","Any other ethnic group","England and Wales","16-64","Male","0.7","134993","2011","2011 Census","","","","",""
"Percent of working age population","All","England and Wales","16-64","Female","100.0","18213854","2011","2011 Census","","","","",""
"Percent of working age population","White","England and Wales","16-64","Female","85.7","15601775","2011","2011 Census","","","","",""
"Percent of working age population","White British","England and Wales","16-64","Female","79.0","14388566","2011","2011 Census","","","","",""
"Percent of working age population","Irish","England and Wales","16-64","Female","0.9","168486","2011","2011 Census","","","","",""
"Percent of working age population","Gypsy or Irish Traveller","England and Wales","16-64","Female","0.1","18318","2011","2011 Census","","","","",""
"Percent of working age population","White other","England and Wales","16-64","Female","5.6","1026405","2011","2011 Census","","","","",""
"Percent of working age population","Mixed","England and Wales","16-64","Female","1.8","323632","2011","2011 Census","","","","",""
"Percent of working age population","White and Black Caribbean","England and Wales","16-64","Female","0.6","115427","2011","2011 Census","","","","",""
"Percent of working age population","White and Black African","England and Wales","16-64","Female","0.2","41091","2011","2011 Census","","","","",""
"Percent of working age population","White and Asian","England and Wales","16-64","Female","0.5","82408","2011","2011 Census","","","","",""
"Percent of working age population","Mixed other","England and Wales","16-64","Female","0.5","84706","2011","2011 Census","","","","",""
"Percent of working age population","Asian/Asian British","England and Wales","16-64","Female","8.0","1463099","2011","2011 Census","","","","",""
"Percent of working age population","Indian","England and Wales","16-64","Female","2.7","500861","2011","2011 Census","","","","",""
"Percent of working age population","Pakistani","England and Wales","16-64","Female","1.9","342809","2011","2011 Census","","","","",""
"Percent of working age population","Bangladeshi","England and Wales","16-64","Female","0.7","131970","2011","2011 Census","","","","",""
"Percent of working age population","Chinese","England and Wales","16-64","Female","0.9","171440","2011","2011 Census","","","","",""
"Percent of working age population","Asian other","England and Wales","16-64","Female","1.7","316019","2011","2011 Census","","","","",""
"Percent of working age population","Black/African/Caribbean/Black British","England and Wales","16-64","Female","3.6","652145","2011","2011 Census","","","","",""
"Percent of working age population","African","England and Wales","16-64","Female","1.9","348471","2011","2011 Census","","","","",""
"Percent of working age population","Caribbean","England and Wales","16-64","Female","1.2","222190","2011","2011 Census","","","","",""
"Percent of working age population","Black other","England and Wales","16-64","Female","0.4","81484","2011","2011 Census","","","","",""
"Percent of working age population","Other ethnic group","England and Wales","16-64","Female","1.0","173203","2011","2011 Census","","","","",""
"Percent of working age population","Arab","England and Wales","16-64","Female","0.3","61711","2011","2011 Census","","","","",""
"Percent of working age population","Any other ethnic group","England and Wales","16-64","Female","0.6","111492","2011","2011 Census","","","","",""
"Percent of working age population","All","England","16-64","All","100.0","34329091","2011","2011 Census","","","","",""
"Percent of working age population","White","England","16-64","All","85.1","29201606","2011","2011 Census","","","","",""
"Percent of working age population","White British","England","16-64","All","78.5","26932465","2011","2011 Census","","","","",""
"Percent of working age population","Irish","England","16-64","All","1.0","328505","2011","2011 Census","","","","",""
"Percent of working age population","Gypsy or Irish Traveller","England","16-64","All","0.1","34178","2011","2011 Census","","","","",""
"Percent of working age population","White other","England","16-64","All","5.6","1906458","2011","2011 Census","","","","",""
"Percent of working age population","Mixed","England","16-64","All","1.8","620280","2011","2011 Census","","","","",""
"Percent of working age population","White and Black Caribbean","England","16-64","All","0.6","218859","2011","2011 Census","","","","",""
"Percent of working age population","White and Black African","England","16-64","All","0.2","79068","2011","2011 Census","","","","",""
"Percent of working age population","White and Asian","England","16-64","All","0.5","165976","2011","2011 Census","","","","",""
"Percent of working age population","Mixed other","England","16-64","All","0.5","156377","2011","2011 Census","","","","",""
"Percent of working age population","Asian/Asian British","England","16-64","All","8.4","2886974","2011","2011 Census","","","","",""
"Percent of working age population","Indian","England","16-64","All","3.0","1013550","2011","2011 Census","","","","",""
"Percent of working age population","Pakistani","England","16-64","All","2.0","696841","2011","2011 Census","","","","",""
"Percent of working age population","Bangladeshi","England","16-64","All","0.8","268507","2011","2011 Census","","","","",""
"Percent of working age population","Chinese","England","16-64","All","0.9","311828","2011","2011 Census","","","","",""
"Percent of working age population","Asian other","England","16-64","All","1.7","596248","2011","2011 Census","","","","",""
"Percent of working age population","Black/African/Caribbean/Black British","England","16-64","All","3.6","1227458","2011","2011 Census","","","","",""
"Percent of working age population","African","England","16-64","All","1.9","658725","2011","2011 Census","","","","",""
"Percent of working age population","Caribbean","England","16-64","All","1.2","405493","2011","2011 Census","","","","",""
"Percent of working age population","Black other","England","16-64","All","0.5","163240","2011","2011 Census","","","","",""
"Percent of working age population","Other ethnic group","England","16-64","All","1.1","392773","2011","2011 Census","","","","",""
"Percent of working age population","Arab","England","16-64","All","0.4","150446","2011","2011 Census","","","","",""
"Percent of working age population","Any other ethnic group","England","16-64","All","0.7","242327","2011","2011 Census","","","","",""
"Percent of working age population","All","Wales","16-64","All","100.0","1944616","2011","2011 Census","","","","",""
"Percent of working age population","White","Wales","16-64","All","95.3","1852897","2011","2011 Census","","","","",""
"Percent of working age population","White British","Wales","16-64","All","92.5","1799390","2011","2011 Census","","","","",""
"Percent of working age population","Irish","Wales","16-64","All","0.5","9072","2011","2011 Census","","","","",""
"Percent of working age population","Gypsy or Irish Traveller","Wales","16-64","All","0.1","1691","2011","2011 Census","","","","",""
"Percent of working age population","White other","Wales","16-64","All","2.2","42744","2011","2011 Census","","","","",""
"Percent of working age population","Mixed","Wales","16-64","All","0.9","18011","2011","2011 Census","","","","",""
"Percent of working age population","White and Black Caribbean","Wales","16-64","All","0.3","6606","2011","2011 Census","","","","",""
"Percent of working age population","White and Black African","Wales","16-64","All","0.1","2296","2011","2011 Census","","","","",""
"Percent of working age population","White and Asian","Wales","16-64","All","0.3","4951","2011","2011 Census","","","","",""
"Percent of working age population","Mixed other","Wales","16-64","All","0.2","4158","2011","2011 Census","","","","",""
"Percent of working age population","Asian/Asian British","Wales","16-64","All","2.6","49959","2011","2011 Census","","","","",""
"Percent of working age population","Indian","Wales","16-64","All","0.7","12882","2011","2011 Census","","","","",""
"Percent of working age population","Pakistani","Wales","16-64","All","0.4","7848","2011","2011 Census","","","","",""
"Percent of working age population","Bangladeshi","Wales","16-64","All","0.3","6609","2011","2011 Census","","","","",""
"Percent of working age population","Chinese","Wales","16-64","All","0.6","10963","2011","2011 Census","","","","",""
"Percent of working age population","Asian other","Wales","16-64","All","0.6","11657","2011","2011 Census","","","","",""
"Percent of working age population","Black/African/Caribbean/Black British","Wales","16-64","All","0.7","13089","2011","2011 Census","","","","",""
"Percent of working age population","African","Wales","16-64","All","0.4","8693","2011","2011 Census","","","","",""
"Percent of working age population","Caribbean","Wales","16-64","All","0.1","2825","2011","2011 Census","","","","",""
"Percent of working age population","Black other","Wales","16-64","All","0.1","1571","2011","2011 Census","","","","",""
"Percent of working age population","Other ethnic group","Wales","16-64","All","0.5","10660","2011","2011 Census","","","","",""
"Percent of working age population","Arab","Wales","16-64","All","0.3","6502","2011","2011 Census","","","","",""
"Percent of working age population","Any other ethnic group","Wales","16-64","All","0.2","4158","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","All","England and Wales","16-64","All","64.7","36273707","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White","England and Wales","16-64","All","64.4","31054503","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White British","England and Wales","16-64","All","63.7","28731855","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Irish","England and Wales","16-64","All","63.6","337577","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Gypsy or Irish Traveller","England and Wales","16-64","All","62.2","35869","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White other","England and Wales","16-64","All","78.4","1949202","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed","England and Wales","16-64","All","52.1","638291","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black Caribbean","England and Wales","16-64","All","52.8","225465","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black African","England and Wales","16-64","All","49.0","81364","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Asian","England and Wales","16-64","All","50.0","170927","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed other","England and Wales","16-64","All","55.4","160535","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian/Asian British","England and Wales","16-64","All","69.7","2936933","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Indian","England and Wales","16-64","All","72.6","1026432","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Pakistani","England and Wales","16-64","All","62.7","704689","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Bangladeshi","England and Wales","16-64","All","61.5","275116","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Chinese","England and Wales","16-64","All","82.1","322791","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian other","England and Wales","16-64","All","72.7","607905","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black/African/Caribbean/Black British","England and Wales","16-64","All","66.5","1240547","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","African","England and Wales","16-64","All","67.4","667418","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Caribbean","England and Wales","16-64","All","68.6","408318","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black other","England and Wales","16-64","All","58.8","164811","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Other ethnic group","England and Wales","16-64","All","71.6","403433","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Arab","England and Wales","16-64","All","68.1","156948","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Any other ethnic group","England and Wales","16-64","All","74.0","246485","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","All","England and Wales","16-64","Male","65.5","18059853","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White","England and Wales","16-64","Male","65.4","15452728","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White British","England and Wales","16-64","Male","64.7","14343289","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Irish","England and Wales","16-64","Male","66.5","169091","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Gypsy or Irish Traveller","England and Wales","16-64","Male","61.4","17551","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White other","England and Wales","16-64","Male","78.2","922797","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed","England and Wales","16-64","Male","51.5","314659","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black Caribbean","England and Wales","16-64","Male","52.0","110038","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black African","England and Wales","16-64","Male","48.5","40273","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Asian","England and Wales","16-64","Male","50.4","88519","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed other","England and Wales","16-64","Male","53.7","75829","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian/Asian British","England and Wales","16-64","Male","69.5","1473834","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Indian","England and Wales","16-64","Male","73.0","525571","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Pakistani","England and Wales","16-64","Male","62.8","361880","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Bangladeshi","England and Wales","16-64","Male","62.0","143146","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Chinese","England and Wales","16-64","Male","81.4","151351","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian other","England and Wales","16-64","Male","71.7","291886","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black/African/Caribbean/Black British","England and Wales","16-64","Male","65.5","588402","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","African","England and Wales","16-64","Male","66.5","318947","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Caribbean","England and Wales","16-64","Male","67.2","186128","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black other","England and Wales","16-64","Male","58.9","83327","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Other ethnic group","England and Wales","16-64","Male","73.7","230230","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Arab","England and Wales","16-64","Male","71.0","95237","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Any other ethnic group","England and Wales","16-64","Male","75.7","134993","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","All","England and Wales","16-64","Female","63.9","18213854","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White","England and Wales","16-64","Female","63.5","15601775","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White British","England and Wales","16-64","Female","62.6","14388566","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Irish","England and Wales","16-64","Female","60.9","168486","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Gypsy or Irish Traveller","England and Wales","16-64","Female","63.0","18318","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White other","England and Wales","16-64","Female","78.6","1026405","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed","England and Wales","16-64","Female","52.8","323632","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black Caribbean","England and Wales","16-64","Female","53.7","115427","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black African","England and Wales","16-64","Female","49.5","41091","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Asian","England and Wales","16-64","Female","49.6","82408","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed other","England and Wales","16-64","Female","57.0","84706","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian/Asian British","England and Wales","16-64","Female","69.9","1463099","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Indian","England and Wales","16-64","Female","72.3","500861","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Pakistani","England and Wales","16-64","Female","62.5","342809","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Bangladeshi","England and Wales","16-64","Female","61.0","131970","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Chinese","England and Wales","16-64","Female","82.8","171440","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian other","England and Wales","16-64","Female","73.7","316019","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black/African/Caribbean/Black British","England and Wales","16-64","Female","67.5","652145","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","African","England and Wales","16-64","Female","68.4","348471","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Caribbean","England and Wales","16-64","Female","69.9","222190","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black other","England and Wales","16-64","Female","58.6","81484","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Other ethnic group","England and Wales","16-64","Female","69.0","173203","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Arab","England and Wales","16-64","Female","64.0","61711","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Any other ethnic group","England and Wales","16-64","Female","72.1","111492","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","All","England","16-64","All","64.8","34329091","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White","England","16-64","All","64.5","29201606","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White British","England","16-64","All","63.7","26932465","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Irish","England","16-64","All","63.5","328505","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Gypsy or Irish Traveller","England","16-64","All","62.3","34178","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White other","England","16-64","All","78.5","1906458","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed","England","16-64","All","52.0","620280","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black Caribbean","England","16-64","All","52.7","218859","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black African","England","16-64","All","48.9","79068","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Asian","England","16-64","All","49.9","165976","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed other","England","16-64","All","55.3","156377","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian/Asian British","England","16-64","All","69.7","2886974","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Indian","England","16-64","All","72.6","1013550","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Pakistani","England","16-64","All","62.6","696841","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Bangladeshi","England","16-64","All","61.5","268507","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Chinese","England","16-64","All","82.2","311828","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian other","England","16-64","All","72.8","596248","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black/African/Caribbean/Black British","England","16-64","All","66.5","1227458","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","African","England","16-64","All","67.4","658725","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Caribbean","England","16-64","All","68.6","405493","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black other","England","16-64","All","58.7","163240","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Other ethnic group","England","16-64","All","71.6","392773","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Arab","England","16-64","All","68.1","150446","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Any other ethnic group","England","16-64","All","74.0","242327","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","All","Wales","16-64","All","63.5","1944616","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White","Wales","16-64","All","63.3","1852897","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White British","Wales","16-64","All","63.0","1799390","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Irish","Wales","16-64","All","64.4","9072","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Gypsy or Irish Traveller","Wales","16-64","All","60.7","1691","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White other","Wales","16-64","All","76.4","42744","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed","Wales","16-64","All","57.1","18011","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black Caribbean","Wales","16-64","All","59.5","6606","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Black African","Wales","16-64","All","51.9","2296","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","White and Asian","Wales","16-64","All","54.9","4951","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Mixed other","Wales","16-64","All","59.6","4158","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian/Asian British","Wales","16-64","All","71.2","49959","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Indian","Wales","16-64","All","74.7","12882","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Pakistani","Wales","16-64","All","64.2","7848","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Bangladeshi","Wales","16-64","All","61.8","6609","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Chinese","Wales","16-64","All","80.4","10963","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Asian other","Wales","16-64","All","71.4","11657","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black/African/Caribbean/Black British","Wales","16-64","All","71.6","13089","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","African","Wales","16-64","All","73.1","8693","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Caribbean","Wales","16-64","All","74.2","2825","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Black other","Wales","16-64","All","60.9","1571","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Other ethnic group","Wales","16-64","All","69.8","10660","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Arab","Wales","16-64","All","67.6","6502","2011","2011 Census","","","","",""
"Percentage of ethnic group that is working age","Any other ethnic group","Wales","16-64","All","73.4","4158","2011","2011 Census","","","","",""
