"Title","Employment and Support Allowance: sanctions"
"Location","England, Wales and Scotland"
"Time period","February 2013 to November 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Date","Date type","Region","Region type","Age","Age type","Ethnicity","Ethnicity type","Numerator","Numerator type","Denominator","Denominator type","Rate","Rate type","Suppression","Suppression type"
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","Asian","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","6","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","Mixed","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","446","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","White","ONS 2+1","7","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","147","Number of ESA claimants matching geographic, ethnicity and age status ","4.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","White British","ONS 5+2","7","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","146","Number of ESA claimants matching geographic, ethnicity and age status ","4.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","White Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","5","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","All","All","308","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","5,219","Number of ESA claimants matching geographic, ethnicity and age status ","5.9","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","5","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","161","Number of ESA claimants matching geographic, ethnicity and age status ","3.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","59","Number of ESA claimants matching geographic, ethnicity and age status ","10.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","19","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","271","Number of ESA claimants matching geographic, ethnicity and age status ","7.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","9","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","29","Number of ESA claimants matching geographic, ethnicity and age status ","31.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","21","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","77","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,153","Number of ESA claimants matching geographic, ethnicity and age status ","6.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","208","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,798","Number of ESA claimants matching geographic, ethnicity and age status ","5.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","200","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,725","Number of ESA claimants matching geographic, ethnicity and age status ","5.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East Midlands","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","5","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","68","Number of ESA claimants matching geographic, ethnicity and age status ","7.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","All","All","155","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","6,479","Number of ESA claimants matching geographic, ethnicity and age status ","2.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","7","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","113","Number of ESA claimants matching geographic, ethnicity and age status ","6.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","5","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","70","Number of ESA claimants matching geographic, ethnicity and age status ","7.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","16","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","254","Number of ESA claimants matching geographic, ethnicity and age status ","6.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","5","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","37","Number of ESA claimants matching geographic, ethnicity and age status ","13.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","34","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","39","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,658","Number of ESA claimants matching geographic, ethnicity and age status ","2.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","98","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","4,562","Number of ESA claimants matching geographic, ethnicity and age status ","2.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","91","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","4,427","Number of ESA claimants matching geographic, ethnicity and age status ","2.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","5","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","138","Number of ESA claimants matching geographic, ethnicity and age status ","3.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","All","All","500","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","6,640","Number of ESA claimants matching geographic, ethnicity and age status ","7.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","54","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","579","Number of ESA claimants matching geographic, ethnicity and age status ","9.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","111","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","750","Number of ESA claimants matching geographic, ethnicity and age status ","14.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","211","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,883","Number of ESA claimants matching geographic, ethnicity and age status ","11.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","17","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","152","Number of ESA claimants matching geographic, ethnicity and age status ","11.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","27","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","404","Number of ESA claimants matching geographic, ethnicity and age status ","6.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","114","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,979","Number of ESA claimants matching geographic, ethnicity and age status ","5.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","175","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","2,777","Number of ESA claimants matching geographic, ethnicity and age status ","6.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","143","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","2,337","Number of ESA claimants matching geographic, ethnicity and age status ","6.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
