"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_code","Geography_name","Geography_type","Value","Value_type","Numerator","Denominator","Lower confidence interval","Upper confidence interval"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2011 - 13","3 year aggregated","Black-Caribbean","Other","E92000001","England","ONS geography code","49.34782609","%","227","460","43.14","56.2"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2011 - 13","3 year aggregated","Black other","Other","E92000001","England","ONS geography code","50.33557047","%","150","298","42.6","59.07"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2011 - 13","3 year aggregated","Asian","Other","E92000001","England","ONS geography code","47.63681592","%","383","804","42.98","52.65"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2011 - 13","3 year aggregated","Other/mixed","Other","E92000001","England","ONS geography code","41.80206795","%","283","677","37.07","46.97"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2011 - 13","3 year aggregated","Unknown","Other","E92000001","England","ONS geography code","40.8496732","%","125","306","34","48.67"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","White","Other","E92000001","England","ONS geography code","36.44026387","%","2983","8186","35.14","37.77"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","Black-African","Other","E92000001","England","ONS geography code","59.02290076","%","1933","3275","56.42","61.71"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","Black-Caribbean","Other","E92000001","England","ONS geography code","46.48526077","%","205","441","40.34","53.3"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","Black other","Other","E92000001","England","ONS geography code","47.22222222","%","136","288","39.62","55.86"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","Asian","Other","E92000001","England","ONS geography code","47.33727811","%","400","845","42.81","52.21"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","Other/mixed","Other","E92000001","England","ONS geography code","39.79057592","%","304","764","35.44","44.52"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2012 - 14","3 year aggregated","Unknown","Other","E92000001","England","ONS geography code","39.62264151","%","147","371","33.48","46.57"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","White","Other","E92000001","England","ONS geography code","34.51151213","%","2773","8035","33.24","35.82"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","Black-African","Other","E92000001","England","ONS geography code","56.10700458","%","1594","2841","53.39","58.93"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","Black-Caribbean","Other","E92000001","England","ONS geography code","44.49760766","%","186","418","38.33","51.37"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","Black other","Other","E92000001","England","ONS geography code","43.07692308","%","112","260","35.47","51.83"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","Asian","Other","E92000001","England","ONS geography code","44.30693069","%","358","808","39.84","49.14"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","Other/mixed","Other","E92000001","England","ONS geography code","37.33031674","%","330","884","33.41","41.58"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2013 - 15","3 year aggregated","Unknown","Other","E92000001","England","ONS geography code","36.11650485","%","186","515","31.11","41.7"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","White","Other","E92000001","England","ONS geography code","35.06056528","%","2605","7430","33.73","36.43"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","Black-African","Other","E92000001","England","ONS geography code","55.34058847","%","1373","2481","52.45","58.35"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","Black-Caribbean","Other","E92000001","England","ONS geography code","44.47761194","%","149","335","37.62","52.22"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","Black other","Other","E92000001","England","ONS geography code","43.15352697","%","104","241","35.26","52.29"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","Asian","Other","E92000001","England","ONS geography code","46.73629243","%","358","766","42.02","51.84"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","Other/mixed","Other","E92000001","England","ONS geography code","36.01286174","%","336","933","32.26","40.08"
"Percentage of people aged 15 or older newly diagnosed with HIV who were diagnosed at a late stage","2014 - 16","3 year aggregated","Unknown","Other","E92000001","England","ONS geography code","33.97745572","%","211","621","29.55","38.88"
