"Title","Economic inactivity"
"Location","England, Wales and Scotland"
"Time period","2004 to 2017"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-21"
"measure","year","region","ethnicity","ethnicity_type","sex","age_band","value","confidence_interval","numerator","denominator","samp_size"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","All","16-24","29.2","1.2","1669000","5721000","13424"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","All","25-49","14.4","0.7","2628000","18230000","22968"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","All","50-64","33.7","0.8","3296000","9787000","32971"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","All","All (16-64)","22.5","0.5","7593000","33738000","69363"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Men","16-24","25.5","1.8","732000","2867000","5857"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Men","25-49","7.4","1.1","666000","9026000","5485"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Men","50-64","25.6","1.2","1235000","4828000","12120"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Men","All (16-64)","15.7","0.7","2633000","16721000","23462"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Women","16-24","32.8","1.7","936000","2854000","7567"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Women","25-49","21.3","1","1962000","9205000","17483"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Women","50-64","41.6","1.1","2061000","4959000","20851"
"Percentage of individuals employed","2004","All","White","ONS 2011 5+1","Women","All (16-64)","29.1","0.7","4960000","17017000","45901"
"Percentage of individuals employed","2004","All","White British","Detailed","All","16-24","28.9","1.2","1574000","5455000","12852"
"Percentage of individuals employed","2004","All","White British","Detailed","All","25-49","14.2","0.7","2434000","17133000","21657"
"Percentage of individuals employed","2004","All","White British","Detailed","All","50-64","33.6","0.8","3142000","9352000","31602"
"Percentage of individuals employed","2004","All","White British","Detailed","All","All (16-64)","22.4","0.5","7150000","31941000","66111"
"Percentage of individuals employed","2004","All","White British","Detailed","Men","16-24","25.2","1.8","692000","2743000","5605"
"Percentage of individuals employed","2004","All","White British","Detailed","Men","25-49","7.2","1.1","614000","8482000","5170"
"Percentage of individuals employed","2004","All","White British","Detailed","Men","50-64","25.5","1.3","1180000","4624000","11644"
"Percentage of individuals employed","2004","All","White British","Detailed","Men","All (16-64)","15.7","0.8","2485000","15849000","22419"
"Percentage of individuals employed","2004","All","White British","Detailed","Women","16-24","32.5","1.7","883000","2713000","7247"
"Percentage of individuals employed","2004","All","White British","Detailed","Women","25-49","21.0","1","1820000","8651000","16487"
"Percentage of individuals employed","2004","All","White British","Detailed","Women","50-64","41.5","1.1","1962000","4728000","19958"
"Percentage of individuals employed","2004","All","White British","Detailed","Women","All (16-64)","29.0","0.7","4665000","16092000","43692"
"Percentage of individuals employed","2004","All","White Other","Detailed","All","16-24","35.5","6.2","94000","265000","572"
"Percentage of individuals employed","2004","All","White Other","Detailed","All","25-49","17.7","3.3","194000","1098000","1311"
"Percentage of individuals employed","2004","All","White Other","Detailed","All","50-64","35.5","4","154000","434000","1369"
"Percentage of individuals employed","2004","All","White Other","Detailed","All","All (16-64)","24.6","2.3","443000","1797000","3252"
"Percentage of individuals employed","2004","All","White Other","Detailed","Men","16-24","32.6","9.1","41000","124000","252"
"Percentage of individuals employed","2004","All","White Other","Detailed","Men","25-49","9.5","5.1","52000","544000","315"
"Percentage of individuals employed","2004","All","White Other","Detailed","Men","50-64","27.2","6.3","55000","204000","476"
"Percentage of individuals employed","2004","All","White Other","Detailed","Men","All (16-64)","16.9","3.6","148000","872000","1043"
"Percentage of individuals employed","2004","All","White Other","Detailed","Women","16-24","38.0","8.4","54000","141000","320"
"Percentage of individuals employed","2004","All","White Other","Detailed","Women","25-49","25.8","4.3","143000","554000","996"
"Percentage of individuals employed","2004","All","White Other","Detailed","Women","50-64","42.9","5.1","99000","231000","893"
"Percentage of individuals employed","2004","All","White Other","Detailed","Women","All (16-64)","31.9","3.1","295000","926000","2209"
"Percentage of individuals employed","2004","East Midlands","All","All","All","16-24","31.5","2.6","154000","489000","1266"
"Percentage of individuals employed","2004","East Midlands","All","All","All","25-49","14.8","1.6","216000","1464000","1948"
"Percentage of individuals employed","2004","East Midlands","All","All","All","50-64","33.8","1.8","267000","789000","2664"
"Percentage of individuals employed","2004","East Midlands","All","All","All","All (16-64)","23.2","1.1","636000","2742000","5878"
"Percentage of individuals employed","2004","East Midlands","All","All","Men","16-24","27.7","3.7","68000","247000","552"
"Percentage of individuals employed","2004","East Midlands","All","All","Men","25-49","7.5","2.4","55000","724000","470"
"Percentage of individuals employed","2004","East Midlands","All","All","Men","50-64","24.9","2.7","98000","393000","993"
"Percentage of individuals employed","2004","East Midlands","All","All","Men","All (16-64)","16.2","1.6","221000","1364000","2015"
"Percentage of individuals employed","2004","East Midlands","All","All","Women","16-24","35.3","3.5","85000","242000","714"
"Percentage of individuals employed","2004","East Midlands","All","All","Women","25-49","21.8","2.1","161000","740000","1478"
"Percentage of individuals employed","2004","East Midlands","All","All","Women","50-64","42.6","2.4","169000","396000","1671"
"Percentage of individuals employed","2004","East Midlands","All","All","Women","All (16-64)","30.2","1.4","416000","1378000","3863"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","All","16-24","54.9","13.8","19000","34000","125"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","All","25-49","26.5","10.6","23000","86000","167"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","All","All (16-64)","35.7","7.7","51000","142000","369"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Men","All (16-64)","24.9","12","18000","73000","125"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Women","25-49","40.1","13.3","18000","44000","131"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Asian","ONS 2011 5+1","Women","All (16-64)","47.2","9.9","33000","69000","244"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Black","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","All","All (16-64)","30.9","9.9","28000","91000","207"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Indian","Detailed","Women","All (16-64)","40.9","13","19000","45000","138"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Mixed","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other Asian","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","All","16-24","52.3","11.2","28000","53000","190"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","All","25-49","27.2","8.7","34000","126000","251"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","All","50-64","39.7","15.6","11000","28000","94"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","All","All (16-64)","35.3","6.4","73000","208000","535"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Men","16-24","49.4","16","14000","29000","94"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Men","25-49","15.0","13.7","9000","62000","65"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Men","All (16-64)","25.6","9.9","27000","105000","185"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Women","16-24","55.8","15.7","14000","24000","96"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Women","25-49","39.1","11.1","25000","64000","186"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Women","50-64","54.4","18.7","8000","15000","68"
"Percentage of individuals employed","2004","East Midlands","Other than White","White and Other","Women","All (16-64)","45.2","8.2","47000","103000","350"
"Percentage of individuals employed","2004","East Midlands","Pakistani/Bangladeshi","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Pakistani/Bangladeshi","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","East Midlands","Pakistani/Bangladeshi","Detailed","All","50-64","?","?","?","?","?"
