"Title","Inpatient satisfaction with hospital care"
"Location","England"
"Time period","2013/14 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01774&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Unweighted Respondents","Value_type","Note"
"Patient experience of hospital care","2015-16","Year","Bangladeshi","ONS 18","England","73.2","126","average score",""
"Patient experience of hospital care","2015-16","Year","Black Caribbean","ONS 18","England","76.1","538","average score",""
"Patient experience of hospital care","2015-16","Year","Chinese","ONS 18","England","73.7","162","average score",""
"Patient experience of hospital care","2015-16","Year","Indian","ONS 18","England","75.9","1000","average score",""
"Patient experience of hospital care","2015-16","Year","Pakistani","ONS 18","England","73.5","541","average score",""
"Patient experience of hospital care","2015-16","Year","Mixed White/Asian","ONS 18","England","75.1","182","average score",""
"Patient experience of hospital care","2015-16","Year","Mixed White/Black African","ONS 18","England","71.6","78","average score",""
"Patient experience of hospital care","2015-16","Year","Mixed White/Black Caribbean","ONS 18","England","79.6","200","average score",""
"Patient experience of hospital care","2015-16","Year","White British","ONS 18","England","77.6","71205","average score",""
"Patient experience of hospital care","2015-16","Year","White Gypsy or Irish Traveller","ONS 18","England","75.1","35","average score",""
"Patient experience of hospital care","2015-16","Year","White Irish","ONS 18","England","80.3","684","average score",""
"Patient experience of hospital care","2014-15","Year","Black African","ONS 18","England","75.5","353","average score",""
"Patient experience of hospital care","2014-15","Year","Asian other","ONS 18","England","77","175","average score",""
"Patient experience of hospital care","2014-15","Year","Black other","ONS 18","England","77.1","39","average score",""
"Patient experience of hospital care","2014-15","Year","Any other ethnic group","ONS 18","England","70.9","47","average score",""
"Patient experience of hospital care","2014-15","Year","Mixed other","ONS 18","England","70.1","56","average score",""
"Patient experience of hospital care","2014-15","Year","White other","ONS 18","England","75.4","912","average score",""
"Patient experience of hospital care","2014-15","Year","Arab","ONS 18","England","72.5","63","average score",""
"Patient experience of hospital care","2014-15","Year","Bangladeshi","ONS 18","England","72.7","81","average score",""
"Patient experience of hospital care","2014-15","Year","Black Caribbean","ONS 18","England","77","393","average score",""
"Patient experience of hospital care","2014-15","Year","Chinese","ONS 18","England","78.5","120","average score",""
"Patient experience of hospital care","2014-15","Year","Indian","ONS 18","England","74","766","average score",""
"Patient experience of hospital care","2014-15","Year","Pakistani","ONS 18","England","72","422","average score",""
"Patient experience of hospital care","2014-15","Year","Mixed White/Asian","ONS 18","England","75.5","121","average score",""
"Patient experience of hospital care","2014-15","Year","Mixed White/Black African","ONS 18","England","78.1","52","average score",""
"Patient experience of hospital care","2014-15","Year","Mixed White/Black Caribbean","ONS 18","England","82.1","129","average score",""
"Patient experience of hospital care","2014-15","Year","White British","ONS 18","England","76.8","50950","average score",""
"Patient experience of hospital care","2014-15","Year","White Gypsy or Irish Traveller","ONS 18","England","!","25","average score","data are suppressed as the group had less than 30 respondents."
"Patient experience of hospital care","2014-15","Year","White Irish","ONS 18","England","79.7","588","average score",""
"Patient experience of hospital care","2013-14","Year","Black African","ONS 18","England","76.5","400","average score",""
"Patient experience of hospital care","2013-14","Year","Asian other","ONS 18","England","78.7","205","average score",""
"Patient experience of hospital care","2013-14","Year","Black other","ONS 18","England","72.8","41","average score",""
"Patient experience of hospital care","2013-14","Year","Any other ethnic group","ONS 18","England","80.4","42","average score",""
"Patient experience of hospital care","2013-14","Year","Mixed other","ONS 18","England","80.7","67","average score",""
"Patient experience of hospital care","2013-14","Year","White other","ONS 18","England","77.8","926","average score",""
"Patient experience of hospital care","2013-14","Year","Arab","ONS 18","England","71.6","64","average score",""
"Patient experience of hospital care","2013-14","Year","Bangladeshi","ONS 18","England","70.8","98","average score",""
"Patient experience of hospital care","2013-14","Year","Black Caribbean","ONS 18","England","74.6","439","average score",""
"Patient experience of hospital care","2013-14","Year","Chinese","ONS 18","England","70.8","113","average score",""
"Patient experience of hospital care","2013-14","Year","Indian","ONS 18","England","73.9","855","average score",""
"Patient experience of hospital care","2013-14","Year","Pakistani","ONS 18","England","72.3","411","average score",""
"Patient experience of hospital care","2013-14","Year","Mixed White/Asian","ONS 18","England","75.5","146","average score",""
"Patient experience of hospital care","2013-14","Year","Mixed White/Black African","ONS 18","England","68.6","55","average score",""
"Patient experience of hospital care","2013-14","Year","Mixed White/Black Caribbean","ONS 18","England","75.5","118","average score",""
"Patient experience of hospital care","2013-14","Year","White British","ONS 18","England","77.1","53932","average score",""
"Patient experience of hospital care","2013-14","Year","White Gypsy or Irish Traveller","ONS 18","England","59","40","average score",""
"Patient experience of hospital care","2013-14","Year","White Irish","ONS 18","England","78.9","672","average score",""
