"Title","Inpatient satisfaction with hospital care"
"Location","England"
"Time period","2013/14 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01774&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Unweighted Respondents","Value_type","Note"
"Patient experience of hospital care","2016-17","Year","Arab","ONS 2011 18+1","England","77.4","74","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Bangladeshi","ONS 2011 18+1","England","72","109","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Black Caribbean","ONS 2011 18+1","England","75","471","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Chinese","ONS 2011 18+1","England","73.4","153","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Indian","ONS 2011 18+1","England","74.8","943","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Pakistani","ONS 2011 18+1","England","74.4","531","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed White/Asian","ONS 2011 18+1","England","74.3","164","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed White/Black African","ONS 2011 18+1","England","78.6","75","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed White/Black Caribbean","ONS 2011 18+1","England","74.5","169","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","White British","ONS 2011 18+1","England","76.9","67,803","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","White Gypsy or Irish Traveller","ONS 2011 18+1","England","81.9","38","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","White Irish","ONS 2011 18+1","England","81.1","661","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Black African","ONS 2011 18+1","England","77.8","498","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Asian other","ONS 2011 18+1","England","80","249","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Black other","ONS 2011 18+1","England","71.1","48","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Any other ethnic group","ONS 2011 18+1","England","78.4","65","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Mixed other","ONS 2011 18+1","England","79.3","95","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","White other","ONS 2011 18+1","England","77.3","1,211","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Arab","ONS 2011 18+1","England","76.6","76","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Bangladeshi","ONS 2011 18+1","England","73.2","126","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Black Caribbean","ONS 2011 18+1","England","76.1","538","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Chinese","ONS 2011 18+1","England","73.7","162","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Indian","ONS 2011 18+1","England","75.9","1,000","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Pakistani","ONS 2011 18+1","England","73.5","541","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Mixed White/Asian","ONS 2011 18+1","England","75.1","182","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Mixed White/Black African","ONS 2011 18+1","England","71.6","78","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","Mixed White/Black Caribbean","ONS 2011 18+1","England","79.6","200","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","White British","ONS 2011 18+1","England","77.6","71,205","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","White Gypsy or Irish Traveller","ONS 2011 18+1","England","75.1","35","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","White Irish","ONS 2011 18+1","England","80.3","684","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Black African","ONS 2011 18+1","England","75.5","353","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Asian other","ONS 2011 18+1","England","77","175","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Black other","ONS 2011 18+1","England","77.1","39","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Any other ethnic group","ONS 2011 18+1","England","70.9","47","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Mixed other","ONS 2011 18+1","England","70.1","56","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","White other","ONS 2011 18+1","England","75.4","912","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Arab","ONS 2011 18+1","England","72.5","63","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Bangladeshi","ONS 2011 18+1","England","72.7","81","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Black Caribbean","ONS 2011 18+1","England","77","393","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Chinese","ONS 2011 18+1","England","78.5","120","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Indian","ONS 2011 18+1","England","74","766","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Pakistani","ONS 2011 18+1","England","72","422","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Mixed White/Asian","ONS 2011 18+1","England","75.5","121","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Mixed White/Black African","ONS 2011 18+1","England","78.1","52","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","Mixed White/Black Caribbean","ONS 2011 18+1","England","82.1","129","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","White British","ONS 2011 18+1","England","76.8","50,950","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","White Gypsy or Irish Traveller","ONS 2011 18+1","England","!","25","average score","Uses 20 survey questions, data are suppressed as the group had less than 30 respondents"
"Patient experience of hospital care","2014-15","Year","White Irish","ONS 2011 18+1","England","79.7","588","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Black African","ONS 2011 18+1","England","76.5","400","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Asian other","ONS 2011 18+1","England","78.7","205","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Black other","ONS 2011 18+1","England","72.8","41","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Any other ethnic group","ONS 2011 18+1","England","80.4","42","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Mixed other","ONS 2011 18+1","England","80.7","67","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","White other","ONS 2011 18+1","England","77.8","926","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Arab","ONS 2011 18+1","England","71.6","64","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Bangladeshi","ONS 2011 18+1","England","70.8","98","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Black Caribbean","ONS 2011 18+1","England","74.6","439","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Chinese","ONS 2011 18+1","England","70.8","113","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Indian","ONS 2011 18+1","England","73.9","855","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Pakistani","ONS 2011 18+1","England","72.3","411","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Mixed White/Asian","ONS 2011 18+1","England","75.5","146","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Mixed White/Black African","ONS 2011 18+1","England","68.6","55","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","Mixed White/Black Caribbean","ONS 2011 18+1","England","75.5","118","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","White British","ONS 2011 18+1","England","77.1","53,932","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","White Gypsy or Irish Traveller","ONS 2011 18+1","England","59","40","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","White Irish","ONS 2011 18+1","England","78.9","672","average score","Uses 20 survey questions"
