"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Warrington","83","79","86","93","!","!","!","!","!","!","!","!","89","89","!","83","79","86"
"Warwickshire","82","79","86","85","82","89","94","!","!","!","!","!","81","77","85","82","79","86"
"West Berkshire","80","77","84","92","!","!","!","!","!","100","!","!","78","73","82","80","76","84"
"West Sussex","77","73","82","78","74","83","74","69","79","100","!","!","79","75","84","77","74","82"
"Westminster","88","86","92","90","89","94","89","88","100","!","!","!","88","87","93","88","88","91"
"Wigan","83","79","86","79","74","84","77","72","82","77","79","86","91","!","!","83","79","86"
"Wiltshire","78","75","82","89","88","93","81","78","86","!","!","!","80","76","84","78","75","82"
"Windsor and Maidenhead","81","78","85","85","82","89","75","70","79","!","!","!","83","80","87","80","76","84"
"Wirral","80","76","84","77","71","81","!","!","!","75","77","79","82","78","86","80","76","84"
"Wokingham","83","80","87","91","92","100","78","74","84","100","!","!","84","81","88","82","79","86"
"Wolverhampton","79","75","83","86","83","90","80","76","85","!","!","!","79","74","83","77","73","81"
"Worcestershire","81","77","85","80","76","84","76","70","79","!","!","!","85","82","89","81","77","85"
"York","82","78","86","86","83","89","!","!","!","63","50","63","86","83","90","82","78","85"
