Date,Date type,Region,Region type,Ethncity,Ethncity type,Numerator,Numerator type,Denominator,Denominator type,Rate,Rate type
2014,Calendar Year,All,England and Wales,All,All,"754,633",Average number of claimants a month matching geographic and ethnicity status,"36,397,802",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,All,All,"661,208",Average number of claimants a month matching geographic and ethnicity status,"36,588,665",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,All,All,"275,389",Average number of claimants a month matching geographic and ethnicity status,"5,664,416",Number of people in the population matching geographic and ethnicity status,4.9,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,All,All,"222,870",Average number of claimants a month matching geographic and ethnicity status,"5,703,747",Number of people in the population matching geographic and ethnicity status,3.9,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,All,All,"160,604",Average number of claimants a month matching geographic and ethnicity status,"5,756,205",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,All,All,"124,046",Average number of claimants a month matching geographic and ethnicity status,"5,823,490",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,All,All,"102,792",Average number of claimants a month matching geographic and ethnicity status,"5,907,762",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2011,Calendar Year,North East,Government Region,All,All,"88,420",Average number of claimants a month matching geographic and ethnicity status,"1,681,674",Number of people in the population matching geographic and ethnicity status,5.3,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,All,All,"71,173",Average number of claimants a month matching geographic and ethnicity status,"1,670,967",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,All,All,"53,702",Average number of claimants a month matching geographic and ethnicity status,"1,667,446",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,All,All,"47,010",Average number of claimants a month matching geographic and ethnicity status,"1,663,362",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2015,Calendar Year,North East,Government Region,All,All,"42,900",Average number of claimants a month matching geographic and ethnicity status,"1,660,407",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2011,Calendar Year,North West,Government Region,All,All,"238,963",Average number of claimants a month matching geographic and ethnicity status,"4,552,765",Number of people in the population matching geographic and ethnicity status,5.2,Percentage of Numerator / Denominator
2012,Calendar Year,North West,Government Region,All,All,"187,339",Average number of claimants a month matching geographic and ethnicity status,"4,531,762",Number of people in the population matching geographic and ethnicity status,4.1,Percentage of Numerator / Denominator
2013,Calendar Year,North West,Government Region,All,All,"135,596",Average number of claimants a month matching geographic and ethnicity status,"4,516,102",Number of people in the population matching geographic and ethnicity status,3.0,Percentage of Numerator / Denominator
2014,Calendar Year,North West,Government Region,All,All,"112,259",Average number of claimants a month matching geographic and ethnicity status,"4,509,760",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,All,All,"98,115",Average number of claimants a month matching geographic and ethnicity status,"4,519,159",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,All,All,"164,063",Average number of claimants a month matching geographic and ethnicity status,"5,513,564",Number of people in the population matching geographic and ethnicity status,3.0,Percentage of Numerator / Denominator
2012,Calendar Year,South East,Government Region,All,All,"135,016",Average number of claimants a month matching geographic and ethnicity status,"5,504,596",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,All,All,"100,323",Average number of claimants a month matching geographic and ethnicity status,"5,511,497",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,All,All,"83,175",Average number of claimants a month matching geographic and ethnicity status,"5,535,330",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,All,All,"72,866",Average number of claimants a month matching geographic and ethnicity status,"5,563,814",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,All,All,"115,035",Average number of claimants a month matching geographic and ethnicity status,"3,326,352",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,All,All,"93,470",Average number of claimants a month matching geographic and ethnicity status,"3,316,714",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,All,All,"69,295",Average number of claimants a month matching geographic and ethnicity status,"3,319,222",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,All,All,"58,184",Average number of claimants a month matching geographic and ethnicity status,"3,327,519",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,All,All,"48,831",Average number of claimants a month matching geographic and ethnicity status,"3,344,746",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,All,All,"97,251",Average number of claimants a month matching geographic and ethnicity status,"1,941,524",Number of people in the population matching geographic and ethnicity status,5.0,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,All,All,"78,475",Average number of claimants a month matching geographic and ethnicity status,"1,931,637",Number of people in the population matching geographic and ethnicity status,4.1,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,All,All,"58,822",Average number of claimants a month matching geographic and ethnicity status,"1,926,617",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,All,All,"48,682",Average number of claimants a month matching geographic and ethnicity status,"1,922,448",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,All,All,"43,707",Average number of claimants a month matching geographic and ethnicity status,"1,919,024",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,All,All,"158,105",Average number of claimants a month matching geographic and ethnicity status,"3,561,093",Number of people in the population matching geographic and ethnicity status,4.4,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,All,All,"128,734",Average number of claimants a month matching geographic and ethnicity status,"3,557,498",Number of people in the population matching geographic and ethnicity status,3.6,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,All,All,"98,932",Average number of claimants a month matching geographic and ethnicity status,"3,560,634",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,All,All,"85,542",Average number of claimants a month matching geographic and ethnicity status,"3,569,489",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,All,All,"77,778",Average number of claimants a month matching geographic and ethnicity status,"3,582,819",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"145,977",Average number of claimants a month matching geographic and ethnicity status,"3,409,275",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"118,025",Average number of claimants a month matching geographic and ethnicity status,"3,401,113",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"88,203",Average number of claimants a month matching geographic and ethnicity status,"3,394,714",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"75,638",Average number of claimants a month matching geographic and ethnicity status,"3,389,620",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"67,901",Average number of claimants a month matching geographic and ethnicity status,"3,397,836",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2011,Calendar Year,East,Government Region,Other,ONS 2,"6,967",Average number of claimants a month matching geographic and ethnicity status,"353,810",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,Other,ONS 2,"5,876",Average number of claimants a month matching geographic and ethnicity status,"360,894",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,Other,ONS 2,"4,541",Average number of claimants a month matching geographic and ethnicity status,"368,682",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,Other,ONS 2,"4,072",Average number of claimants a month matching geographic and ethnicity status,"377,379",Number of people in the population matching geographic and ethnicity status,1.1,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,Other,ONS 2,"3,814",Average number of claimants a month matching geographic and ethnicity status,"386,407",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,Other,ONS 2,"8,757",Average number of claimants a month matching geographic and ethnicity status,"326,321",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,Other,ONS 2,"7,133",Average number of claimants a month matching geographic and ethnicity status,"332,263",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,Other,ONS 2,"5,371",Average number of claimants a month matching geographic and ethnicity status,"338,154",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,Other,ONS 2,"4,637",Average number of claimants a month matching geographic and ethnicity status,"345,202",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,Other,ONS 2,"4,424",Average number of claimants a month matching geographic and ethnicity status,"353,594",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,Other,ONS 2,"189,355",Average number of claimants a month matching geographic and ethnicity status,"5,225,005",Number of people in the population matching geographic and ethnicity status,3.6,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,Other,ONS 2,"153,849",Average number of claimants a month matching geographic and ethnicity status,"5,330,158",Number of people in the population matching geographic and ethnicity status,2.9,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,Other,ONS 2,"115,075",Average number of claimants a month matching geographic and ethnicity status,"5,439,734",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,All,England and Wales,Other,ONS 2,"96,688",Average number of claimants a month matching geographic and ethnicity status,"5,561,987",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,Other,ONS 2,"87,810",Average number of claimants a month matching geographic and ethnicity status,"5,700,195",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,Other,ONS 2,"104,568",Average number of claimants a month matching geographic and ethnicity status,"2,224,496",Number of people in the population matching geographic and ethnicity status,4.7,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,Other,ONS 2,"85,468",Average number of claimants a month matching geographic and ethnicity status,"2,269,312",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,Other,ONS 2,"62,527",Average number of claimants a month matching geographic and ethnicity status,"2,318,037",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,Other,ONS 2,"49,664",Average number of claimants a month matching geographic and ethnicity status,"2,374,790",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,Other,ONS 2,"43,056",Average number of claimants a month matching geographic and ethnicity status,"2,440,011",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2011,Calendar Year,North East,Government Region,Other,ONS 2,"1,557",Average number of claimants a month matching geographic and ethnicity status,"82,892",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,Other,ONS 2,"1,246",Average number of claimants a month matching geographic and ethnicity status,"83,818",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,Other,ONS 2,953,Average number of claimants a month matching geographic and ethnicity status,"85,304",Number of people in the population matching geographic and ethnicity status,1.1,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,Other,ONS 2,901,Average number of claimants a month matching geographic and ethnicity status,"86,650",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2015,Calendar Year,North East,Government Region,Other,ONS 2,896,Average number of claimants a month matching geographic and ethnicity status,"88,098",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2011,Calendar Year,North West,Government Region,Other,ONS 2,"15,605",Average number of claimants a month matching geographic and ethnicity status,"447,631",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2012,Calendar Year,North West,Government Region,Other,ONS 2,"12,143",Average number of claimants a month matching geographic and ethnicity status,"456,738",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2013,Calendar Year,North West,Government Region,Other,ONS 2,"9,238",Average number of claimants a month matching geographic and ethnicity status,"464,786",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2014,Calendar Year,North West,Government Region,Other,ONS 2,"8,282",Average number of claimants a month matching geographic and ethnicity status,"474,089",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,Other,ONS 2,"7,705",Average number of claimants a month matching geographic and ethnicity status,"485,776",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,Other,ONS 2,"8,964",Average number of claimants a month matching geographic and ethnicity status,"538,021",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2012,Calendar Year,South East,Government Region,Other,ONS 2,"7,229",Average number of claimants a month matching geographic and ethnicity status,"548,367",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,Other,ONS 2,"5,440",Average number of claimants a month matching geographic and ethnicity status,"559,260",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,Other,ONS 2,"4,734",Average number of claimants a month matching geographic and ethnicity status,"570,823",Number of people in the population matching geographic and ethnicity status,0.8,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,Other,ONS 2,"4,393",Average number of claimants a month matching geographic and ethnicity status,"581,892",Number of people in the population matching geographic and ethnicity status,0.8,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,Other,ONS 2,"3,861",Average number of claimants a month matching geographic and ethnicity status,"161,444",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,Other,ONS 2,"3,058",Average number of claimants a month matching geographic and ethnicity status,"165,417",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,Other,ONS 2,"2,306",Average number of claimants a month matching geographic and ethnicity status,"169,613",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,Other,ONS 2,"2,044",Average number of claimants a month matching geographic and ethnicity status,"173,659",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,Other,ONS 2,"1,843",Average number of claimants a month matching geographic and ethnicity status,"178,608",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,Other,ONS 2,"1,932",Average number of claimants a month matching geographic and ethnicity status,"91,473",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,Other,ONS 2,"1,558",Average number of claimants a month matching geographic and ethnicity status,"92,789",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,Other,ONS 2,"1,168",Average number of claimants a month matching geographic and ethnicity status,"94,439",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,Other,ONS 2,"1,044",Average number of claimants a month matching geographic and ethnicity status,"95,959",Number of people in the population matching geographic and ethnicity status,1.1,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,Other,ONS 2,"1,015",Average number of claimants a month matching geographic and ethnicity status,"97,597",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,Other,ONS 2,"23,719",Average number of claimants a month matching geographic and ethnicity status,"619,506",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,Other,ONS 2,"19,325",Average number of claimants a month matching geographic and ethnicity status,"633,412",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,Other,ONS 2,"15,226",Average number of claimants a month matching geographic and ethnicity status,"646,649",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,Other,ONS 2,"13,735",Average number of claimants a month matching geographic and ethnicity status,"661,144",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,Other,ONS 2,"13,160",Average number of claimants a month matching geographic and ethnicity status,"676,446",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,Other,ONS 2,"13,426",Average number of claimants a month matching geographic and ethnicity status,"379,411",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,Other,ONS 2,"10,813",Average number of claimants a month matching geographic and ethnicity status,"387,148",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,Other,ONS 2,"8,305",Average number of claimants a month matching geographic and ethnicity status,"394,811",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,Other,ONS 2,"7,576",Average number of claimants a month matching geographic and ethnicity status,"402,292",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,Other,ONS 2,"7,504",Average number of claimants a month matching geographic and ethnicity status,"411,767",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2011,Calendar Year,East,Government Region,White,ONS 2,"87,836",Average number of claimants a month matching geographic and ethnicity status,"3,365,265",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,White,ONS 2,"73,258",Average number of claimants a month matching geographic and ethnicity status,"3,347,473",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,White,ONS 2,"55,508",Average number of claimants a month matching geographic and ethnicity status,"3,343,932",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,White,ONS 2,"47,718",Average number of claimants a month matching geographic and ethnicity status,"3,356,208",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,White,ONS 2,"43,346",Average number of claimants a month matching geographic and ethnicity status,"3,368,899",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,White,ONS 2,"79,136",Average number of claimants a month matching geographic and ethnicity status,"2,592,837",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,White,ONS 2,"64,393",Average number of claimants a month matching geographic and ethnicity status,"2,579,968",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,White,ONS 2,"48,275",Average number of claimants a month matching geographic and ethnicity status,"2,574,812",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,White,ONS 2,"41,732",Average number of claimants a month matching geographic and ethnicity status,"2,577,995",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,White,ONS 2,"38,983",Average number of claimants a month matching geographic and ethnicity status,"2,584,198",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,White,ONS 2,"1,004,640",Average number of claimants a month matching geographic and ethnicity status,"31,063,891",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,White,ONS 2,"806,556",Average number of claimants a month matching geographic and ethnicity status,"30,908,474",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,White,ONS 2,"601,700",Average number of claimants a month matching geographic and ethnicity status,"30,838,283",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2014,Calendar Year,All,England and Wales,White,ONS 2,"520,789",Average number of claimants a month matching geographic and ethnicity status,"30,835,815",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,White,ONS 2,"478,195",Average number of claimants a month matching geographic and ethnicity status,"30,888,470",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,White,ONS 2,"111,406",Average number of claimants a month matching geographic and ethnicity status,"3,439,921",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,White,ONS 2,"88,810",Average number of claimants a month matching geographic and ethnicity status,"3,434,435",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,White,ONS 2,"63,817",Average number of claimants a month matching geographic and ethnicity status,"3,438,168",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,White,ONS 2,"51,319",Average number of claimants a month matching geographic and ethnicity status,"3,448,700",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,White,ONS 2,"43,918",Average number of claimants a month matching geographic and ethnicity status,"3,467,751",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2011,Calendar Year,North East,Government Region,White,ONS 2,"69,134",Average number of claimants a month matching geographic and ethnicity status,"1,598,782",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,White,ONS 2,"55,396",Average number of claimants a month matching geographic and ethnicity status,"1,587,149",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,White,ONS 2,"42,484",Average number of claimants a month matching geographic and ethnicity status,"1,582,142",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,White,ONS 2,"38,514",Average number of claimants a month matching geographic and ethnicity status,"1,576,712",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2015,Calendar Year,North East,Government Region,White,ONS 2,"36,676",Average number of claimants a month matching geographic and ethnicity status,"1,572,309",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2011,Calendar Year,North West,Government Region,White,ONS 2,"172,497",Average number of claimants a month matching geographic and ethnicity status,"4,105,134",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2012,Calendar Year,North West,Government Region,White,ONS 2,"133,935",Average number of claimants a month matching geographic and ethnicity status,"4,075,024",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2013,Calendar Year,North West,Government Region,White,ONS 2,"98,038",Average number of claimants a month matching geographic and ethnicity status,"4,051,316",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2014,Calendar Year,North West,Government Region,White,ONS 2,"83,996",Average number of claimants a month matching geographic and ethnicity status,"4,035,671",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,White,ONS 2,"76,576",Average number of claimants a month matching geographic and ethnicity status,"4,033,384",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,White,ONS 2,"120,609",Average number of claimants a month matching geographic and ethnicity status,"4,975,543",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
