"Title","Proven reoffending"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/race-and-the-criminal-justice-system-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-04-03"
"Cohort_period","age_cat","ethnicity","offenders","reoffenders","reoffences","Reoffending rate","Average number of reoffences per reoffender"
"2013_Q3","All","Black Total","13327","4608","14549","34.6%","3.16"
"2013_Q3","Adult","Not Recorded","3912","325","855","8.3%","2.63"
"2013_Q3","Juvenile","Not Recorded","347","62","188","17.9%","3.03"
"2013_Q3","All","Not Recorded Total","4259","387","1043","9.1%","2.70"
"2013_Q3","Adult","Other","1611","357","1023","22.2%","2.87"
"2013_Q3","Juvenile","Other","128","51","163","39.8%","3.20"
"2013_Q3","All","Other Total","1739","408","1186","23.5%","2.91"
"2013_Q3","Adult","White","113686","35981","130442","31.6%","3.63"
"2013_Q3","Juvenile","White","10982","4678","15818","42.6%","3.38"
"2013_Q3","All","White Total","124668","40659","146260","32.6%","3.60"
"2013_Q4","Adult","Asian","7559","1737","5158","23.0%","2.97"
"2013_Q4","Juvenile","Asian","607","219","686","36.1%","3.13"
"2013_Q4","All","Asian Total","8166","1956","5844","24.0%","2.99"
"2013_Q4","Adult","Black","11409","3593","11404","31.5%","3.17"
"2013_Q4","Juvenile","Black","1417","716","2438","50.5%","3.41"
"2013_Q4","All","Black Total","12826","4309","13842","33.6%","3.21"
"2013_Q4","Adult","Not Recorded","4405","323","902","7.3%","2.79"
"2013_Q4","Juvenile","Not Recorded","358","55","163","15.4%","2.96"
"2013_Q4","All","Not Recorded Total","4763","378","1065","7.9%","2.82"
"2013_Q4","Adult","Other","1615","317","864","19.6%","2.73"
"2013_Q4","Juvenile","Other","107","42","136","39.3%","3.24"
"2013_Q4","All","Other Total","1722","359","1000","20.8%","2.79"
"2013_Q4","Adult","White","110839","34144","125075","30.8%","3.66"
"2013_Q4","Juvenile","White","10454","4486","15670","42.9%","3.49"
"2013_Q4","All","White Total","121293","38630","140745","31.8%","3.64"
"2014_Q1","Adult","Asian","7438","1708","5215","23.0%","3.05"
"2014_Q1","Juvenile","Asian","543","195","664","35.9%","3.41"
"2014_Q1","All","Asian Total","7981","1903","5879","23.8%","3.09"
"2014_Q1","Adult","Black","11503","3636","11769","31.6%","3.24"
"2014_Q1","Juvenile","Black","1314","673","2209","51.2%","3.28"
"2014_Q1","All","Black Total","12817","4309","13978","33.6%","3.24"
"2014_Q1","Adult","Not Recorded","4807","335","1062","7.0%","3.17"
"2014_Q1","Juvenile","Not Recorded","373","73","194","19.6%","2.66"
"2014_Q1","All","Not Recorded Total","5180","408","1256","7.9%","3.08"
"2014_Q1","Adult","Other","1685","357","985","21.2%","2.76"
"2014_Q1","Juvenile","Other","105","48","168","45.7%","3.50"
"2014_Q1","All","Other Total","1790","405","1153","22.6%","2.85"
"2014_Q1","Adult","White","111542","34265","126834","30.7%","3.70"
"2014_Q1","Juvenile","White","10018","4393","15399","43.9%","3.51"
"2014_Q1","All","White Total","121560","38658","142233","31.8%","3.68"
"2014_Q2","Adult","Asian","6885","1554","4782","22.6%","3.08"
"2014_Q2","Juvenile","Asian","532","199","656","37.4%","3.30"
"2014_Q2","All","Asian Total","7417","1753","5438","23.6%","3.10"
"2014_Q2","Adult","Black","10893","3389","11023","31.1%","3.25"
"2014_Q2","Juvenile","Black","1433","698","2318","48.7%","3.32"
"2014_Q2","All","Black Total","12326","4087","13341","33.2%","3.26"
"2014_Q2","Adult","Not Recorded","4461","299","959","6.7%","3.21"
"2014_Q2","Juvenile","Not Recorded","400","58","155","14.5%","2.67"
"2014_Q2","All","Not Recorded Total","4861","357","1114","7.3%","3.12"
"2014_Q2","Adult","Other","1522","305","921","20.0%","3.02"
"2014_Q2","Juvenile","Other","93","45","137","48.4%","3.04"
"2014_Q2","All","Other Total","1615","350","1058","21.7%","3.02"
"2014_Q2","Adult","White","105012","32311","120656","30.8%","3.73"
"2014_Q2","Juvenile","White","9567","4135","14939","43.2%","3.61"
"2014_Q2","All","White Total","114579","36446","135595","31.8%","3.72"
"2014_Q3","Adult","Asian","7119","1648","4887","23.1%","2.97"
"2014_Q3","Juvenile","Asian","505","184","693","36.4%","3.77"
"2014_Q3","All","Asian Total","7624","1832","5580","24.0%","3.05"
"2014_Q3","Adult","Black","11304","3473","11430","30.7%","3.29"
"2014_Q3","Juvenile","Black","1389","669","2106","48.2%","3.15"
"2014_Q3","All","Black Total","12693","4142","13536","32.6%","3.27"
"2014_Q3","Adult","Not Recorded","4649","279","877","6.0%","3.14"
"2014_Q3","Juvenile","Not Recorded","396","62","187","15.7%","3.02"
"2014_Q3","All","Not Recorded Total","5045","341","1064","6.8%","3.12"
"2014_Q3","Adult","Other","1540","307","899","19.9%","2.93"
"2014_Q3","Juvenile","Other","94","35","97","37.2%","2.77"
"2014_Q3","All","Other Total","1634","342","996","20.9%","2.91"
"2014_Q3","Adult","White","106390","32515","121208","30.6%","3.73"
"2014_Q3","Juvenile","White","9358","4026","14873","43.0%","3.69"
"2014_Q3","All","White Total","115748","36541","136081","31.6%","3.72"
"2014_Q4","Adult","Asian","6887","1581","4985","23.0%","3.15"
"2014_Q4","Juvenile","Asian","521","168","536","32.2%","3.19"
"2014_Q4","All","Asian Total","7408","1749","5521","23.6%","3.16"
"2014_Q4","Adult","Black","10950","3464","11890","31.6%","3.43"
"2014_Q4","Juvenile","Black","1229","626","2112","50.9%","3.37"
"2014_Q4","All","Black Total","12179","4090","14002","33.6%","3.42"
"2014_Q4","Adult","Not Recorded","4617","315","883","6.8%","2.80"
"2014_Q4","Juvenile","Not Recorded","374","51","202","13.6%","3.96"
"2014_Q4","All","Not Recorded Total","4991","366","1085","7.3%","2.96"
"2014_Q4","Adult","Other","1504","274","847","18.2%","3.09"
"2014_Q4","Juvenile","Other","67","23","?","34.3%","?"
"2014_Q4","All","Other Total","1571","297","847","18.9%","2.85"
"2014_Q4","Adult","White","101905","30581","115865","30.0%","3.79"
"2014_Q4","Juvenile","White","8546","3639","13576","42.6%","3.73"
"2014_Q4","All","White Total","110451","34220","129441","31.0%","3.78"
"2015_Q1","Adult","Asian","7096","1608","5275","22.7%","3.28"
"2015_Q1","Juvenile","Asian","512","201","699","39.3%","3.48"
"2015_Q1","All","Asian Total","7608","1809","5974","23.8%","3.30"
"2015_Q1","Adult","Black","11049","3474","11969","31.4%","3.45"
"2015_Q1","Juvenile","Black","1278","664","2307","52.0%","3.47"
"2015_Q1","All","Black Total","12327","4138","14276","33.6%","3.45"
"2015_Q1","Adult","Not Recorded","4853","275","767","5.7%","2.79"
"2015_Q1","Juvenile","Not Recorded","385","74","214","19.2%","2.89"
"2015_Q1","All","Not Recorded Total","5238","349","981","6.7%","2.81"
"2015_Q1","Adult","Other","1595","324","957","20.3%","2.95"
"2015_Q1","Juvenile","Other","69","36","128","52.2%","3.56"
"2015_Q1","All","Other Total","1664","360","1085","21.6%","3.01"
"2015_Q1","Adult","White","102453","30154","113639","29.4%","3.77"
"2015_Q1","Juvenile","White","8294","3593","13300","43.3%","3.70"
"2015_Q1","All","White Total","110747","33747","126939","30.5%","3.76"
"2015_Q2","Adult","Asian","6645","1493","4792","22.5%","3.21"
"2015_Q2","Juvenile","Asian","438","173","605","39.5%","3.50"
"2015_Q2","All","Asian Total","7083","1666","5397","23.5%","3.24"
"2015_Q2","Adult","Black","11030","3493","11842","31.7%","3.39"
"2015_Q2","Juvenile","Black","1329","692","2274","52.1%","3.29"
"2015_Q2","All","Black Total","12359","4185","14116","33.9%","3.37"
"2015_Q2","Adult","Not Recorded","4822","276","742","5.7%","2.69"
"2015_Q2","Juvenile","Not Recorded","343","45","126","13.1%","2.80"
"2015_Q2","All","Not Recorded Total","5165","321","868","6.2%","2.70"
"2015_Q2","Adult","Other","1427","277","860","19.4%","3.10"
"2015_Q2","Juvenile","Other","67","30","93","44.8%","3.10"
"2015_Q2","All","Other Total","1494","307","953","20.5%","3.10"
"2015_Q2","Adult","White","99508","29604","111959","29.8%","3.78"
"2015_Q2","Juvenile","White","7801","3336","12742","42.8%","3.82"
"2015_Q2","All","White Total","107309","32940","124701","30.7%","3.79"
"2015_Q3","Adult","Asian","6747","1518","5074","22.5%","3.34"
"2015_Q3","Juvenile","Asian","493","180","578","36.5%","3.21"
"2015_Q3","All","Asian Total","7240","1698","5652","23.5%","3.33"
"2015_Q3","Adult","Black","10886","3415","11594","31.4%","3.40"
"2015_Q3","Juvenile","Black","1321","658","2351","49.8%","3.57"
"2015_Q3","All","Black Total","12207","4073","13945","33.4%","3.42"
"2015_Q3","Adult","Not Recorded","4817","269","703","5.6%","2.61"
"2015_Q3","Juvenile","Not Recorded","415","55","184","13.3%","3.35"
"2015_Q3","All","Not Recorded Total","5232","324","887","6.2%","2.74"
"2015_Q3","Adult","Other","1463","287","889","19.6%","3.10"
"2015_Q3","Juvenile","Other","88","38","112","43.2%","2.95"
"2015_Q3","All","Other Total","1551","325","1001","21.0%","3.08"
"2015_Q3","Adult","White","98431","28967","110579","29.4%","3.82"
"2015_Q3","Juvenile","White","7682","3263","12330","42.5%","3.78"
"2015_Q3","All","White Total","106113","32230","122909","30.4%","3.81"
