"Title","New social housing lettings by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Income","Geography_code","Geography_name","Geography_type","Age","Value","Numerator","Population estimate"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000047","County Durham","Local Authority","All","98.9","5367","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000049","Cheshire East","Local Authority","All","96.3","2423","96.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000050","Cheshire West and Chester","Local Authority","All","98","2412","97.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000051","Shropshire","Local Authority","All","97.8","1894","97.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000052","Cornwall","Local Authority","All","98.2","2764","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000053","Isles of Scilly","Local Authority","All","100","9","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000054","Wiltshire","Local Authority","All","93.9","2339","96.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000055","Bedford","Local Authority","All","74.7","864","79.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000056","Central Bedfordshire","Local Authority","All","91.1","1022","93.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000057","Northumberland","Local Authority","All","98.7","2964","98.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000004","Aylesbury Vale","Local Authority","All","80.9","888","88.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000005","Chiltern","Local Authority","All","82.3","247","90.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000006","South Buckinghamshire","Local Authority","All","91.1","133","83.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000007","Wycombe","Local Authority","All","77.7","530","80.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000008","Cambridge","Local Authority","All","81.2","810","81.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000009","East Cambridgeshire","Local Authority","All","94.2","503","96"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000010","Fenland","Local Authority","All","96.2","530","97.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000011","Huntingdonshire","Local Authority","All","93.6","729","94.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000012","South Cambridgeshire","Local Authority","All","93.8","578","92.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000026","Allerdale","Local Authority","All","99.3","946","98.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000027","Barrow-in-Furness","Local Authority","All","97.8","401","98.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000028","Carlisle","Local Authority","All","98.2","854","98"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000029","Copeland","Local Authority","All","99.5","578","98.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000030","Eden","Local Authority","All","99.2","367","98.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000031","South Lakeland","Local Authority","All","97.9","518","98.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000032","Amber Valley","Local Authority","All","97.4","854","98"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000033","Bolsover","Local Authority","All","97.7","561","98"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000034","Chesterfield","Local Authority","All","97.7","1177","96.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000035","Derbyshire Dales","Local Authority","All","98.1","362","98.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000036","Erewash","Local Authority","All","96","655","96.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000037","High Peak","Local Authority","All","98.3","463","97.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000038","North East Derbyshire","Local Authority","All","98.2","769","97.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000039","South Derbyshire","Local Authority","All","95.5","466","95.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000040","East Devon","Local Authority","All","99.1","575","98.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000041","Exeter","Local Authority","All","95.3","855","92.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000042","Mid Devon","Local Authority","All","99.1","341","98.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000043","North Devon","Local Authority","All","98.6","416","97.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000044","South Hampshire","Local Authority","All","98.9","279","98.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000045","Teignbridge","Local Authority","All","99.2","468","98.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000046","Torridge","Local Authority","All","97.6","245","98.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000047","West Devon","Local Authority","All","97.9","191","98.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000048","Christchurch","Local Authority","All","97.1","132","97.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000049","East Dorset","Local Authority","All","97.6","245","98"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000050","North Dorset","Local Authority","All","97.2","348","97.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000051","Purbeck","Local Authority","All","!","195","98.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000052","West Dorset","Local Authority","All","97.9","570","97.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000053","Weymouth and Portland","Local Authority","All","98.5","262","97.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000061","Eastbourne","Local Authority","All","96.2","426","93.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000062","Hastings","Local Authority","All","94.8","589","93.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000063","Lewes","Local Authority","All","96.9","311","96.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000064","Rother","Local Authority","All","96.8","269","96.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000065","Wealden","Local Authority","All","97.2","489","97.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000066","Basildon","Local Authority","All","94.1","1062","92.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000067","Braintree","Local Authority","All","96.6","774","96.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000068","Brentwood","Local Authority","All","92.8","233","93.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000069","Castle Point","Local Authority","All","97.8","135","96.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000070","Chelmsford","Local Authority","All","92.8","604","93.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000071","Colchester","Local Authority","All","91.2","942","91.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000072","Epping Forest","Local Authority","All","88.9","392","90"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000073","Harlow","Local Authority","All","89.7","660","88.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000074","Maldon","Local Authority","All","98.4","247","98"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000075","Rochford","Local Authority","All","!","196","97"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000076","Tendring","Local Authority","All","97.4","416","97.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000077","Uttlesford","Local Authority","All","95","345","96.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000078","Cheltenham","Local Authority","All","95.5","696","93.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000079","Cotswold","Local Authority","All","97.2","450","97.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000080","Forest of Dean","Local Authority","All","99","512","98.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000081","Gloucester","Local Authority","All","88.2","870","88.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000082","Stroud","Local Authority","All","96.5","553","97.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000083","Tewkesbury","Local Authority","All","95.1","442","97.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000084","Basingstoke and Deane","Local Authority","All","94.8","901","92.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000085","East Hampshire","Local Authority","All","94.6","435","96.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000086","Eastleigh","Local Authority","All","95.5","381","94.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000087","Fareham","Local Authority","All","97.2","516","96.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000088","Gosport","Local Authority","All","97.2","558","96.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000089","Hart","Local Authority","All","96.3","335","94.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000090","Havant","Local Authority","All","96.7","683","96.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000091","New Forest","Local Authority","All","98.8","413","97.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000092","Rushmoor","Local Authority","All","89.4","336","84.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000093","Test Valley","Local Authority","All","94.8","652","95.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000094","Winchester","Local Authority","All","95.9","654","95.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000095","Broxbourne","Local Authority","All","86.8","354","89.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000096","Dacorum","Local Authority","All","90.5","891","90.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000098","Hertsmere","Local Authority","All","84.3","467","84.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000099","North Hertfordshire","Local Authority","All","88.4","593","89"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000102","Three Rivers","Local Authority","All","90.9","289","85.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000103","Watford","Local Authority","All","77.1","424","70.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000105","Ashford","Local Authority","All","93.3","641","93.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000106","Canterbury","Local Authority","All","94.5","670","93"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000107","Dartford","Local Authority","All","88.3","338","86.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000108","Dover","Local Authority","All","97.5","585","96.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000109","Gravesham","Local Authority","All","87.6","360","81.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000110","Maidstone","Local Authority","All","89.8","798","93.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000111","Sevenoaks","Local Authority","All","95.4","433","95.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000112","Shepway","Local Authority","All","93.9","449","94.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000113","Swale","Local Authority","All","96.4","532","96.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000114","Thanet","Local Authority","All","94.1","586","95.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000115","Tonbridge and Malling","Local Authority","All","97.5","575","95.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000116","Tunbridge Wells","Local Authority","All","93.9","705","94.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000117","Burnley","Local Authority","All","91.3","929","86.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000118","Chorley","Local Authority","All","97.3","779","96.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000119","Fylde","Local Authority","All","98.5","258","97.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000120","Hyndburn","Local Authority","All","97","643","86.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000121","Lancaster","Local Authority","All","98.1","1041","95.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000122","Pendle","Local Authority","All","93.3","588","78.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000123","Preston","Local Authority","All","92.2","1330","79.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000124","Ribble Valley","Local Authority","All","98.9","259","97.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000125","Rossendale","Local Authority","All","98.1","525","93.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000126","South Ribble","Local Authority","All","97.5","658","96.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000127","West Lancashire","Local Authority","All","98.5","905","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000128","Wyre","Local Authority","All","96.9","436","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000129","Blaby","Local Authority","All","94.3","394","90.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000130","Charnwood","Local Authority","All","90.4","831","86.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000131","Harborough","Local Authority","All","95.8","323","95"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000132","Hinckley and Bosworth","Local Authority","All","96.7","444","96.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000133","Melton","Local Authority","All","98","301","97.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000134","North West Leicestershire","Local Authority","All","97.3","679","97.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000135","Oadby and Wigston","Local Authority","All","92.6","113","71.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000136","Boston","Local Authority","All","98","443","96.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000137","East Lindsey","Local Authority","All","98.7","971","98.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000138","Lincoln","Local Authority","All","97.7","1196","95.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000139","North Kesteven","Local Authority","All","98.9","363","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000140","South Holland","Local Authority","All","98.6","420","97.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000141","South Kesteven","Local Authority","All","97.1","780","97.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E07000142","West Lindsey","Local Authority","All","98.3","567","98.1"
