"Title","Reading, writing and maths attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-05"
"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","22","%","216,024"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","23","%","198,706"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","36","%","837"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","6","%","203"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","3","%","950"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","19","%","15,328"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","24","%","15,022"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","18","%","4,266"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","21","%","1,917"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","30","%","3,379"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","27","%","5,460"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","18","%","30,330"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","25","%","7,657"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","13","%","12,767"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","17","%","5,038"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","22","%","4,868"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","15","%","16,984"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","13","%","3,661"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","17","%","11,140"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","14","%","2,183"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","36","%","1,101"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","15","%","5,079"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","19","%","2,319"
