"Title","Reading, writing and maths attainments for children aged 10 to 11 (key stage 2)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-24"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Warrington","E06000007","61","%","2384"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Halton","E06000006","47","%","1477"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Bury","E08000002","55","%","2240"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Tameside","E08000008","55","%","2601"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cheshire East","E06000049","52","%","3860"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Oldham","E08000004","47","%","3249"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Knowsley","E08000011","48","%","1781"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Bolton","E08000001","56","%","3540"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Lancashire","E10000017","54","%","13229"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Wirral","E08000015","49","%","3599"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cumbria","E10000006","51","%","4958"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Rochdale","E08000005","51","%","2680"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Salford","E08000006","57","%","2637"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Trafford","E08000009","66","%","2701"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Windsor and Maidenhead","E06000040","59","%","1340"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Slough","E06000039","55","%","1954"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Southampton","E06000045","54","%","2300"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Oxfordshire","E10000025","52","%","6691"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Medway","E06000035","49","%","3087"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Hampshire","E10000014","59","%","14043"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Isle of Wight","E06000046","49","%","1327"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","West Sussex","E10000032","45","%","8239"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","West Berkshire","E06000037","56","%","1675"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Reading","E06000038","56","%","1477"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Portsmouth","E06000044","48","%","2007"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Surrey","E10000030","60","%","11122"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Kent","E10000016","59","%","16076"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Milton Keynes","E06000042","56","%","3227"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Brighton and Hove","E06000043","58","%","2396"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","East Sussex","E10000011","52","%","5034"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Wokingham","E06000041","61","%","1868"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Bracknell Forest","E06000036","52","%","1311"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South East","Buckinghamshire","E10000002","57","%","5701"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Plymouth","E06000026","54","%","2665"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","South Gloucestershire","E06000025","53","%","3086"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Bath and North East Somerset","E06000022","54","%","1715"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Cornwall","E06000052","51","%","5531"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Poole","E06000029","54","%","1320"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Swindon","E06000030","46","%","2535"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Isles of Scilly","E06000053","55","%","20"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","North Somerset","E06000024","57","%","2150"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Wiltshire","E06000054","54","%","4933"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Bournemouth","E06000028","54","%","1554"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Gloucestershire","E10000013","54","%","6105"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Bristol, City of","E06000023","54","%","4267"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Somerset","E10000027","52","%","5481"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Devon","E10000008","54","%","7471"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Torbay","E06000027","51","%","1387"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","South West","Dorset","E10000009","45","%","4048"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Telford and Wrekin","E06000020","56","%","2078"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Coventry","E08000026","49","%","3791"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Staffordshire","E10000028","53","%","9028"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Warwickshire","E10000031","57","%","5807"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Walsall","E08000030","50","%","3412"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Sandwell","E08000028","51","%","4078"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Shropshire","E06000051","51","%","2930"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Wolverhampton","E08000031","53","%","2883"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Dudley","E08000027","49","%","3678"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Herefordshire, County of","E06000019","52","%","1774"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Stoke-on-Trent","E06000021","45","%","2897"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Solihull","E08000029","58","%","2547"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Birmingham","E08000025","47","%","14581"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","West Midlands","Worcestershire","E10000034","48","%","5942"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Doncaster","E08000017","46","%","3409"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","North Lincolnshire","E06000013","48","%","1894"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Bradford","E08000032","47","%","7280"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Barnsley","E08000016","53","%","2581"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","53","%","3473"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Rotherham","E08000018","54","%","3057"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Wakefield","E08000036","50","%","3603"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","North East Lincolnshire","E06000012","51","%","1869"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","North Yorkshire","E10000023","51","%","5878"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Leeds","E08000035","48","%","8304"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","53","%","2833"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Sheffield","E08000019","52","%","5824"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Kirklees","E08000034","49","%","5100"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","Calderdale","E08000033","47","%","2642"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","Yorkshire and The Humber","York","E06000014","52","%","1821"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","67","%","93"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","71","%","322"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","66","%","87"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","69","%","963"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","56","%","125"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","47","%","498"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","61","%","217"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","43","%","1335"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","37","%","304"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","57","%","76"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","55","%","89"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","49","%","516"
