"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_type","Geography_code","Geography_name","Age group_type","Age group","Value","Numerator","Denominator"
"Average number of offences per reoffender",2013,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,3219,1221
"Average number of offences per reoffender",2013,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3.2,361191,114413
"Average number of offences per reoffender",2014,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,15679,5539
"Average number of offences per reoffender",2014,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3,36902,12391
"Average number of offences per reoffender",2014,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,3094,1156
"Average number of offences per reoffender",2014,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,2913,1090
"Average number of offences per reoffender",2014,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3.3,340577,104489
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",2.9,3868,1331
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.2,6603,2058
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",2.8,696,253
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",2.5,319,130
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.6,102290,28648
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",2.8,3430,1209
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.2,4999,1546
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",2.6,450,175
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",2.9,341,116
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.7,90164,24519
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",2.9,2184,754
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.3,4124,1246
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",2.6,438,171
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.1,357,115
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.6,82698,23085
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",2.9,1085,378
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.3,4379,1317
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.1,404,131
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",2.7,268,100
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.3,51438,15732
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.7,461,172
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.8,2885,1014
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.3,228,99
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.9,150,52
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3,28571,9666
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.7,257,95
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3.2,1385,436
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.7,189,70
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.7,95,35
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.9,13724,4775
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.9,153,53
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",3.6,523,144
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.3,107,47
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.6,44,17
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.7,6910,2537
"Average number of offences per reoffender",2000,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",3,62,21
"Average number of offences per reoffender",2000,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.8,250,90
"Average number of offences per reoffender",2000,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",1.8,97,54
"Average number of offences per reoffender",2000,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.1,38,18
"Average number of offences per reoffender",2000,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.8,7325,2614
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.1,3592,1167
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3,6591,2202
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",2.6,683,266
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",2.8,612,215
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.2,77765,24055
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.2,4611,1458
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.2,7184,2230
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",2.6,675,262
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.2,715,226
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.4,79801,23407
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.2,3663,1137
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.2,6262,1928
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",2.7,494,184
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.1,764,248
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.5,72309,20581
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.2,2126,665
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.4,5078,1509
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",2.8,378,135
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.1,499,163
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.4,57201,16998
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.8,929,328
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3.2,4462,1413
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.8,334,119
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3,331,109
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3.2,39992,12590
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.8,574,208
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3.4,3262,949
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.4,217,92
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3,216,73
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3,21572,7255
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.5,308,122
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",3,1120,370
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.7,161,59
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.6,97,38
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.8,9642,3384
"Average number of offences per reoffender",2004,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.4,205,86
"Average number of offences per reoffender",2004,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.9,557,190
"Average number of offences per reoffender",2004,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.3,192,84
"Average number of offences per reoffender",2004,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.3,51,22
"Average number of offences per reoffender",2004,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.9,9583,3281
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.7,183,67
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.8,442,158
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.3,30,13
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",2.2,37,17
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","18 to 20",3,6181,2060
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3.1,250,80
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3.2,423,132
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3.7,48,13
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",2.2,38,17
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","21 to 24",3.2,5891,1867
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",3,235,79
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",3.2,420,132
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",2,20,10
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",3.8,50,13
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","25 to 29",3.2,5424,1675
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",3.3,170,51
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",3.6,393,108
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",2.6,29,11
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",2.4,26,11
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","30 to 34",3.1,4410,1407
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2.3,57,25
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2.9,222,76
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2,22,11
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",2.4,22,9
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","35 to 39",3,3422,1148
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",1.7,15,9
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",3.6,209,58
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",2,8,4
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",3.5,14,4
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","40 to 44",2.8,2049,726
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.5,20,8
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.8,54,19
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",1,4,4
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",1.4,7,5
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","45 to 49",2.5,872,347
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",1.5,6,4
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",4,28,7
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",2.4,17,7
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",1,1,1
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000006","East of England","Adult","50+",2.9,1120,390
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.9,771,268
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.7,945,345
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.6,113,43
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",2.8,65,23
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","18 to 20",3,8077,2707
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",3.1,1056,346
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000005","West Midlands","Adult","21 to 24",3.1,1157,371
