"Title","Employment by occupation"
"Location","UK"
"Time period","2004 to 2017"
"Data source","Department for Business, Energy & Industrial Strategy"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Occupation","Occupation_Type","Value","Denominator","Numerator","Conf","Note"
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","11","492100","55600","2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","12","492100","59300","2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","492100","82100","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","6","492100","26800","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","492100","32900","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","18","492100","89600","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","9","492100","43500","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","8","492100","40000","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","533300","71200","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","11","533300","58400","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","4","533300","22300","1.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","10","533300","52800","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","12","533300","63700","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","533300","44000","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","22","533300","119300","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","13","533300","68500","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","6","533300","33200","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","166600","21000","3.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","18","166600","29400","3.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","166600","13500","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","12","166600","19300","3.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","7","166600","11600","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","166600","9700","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","16","166600","27300","3.5",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","14","166600","23100","3.3",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","166600","11700","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","9","508200","47900","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","10","508200","50300","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","508200","39000","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","508200","72400","2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","508200","49000","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","5","508200","26200","1.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","25","508200","129100","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","10","508200","49400","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","9","508200","44800","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","8","313500","25600","2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","7","313500","23300","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","6","313500","18700","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","313500","44100","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","313500","31200","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","17","313500","52700","2.8",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","13","313500","42000","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","14","313500","45000","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/Bangladeshi","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","10","313500","30800","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","26146800","3454700","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","13","26146800","3406900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","26146800","2068700","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","26146800","2899400","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","26146800","2555400","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","26146800","1979600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","26146800","4383900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","26146800","2149600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","26146800","3248600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","28518800","3711200","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","13","28518800","3759600","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","28518800","2290300","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","28518800","3144600","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","28518800","2735100","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","28518800","2151100","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","28518800","4932500","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","28518800","2395100","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","28518800","3399400","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","533000","63200","2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","533000","62400","2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","14","533000","74600","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","15","533000","81900","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","6","533000","29700","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","533000","33500","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","19","533000","102200","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","9","533000","49100","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black or Black British","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","533000","36300","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","551200","69700","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","551200","67700","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","5","551200","25400","1.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","551200","61300","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","551200","56600","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","551200","41700","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","25","551200","137900","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","11","551200","59200","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","6","551200","31700","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","170500","21400","3.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","17","170500","28300","3.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","10","170500","16800","2.9",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","12","170500","19800","3.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","7","170500","12400","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","5","170500","9000","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","15","170500","26100","3.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","13","170500","22500","3.3",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","8","170500","14100","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","10","590400","59800","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","10","590400","57000","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","9","590400","52500","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","590400","80600","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","9","590400","54800","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","590400","35600","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","24","590400","143800","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","10","590400","56300","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","9","590400","49900","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","9","326100","29900","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","9","326100","27900","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","6","326100","19400","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","13","326100","41200","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","326100","32500","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","16","326100","52100","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","326100","45800","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","15","326100","48100","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/Bangladeshi","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","9","326100","29300","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","26326200","3465400","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","13","26326200","3511500","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","26326200","2100400","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","26326200","2856700","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","26326200","2546900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","26326200","1978200","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","26326200","4473100","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","26326200","2159100","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","26326200","3234900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","28823200","3645600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","13","28823200","3798000","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","28823200","2360300","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","28823200","3188600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","28823200","2762500","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","28823200","2120700","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","18","28823200","5133300","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","28823200","2426700","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","28823200","3387500","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","580200","74900","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","580200","66500","2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","15","580200","86500","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","580200","79600","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","6","580200","34300","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","580200","32000","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","19","580200","110100","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","10","580200","55700","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black or Black British","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","580200","40600","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","593900","72800","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","593900","70100","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","5","593900","27600","1.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","593900","62400","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","11","593900","64600","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","593900","40600","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","26","593900","155300","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","11","593900","64700","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","6","593900","35800","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Mixed","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","11","182800","20900","3.4",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Mixed","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","18","182800","32700","4.1",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Mixed","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","12","182800","21000","3.4",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Mixed","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","13","182800","24300","3.6",""
