"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Hampshire","5","98","5.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Hertfordshire","54","98","55.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Hertfordshire","39","98","39.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Hertfordshire","11","27","40.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Humberside","6","27","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Humberside","10","27","37.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Humberside","2","86","2.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Kent","38","86","44.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Kent","46","86","53.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Kent","5","213","2.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Lancashire","157","213","73.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Lancashire","51","213","23.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Lancashire","13","169","7.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Leicestershire","86","169","50.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Leicestershire","70","169","41.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Leicestershire","21","26","80.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Lincolnshire","2","26","7.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Lincolnshire","3","26","11.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Lincolnshire","2","19","10.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Merseyside","9","19","47.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Merseyside","8","19","42.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Merseyside","3","1753","0.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Metropolitan Police","989","1753","56.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Metropolitan Police","761","1753","43.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Metropolitan Police","192","209","91.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Norfolk","7","209","3.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Norfolk","10","209","4.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Norfolk","2","17","11.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","North Wales","1","17","5.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","North Wales","14","17","82.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","North Wales","1","15","6.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","North Yorkshire","11","15","73.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","North Yorkshire","3","15","20.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Northamptonshire","8","18","44.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Northamptonshire","6","18","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Northamptonshire","4","18","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Northumbria","11","36","30.6"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Northumbria","18","36","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Northumbria","7","36","19.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Nottinghamshire","60","90","66.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Nottinghamshire","28","90","31.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Nottinghamshire","2","90","2.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","South Wales","31","56","55.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","South Wales","20","56","35.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","South Wales","5","56","8.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","South Yorkshire","59","118","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","South Yorkshire","47","118","39.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","South Yorkshire","12","118","10.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Staffordshire","47","128","36.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Staffordshire","68","128","53.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Staffordshire","13","128","10.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Suffolk","8","15","53.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Suffolk","2","15","13.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Suffolk","5","15","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Surrey","29","49","59.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Surrey","18","49","36.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Surrey","2","49","4.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Sussex","26","55","47.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Sussex","23","55","41.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Sussex","6","55","10.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Thames Valley","122","221","55.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Thames Valley","75","221","33.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Thames Valley","24","221","10.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Warwickshire","14","28","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Warwickshire","11","28","39.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Warwickshire","3","28","10.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","West Mercia","24","47","51.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","West Mercia","17","47","36.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","West Mercia","6","47","12.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","West Midlands","592","974","60.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","West Midlands","307","974","31.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","West Midlands","75","974","7.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","West Yorkshire","337","515","65.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","West Yorkshire","134","515","26.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","West Yorkshire","44","515","8.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Wiltshire","3","13","23.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Wiltshire","9","13","69.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","special/miscellaneous and unknown police forces","1","13","7.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Avon and Somerset","55","171","32.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Avon and Somerset","97","171","56.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Avon and Somerset","19","171","11.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Bedfordshire","62","133","46.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Bedfordshire","56","133","42.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Bedfordshire","15","133","11.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Cambridgeshire","22","64","34.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Cambridgeshire","33","64","51.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Cambridgeshire","9","64","14.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Cheshire","2","12","16.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Cheshire","9","12","75.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Cheshire","1","12","8.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","City of London","7","28","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","City of London","13","28","46.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Cleveland","8","28","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Cleveland","9","11","81.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Cumbria","1","11","9.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Cumbria","1","11","9.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Derbyshire","38","94","40.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Derbyshire","46","94","48.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Derbyshire","10","94","10.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Devon and Cornwall","12","27","44.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Devon and Cornwall","14","27","51.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Devon and Cornwall","1","27","3.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Dorset","12","32","37.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Dorset","18","32","56.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Dorset","2","32","6.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Durham","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Durham","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Durham","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Dyfed-Powys","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Dyfed-Powys","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Dyfed-Powys","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Essex","56","150","37.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Essex","83","150","55.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Essex","11","150","7.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Gloucestershire","26","54","48.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Gloucestershire","21","54","38.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Gloucestershire","7","54","13.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Greater Manchester","203","537","37.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Greater Manchester","297","537","55.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Greater Manchester","37","537","6.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Gwent","5","19","26.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Gwent","12","19","63.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Gwent","2","19","10.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Hampshire","60","148","40.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Hampshire","75","148","50.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Hampshire","13","148","8.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Hertfordshire","61","139","43.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Hertfordshire","65","139","46.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Hertfordshire","13","139","9.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Humberside","4","8","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Humberside","2","8","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Humberside","2","8","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Kent","49","131","37.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Kent","71","131","54.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Kent","11","131","8.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Lancashire","14","27","51.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Lancashire","10","27","37.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Lancashire","3","27","11.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Leicestershire","34","90","37.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Leicestershire","52","90","57.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Leicestershire","4","90","4.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Lincolnshire","3","83","3.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Merseyside","40","83","48.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Merseyside","40","83","48.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Merseyside","20","4767","0.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Metropolitan Police","2190","4767","45.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Metropolitan Police","2557","4767","53.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Metropolitan Police","652","679","96.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Norfolk","9","679","1.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Norfolk","18","679","2.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Norfolk","2","9","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","North Wales","2","9","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","North Yorkshire","5","9","55.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","North Yorkshire","2","33","6.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Northamptonshire","17","33","51.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Northamptonshire","14","33","42.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Northamptonshire","5","22","22.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Northumbria","11","22","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Northumbria","6","22","27.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Northumbria","1","228","0.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Nottinghamshire","109","228","47.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Nottinghamshire","118","228","51.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Nottinghamshire","13","83","15.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","South Wales","29","83","34.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","South Wales","41","83","49.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","South Wales","13","181","7.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","South Yorkshire","66","181","36.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","South Yorkshire","102","181","56.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","South Yorkshire","15","70","21.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Staffordshire","24","70","34.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Staffordshire","31","70","44.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Staffordshire","7","56","12.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Suffolk","23","56","41.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Suffolk","26","56","46.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Suffolk","5","55","9.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Surrey","32","55","58.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Surrey","18","55","32.7"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Surrey","8","211","3.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Sussex","72","211","34.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Sussex","131","211","62.1"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Sussex","13","180","7.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Thames Valley","95","180","52.8"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Thames Valley","72","180","40.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Thames Valley","18","28","64.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Warwickshire","5","28","17.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Warwickshire","5","28","17.9"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Warwickshire","3","40","7.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","West Mercia","14","40","35.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","West Mercia","23","40","57.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","West Mercia","5","872","0.6"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","West Midlands","436","872","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","West Midlands","431","872","49.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","West Midlands","108","298","36.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","West Yorkshire","117","298","39.3"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","West Yorkshire","73","298","24.5"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","West Yorkshire","31","54","57.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Bail","Wiltshire","11","54","20.4"
"percentage of people on remand by status and police force area","2009","All","All","Black","Custody","Wiltshire","12","54","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Black","Not remanded","Wiltshire","3","38","7.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Avon and Somerset","16","38","42.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Avon and Somerset","19","38","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Avon and Somerset","5","45","11.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Bedfordshire","20","45","44.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Bedfordshire","20","45","44.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Bedfordshire","3","28","10.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Cambridgeshire","16","28","57.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Cambridgeshire","9","28","32.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Cambridgeshire","4","13","30.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Cheshire","5","13","38.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Cheshire","4","13","30.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Cheshire","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","City of London","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","City of London","1","3","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Cleveland","8","19","42.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Cleveland","5","19","26.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Cleveland","6","19","31.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Cumbria","1","22","4.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Derbyshire","10","22","45.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Derbyshire","11","22","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Derbyshire","4","18","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Devon and Cornwall","5","18","27.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Devon and Cornwall","9","18","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Devon and Cornwall","1","13","7.7"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Dorset","9","13","69.2"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Dorset","3","13","23.1"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Dorset","2","17","11.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Dyfed-Powys","1","17","5.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Essex","14","17","82.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Essex","15","27","55.6"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Essex","5","27","18.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Gloucestershire","7","27","25.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Gloucestershire","8","74","10.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Gloucestershire","4","74","5.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Greater Manchester","62","74","83.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Greater Manchester","54","69","78.3"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Greater Manchester","11","69","15.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Gwent","4","69","5.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Gwent","6","52","11.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Hampshire","19","52","36.5"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Hampshire","27","52","51.9"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Hampshire","10","48","20.8"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Hertfordshire","24","48","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Hertfordshire","14","48","29.2"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Not remanded","Hertfordshire","6","13","46.2"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Bail","Humberside","2","13","15.4"
"percentage of people on remand by status and police force area","2009","All","All","Mixed","Custody","Humberside","5","13","38.5"
