"Title","Remand status at Crown Court by ethnicity and age group"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17 May 2017"

"","Year","Ethnicity","Age group","%"
"Bail","2013"," White"," Adults","47.2"
"Bail","2013"," Black"," Adults","43.1"
"Bail","2013"," Asian"," Adults","54.4"
"Bail","2013"," Mixed"," Adults","42.5"
"Bail","2013"," Chinese or other"," Adults","40.8"
"Bail","2013"," Not stated"," Adults","50.0"
"Bail","2014"," White"," Juveniles","64.1"
"Bail","2014"," Black"," Juveniles","45.4"
"Bail","2014"," Asian"," Juveniles","69.8"
"Bail","2014"," Mixed"," Juveniles","49.6"
"Bail","2014"," Chinese or other"," Juveniles","32.0"
"Bail","2014"," Not stated"," Juveniles","45.5"
"Bail","2014"," White"," Young adults","49.2"
"Bail","2014"," Black"," Young adults","42.4"
"Bail","2014"," Asian"," Young adults","54.1"
"Bail","2014"," Mixed"," Young adults","43.8"
"Bail","2014"," Chinese or other"," Young adults","45.3"
"Bail","2014"," Not stated"," Young adults","43.4"
"Bail","2014"," White"," Adults","47.2"
"Bail","2014"," Black"," Adults","43.2"
"Bail","2014"," Asian"," Adults","53.2"
"Bail","2014"," Mixed"," Adults","40.9"
"Bail","2014"," Chinese or other"," Adults","44.8"
"Bail","2014"," Not stated"," Adults","51.2"
"Bail","2015"," White"," Juveniles","60.8"
"Bail","2015"," Black"," Juveniles","44.6"
"Bail","2015"," Asian"," Juveniles","58.7"
"Bail","2015"," Mixed"," Juveniles","56.4"
"Bail","2015"," Chinese or other"," Juveniles","43.6"
"Bail","2015"," Not stated"," Juveniles","51.4"
"Bail","2015"," White"," Young adults","50.9"
"Bail","2015"," Black"," Young adults","39.2"
"Bail","2015"," Asian"," Young adults","54.0"
"Bail","2015"," Mixed"," Young adults","47.9"
"Bail","2015"," Chinese or other"," Young adults","47.2"
"Bail","2015"," Not stated"," Young adults","42.5"
"Bail","2015"," White"," Adults","48.9"
"Bail","2015"," Black"," Adults","45.0"
"Bail","2015"," Asian"," Adults","54.5"
"Bail","2015"," Mixed"," Adults","44.7"
"Bail","2015"," Chinese or other"," Adults","45.7"
"Bail","2015"," Not stated"," Adults","52.5"
"Bail","2016"," White"," Juveniles","62.2"
"Bail","2016"," Black"," Juveniles","36.1"
"Bail","2016"," Asian"," Juveniles","46.4"
"Bail","2016"," Mixed"," Juveniles","50.6"
"Bail","2016"," Chinese or other"," Juveniles","47.6"
"Bail","2016"," Not stated"," Juveniles","41.7"
"Bail","2016"," White"," Young adults","49.5"
"Bail","2016"," Black"," Young adults","40.2"
"Bail","2016"," Asian"," Young adults","55.9"
"Bail","2016"," Mixed"," Young adults","41.1"
"Bail","2016"," Chinese or other"," Young adults","34.6"
"Bail","2016"," Not stated"," Young adults","42.5"
"Bail","2016"," White"," Adults","47.2"
"Bail","2016"," Black"," Adults","45.4"
"Bail","2016"," Asian"," Adults","51.8"
"Bail","2016"," Mixed"," Adults","42.9"
"Bail","2016"," Chinese or other"," Adults","51.1"
"Bail","2016"," Not stated"," Adults","51.2"
"Custody","2012"," White"," Juveniles","31.3"
"Custody","2012"," Black"," Juveniles","51.0"
"Custody","2012"," Asian"," Juveniles","32.6"
"Custody","2012"," Mixed"," Juveniles","39.5"
"Custody","2012"," Chinese or other"," Juveniles","42.6"
"Custody","2012"," Not stated"," Juveniles","39.5"
"Custody","2012"," White"," Young adults","33.8"
"Custody","2012"," Black"," Young adults","47.6"
"Custody","2012"," Asian"," Young adults","34.2"
"Custody","2012"," Mixed"," Young adults","43.4"
"Custody","2012"," Chinese or other"," Young adults","55.0"
"Custody","2012"," Not stated"," Young adults","37.7"
"Custody","2012"," White"," Adults","33.1"
"Custody","2012"," Black"," Adults","44.4"
"Custody","2012"," Asian"," Adults","34.8"
"Custody","2012"," Mixed"," Adults","41.1"
"Custody","2012"," Chinese or other"," Adults","43.3"
"Custody","2012"," Not stated"," Adults","31.0"
"Custody","2013"," White"," Juveniles","33.5"
"Custody","2013"," Black"," Juveniles","44.9"
"Custody","2013"," Asian"," Juveniles","25.6"
"Custody","2013"," Mixed"," Juveniles","43.8"
"Custody","2013"," Chinese or other"," Juveniles","37.5"
"Custody","2013"," Not stated"," Juveniles","42.8"
"Custody","2013"," White"," Young adults","35.5"
"Custody","2013"," Black"," Young adults","50.2"
"Custody","2013"," Asian"," Young adults","35.0"
"Custody","2013"," Mixed"," Young adults","43.8"
"Custody","2013"," Chinese or other"," Young adults","53.4"
"Custody","2013"," Not stated"," Young adults","42.1"
"Custody","2013"," White"," Adults","34.7"
"Custody","2013"," Black"," Adults","45.3"
"Custody","2013"," Asian"," Adults","35.0"
"Custody","2013"," Mixed"," Adults","42.8"
"Custody","2013"," Chinese or other"," Adults","46.3"
"Custody","2013"," Not stated"," Adults","32.7"
"Custody","2014"," White"," Juveniles","29.9"
"Custody","2014"," Black"," Juveniles","47.3"
"Custody","2014"," Asian"," Juveniles","21.4"
"Custody","2014"," Mixed"," Juveniles","43.6"
"Custody","2014"," Chinese or other"," Juveniles","68.0"
"Custody","2014"," Not stated"," Juveniles","44.9"
"Custody","2014"," White"," Young adults","34.7"
"Custody","2014"," Black"," Young adults","48.1"
"Custody","2014"," Asian"," Young adults","34.6"
"Custody","2014"," Mixed"," Young adults","45.0"
"Custody","2014"," Chinese or other"," Young adults","46.0"
"Custody","2014"," Not stated"," Young adults","39.4"
"Custody","2014"," White"," Adults","37.2"
"Custody","2014"," Black"," Adults","46.9"
"Custody","2014"," Asian"," Adults","37.8"
"Custody","2014"," Mixed"," Adults","44.8"
"Custody","2014"," Chinese or other"," Adults","43.6"
"Custody","2014"," Not stated"," Adults","32.3"
"Custody","2015"," White"," Juveniles","30.6"
"Custody","2015"," Black"," Juveniles","47.8"
"Custody","2015"," Asian"," Juveniles","34.1"
"Custody","2015"," Mixed"," Juveniles","34.5"
"Custody","2015"," Chinese or other"," Juveniles","48.7"
"Custody","2015"," Not stated"," Juveniles","32.4"
"Custody","2015"," White"," Young adults","33.8"
"Custody","2015"," Black"," Young adults","47.8"
"Custody","2015"," Asian"," Young adults","35.9"
"Custody","2015"," Mixed"," Young adults","41.5"
"Custody","2015"," Chinese or other"," Young adults","41.1"
"Custody","2015"," Not stated"," Young adults","38.5"
"Custody","2015"," White"," Adults","36.9"
"Custody","2015"," Black"," Adults","45.3"
"Custody","2015"," Asian"," Adults","36.9"
"Custody","2015"," Mixed"," Adults","43.5"
"Custody","2015"," Chinese or other"," Adults","43.9"
"Custody","2015"," Not stated"," Adults","31.9"
"Custody","2016"," White"," Juveniles","25.8"
"Custody","2016"," Black"," Juveniles","48.6"
"Custody","2016"," Asian"," Juveniles","42.9"
"Custody","2016"," Mixed"," Juveniles","42.9"
"Custody","2016"," Chinese or other"," Juveniles","47.6"
"Custody","2016"," Not stated"," Juveniles","38.0"
"Custody","2016"," White"," Young adults","31.4"
"Custody","2016"," Black"," Young adults","42.6"
"Custody","2016"," Asian"," Young adults","31.2"
"Custody","2016"," Mixed"," Young adults","37.3"
"Custody","2016"," Chinese or other"," Young adults","49.3"
"Custody","2016"," Not stated"," Young adults","35.9"
"Custody","2016"," White"," Adults","35.3"
"Custody","2016"," Black"," Adults","42.7"
"Custody","2016"," Asian"," Adults","36.8"
"Custody","2016"," Mixed"," Adults","42.0"
"Custody","2016"," Chinese or other"," Adults","37.9"
"Custody","2016"," Not stated"," Adults","32.0"
