"Title","Remand status at Crown Court"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Measure","Year","Sex","Age group","ethnicity","remand status","count","denominator","value"
"percentage of defendants by remand status","2016","All","All","Asian","Not remanded","715","6203","11.5"
"percentage of defendants by remand status","2016","All","All","Black","Bail","4010","9046","44.3"
"percentage of defendants by remand status","2016","All","All","Black","Custody","3876","9046","42.8"
"percentage of defendants by remand status","2016","All","All","Black","Not remanded","1160","9046","12.8"
"percentage of defendants by remand status","2016","All","All","Mixed","Bail","1074","2509","42.8"
"percentage of defendants by remand status","2016","All","All","Mixed","Custody","1034","2509","41.2"
"percentage of defendants by remand status","2016","All","All","Mixed","Not remanded","401","2509","16.0"
"percentage of defendants by remand status","2016","All","All","Other inc Chinese","Bail","670","1357","49.4"
"percentage of defendants by remand status","2016","All","All","Other inc Chinese","Custody","532","1357","39.2"
"percentage of defendants by remand status","2016","All","All","Other inc Chinese","Not remanded","155","1357","11.4"
"percentage of defendants by remand status","2016","All","All","White","Bail","28530","59936","47.6"
"percentage of defendants by remand status","2016","All","All","White","Custody","20894","59936","34.9"
"percentage of defendants by remand status","2016","All","All","White","Not remanded","10512","59936","17.5"
"percentage of defendants by remand status","2017","All","All","Asian","Bail","2839","5672","50.1"
"percentage of defendants by remand status","2017","All","All","Asian","Custody","2054","5672","36.2"
"percentage of defendants by remand status","2017","All","All","Asian","Not remanded","779","5672","13.7"
"percentage of defendants by remand status","2017","All","All","Black","Bail","3559","8410","42.3"
"percentage of defendants by remand status","2017","All","All","Black","Custody","3586","8410","42.6"
"percentage of defendants by remand status","2017","All","All","Black","Not remanded","1265","8410","15.0"
"percentage of defendants by remand status","2017","All","All","Mixed","Bail","883","2154","41.0"
"percentage of defendants by remand status","2017","All","All","Mixed","Custody","937","2154","43.5"
"percentage of defendants by remand status","2017","All","All","Mixed","Not remanded","334","2154","15.5"
"percentage of defendants by remand status","2017","All","All","Other inc Chinese","Bail","514","1151","44.7"
"percentage of defendants by remand status","2017","All","All","Other inc Chinese","Custody","465","1151","40.4"
"percentage of defendants by remand status","2017","All","All","Other inc Chinese","Not remanded","172","1151","14.9"
"percentage of defendants by remand status","2017","All","All","White","Bail","23130","52479","44.1"
"percentage of defendants by remand status","2017","All","All","White","Custody","18780","52479","35.8"
"percentage of defendants by remand status","2017","All","All","White","Not remanded","10569","52479","20.1"
"percentage of defendants by remand status","2009","All"," Adults","Asian","Bail","2825","5229","54"
"percentage of defendants by remand status","2009","All"," Adults","Asian","Custody","1928","5229","36.9"
"percentage of defendants by remand status","2009","All"," Adults","Asian","Not remanded","476","5229","9.1"
"percentage of defendants by remand status","2009","All"," Adults","Black","Bail","3211","7849","40.9"
"percentage of defendants by remand status","2009","All"," Adults","Black","Custody","3720","7849","47.4"
"percentage of defendants by remand status","2009","All"," Adults","Black","Not remanded","918","7849","11.7"
"percentage of defendants by remand status","2009","All"," Adults","Mixed","Bail","711","1597","44.5"
"percentage of defendants by remand status","2009","All"," Adults","Mixed","Custody","676","1597","42.3"
"percentage of defendants by remand status","2009","All"," Adults","Mixed","Not remanded","210","1597","13.1"
"percentage of defendants by remand status","2009","All"," Adults","Other inc Chinese","Bail","548","1542","35.5"
"percentage of defendants by remand status","2009","All"," Adults","Other inc Chinese","Custody","816","1542","52.9"
"percentage of defendants by remand status","2009","All"," Adults","Other inc Chinese","Not remanded","178","1542","11.5"
"percentage of defendants by remand status","2009","All"," Adults","White","Bail","28404","54126","52.5"
"percentage of defendants by remand status","2009","All"," Adults","White","Custody","17198","54126","31.8"
"percentage of defendants by remand status","2009","All"," Adults","White","Not remanded","8524","54126","15.7"
"percentage of defendants by remand status","2009","All"," Juveniles","Asian","Bail","134","210","63.8"
"percentage of defendants by remand status","2009","All"," Juveniles","Asian","Custody","72","210","34.3"
"percentage of defendants by remand status","2009","All"," Juveniles","Asian","Not remanded","4","210","1.9"
"percentage of defendants by remand status","2009","All"," Juveniles","Black","Bail","204","453","45"
"percentage of defendants by remand status","2009","All"," Juveniles","Black","Custody","239","453","52.8"
"percentage of defendants by remand status","2009","All"," Juveniles","Black","Not remanded","10","453","2.2"
"percentage of defendants by remand status","2009","All"," Juveniles","Mixed","Bail","88","170","51.8"
"percentage of defendants by remand status","2009","All"," Juveniles","Mixed","Custody","81","170","47.6"
"percentage of defendants by remand status","2009","All"," Juveniles","Mixed","Not remanded","1","170","0.6"
"percentage of defendants by remand status","2009","All"," Juveniles","Other inc Chinese","Bail","20","46","43.5"
"percentage of defendants by remand status","2009","All"," Juveniles","Other inc Chinese","Custody","26","46","56.5"
"percentage of defendants by remand status","2009","All"," Juveniles","Other inc Chinese","Not remanded","0","46","0"
"percentage of defendants by remand status","2009","All"," Juveniles","White","Bail","1119","1833","61"
"percentage of defendants by remand status","2009","All"," Juveniles","White","Custody","680","1833","37.1"
"percentage of defendants by remand status","2009","All"," Juveniles","White","Not remanded","34","1833","1.9"
"percentage of defendants by remand status","2009","All"," Young adults","Asian","Bail","471","872","54"
"percentage of defendants by remand status","2009","All"," Young adults","Asian","Custody","303","872","34.7"
"percentage of defendants by remand status","2009","All"," Young adults","Asian","Not remanded","98","872","11.2"
"percentage of defendants by remand status","2009","All"," Young adults","Black","Bail","623","1531","40.7"
"percentage of defendants by remand status","2009","All"," Young adults","Black","Custody","751","1531","49.1"
"percentage of defendants by remand status","2009","All"," Young adults","Black","Not remanded","157","1531","10.3"
"percentage of defendants by remand status","2009","All"," Young adults","Mixed","Bail","227","536","42.4"
"percentage of defendants by remand status","2009","All"," Young adults","Mixed","Custody","244","536","45.5"
"percentage of defendants by remand status","2009","All"," Young adults","Mixed","Not remanded","65","536","12.1"
"percentage of defendants by remand status","2009","All"," Young adults","Other inc Chinese","Bail","71","161","44.1"
"percentage of defendants by remand status","2009","All"," Young adults","Other inc Chinese","Custody","69","161","42.9"
"percentage of defendants by remand status","2009","All"," Young adults","Other inc Chinese","Not remanded","21","161","13"
"percentage of defendants by remand status","2009","All"," Young adults","White","Bail","5462","10404","52.5"
"percentage of defendants by remand status","2009","All"," Young adults","White","Custody","3228","10404","31"
"percentage of defendants by remand status","2009","All"," Young adults","White","Not remanded","1714","10404","16.5"
"percentage of defendants by remand status","2010","All"," Adults","Asian","Bail","3943","6774","58.2"
"percentage of defendants by remand status","2010","All"," Adults","Asian","Custody","2308","6774","34.1"
"percentage of defendants by remand status","2010","All"," Adults","Asian","Not remanded","523","6774","7.7"
"percentage of defendants by remand status","2010","All"," Adults","Black","Bail","4272","9312","45.9"
"percentage of defendants by remand status","2010","All"," Adults","Black","Custody","4177","9312","44.9"
"percentage of defendants by remand status","2010","All"," Adults","Black","Not remanded","863","9312","9.3"
"percentage of defendants by remand status","2010","All"," Adults","Mixed","Bail","1103","2223","49.6"
"percentage of defendants by remand status","2010","All"," Adults","Mixed","Custody","859","2223","38.6"
"percentage of defendants by remand status","2010","All"," Adults","Mixed","Not remanded","261","2223","11.7"
"percentage of defendants by remand status","2010","All"," Adults","Other inc Chinese","Bail","749","1915","39.1"
"percentage of defendants by remand status","2010","All"," Adults","Other inc Chinese","Custody","970","1915","50.7"
"percentage of defendants by remand status","2010","All"," Adults","Other inc Chinese","Not remanded","196","1915","10.2"
"percentage of defendants by remand status","2010","All"," Adults","White","Bail","36721","67846","54.1"
"percentage of defendants by remand status","2010","All"," Adults","White","Custody","21917","67846","32.3"
"percentage of defendants by remand status","2010","All"," Adults","White","Not remanded","9208","67846","13.6"
"percentage of defendants by remand status","2010","All"," Juveniles","Asian","Bail","134","233","57.5"
"percentage of defendants by remand status","2010","All"," Juveniles","Asian","Custody","95","233","40.8"
"percentage of defendants by remand status","2010","All"," Juveniles","Asian","Not remanded","4","233","1.7"
"percentage of defendants by remand status","2010","All"," Juveniles","Black","Bail","231","525","44"
"percentage of defendants by remand status","2010","All"," Juveniles","Black","Custody","289","525","55"
"percentage of defendants by remand status","2010","All"," Juveniles","Black","Not remanded","5","525","1"
"percentage of defendants by remand status","2010","All"," Juveniles","Mixed","Bail","114","199","57.3"
"percentage of defendants by remand status","2010","All"," Juveniles","Mixed","Custody","84","199","42.2"
"percentage of defendants by remand status","2010","All"," Juveniles","Mixed","Not remanded","1","199","0.5"
"percentage of defendants by remand status","2010","All"," Juveniles","Other inc Chinese","Bail","19","44","43.2"
"percentage of defendants by remand status","2010","All"," Juveniles","Other inc Chinese","Custody","23","44","52.3"
"percentage of defendants by remand status","2010","All"," Juveniles","Other inc Chinese","Not remanded","2","44","4.5"
"percentage of defendants by remand status","2010","All"," Juveniles","White","Bail","1116","1786","62.5"
"percentage of defendants by remand status","2010","All"," Juveniles","White","Custody","638","1786","35.7"
"percentage of defendants by remand status","2010","All"," Juveniles","White","Not remanded","32","1786","1.8"
"percentage of defendants by remand status","2010","All"," Young adults","Asian","Bail","682","1206","56.6"
"percentage of defendants by remand status","2010","All"," Young adults","Asian","Custody","426","1206","35.3"
"percentage of defendants by remand status","2010","All"," Young adults","Asian","Not remanded","98","1206","8.1"
"percentage of defendants by remand status","2010","All"," Young adults","Black","Bail","900","1968","45.7"
"percentage of defendants by remand status","2010","All"," Young adults","Black","Custody","907","1968","46.1"
"percentage of defendants by remand status","2010","All"," Young adults","Black","Not remanded","161","1968","8.2"
"percentage of defendants by remand status","2010","All"," Young adults","Mixed","Bail","343","745","46"
"percentage of defendants by remand status","2010","All"," Young adults","Mixed","Custody","326","745","43.8"
"percentage of defendants by remand status","2010","All"," Young adults","Mixed","Not remanded","76","745","10.2"
"percentage of defendants by remand status","2010","All"," Young adults","Other inc Chinese","Bail","95","217","43.8"
"percentage of defendants by remand status","2010","All"," Young adults","Other inc Chinese","Custody","99","217","45.6"
"percentage of defendants by remand status","2010","All"," Young adults","Other inc Chinese","Not remanded","23","217","10.6"
"percentage of defendants by remand status","2010","All"," Young adults","White","Bail","6974","12796","54.5"
"percentage of defendants by remand status","2010","All"," Young adults","White","Custody","4078","12796","31.9"
"percentage of defendants by remand status","2010","All"," Young adults","White","Not remanded","1744","12796","13.6"
"percentage of defendants by remand status","2011","All"," Adults","Asian","Bail","3825","6782","56.4"
"percentage of defendants by remand status","2011","All"," Adults","Asian","Custody","2349","6782","34.6"
"percentage of defendants by remand status","2011","All"," Adults","Asian","Not remanded","608","6782","9"
"percentage of defendants by remand status","2011","All"," Adults","Black","Bail","4292","9430","45.5"
"percentage of defendants by remand status","2011","All"," Adults","Black","Custody","4170","9430","44.2"
"percentage of defendants by remand status","2011","All"," Adults","Black","Not remanded","968","9430","10.3"
"percentage of defendants by remand status","2011","All"," Adults","Mixed","Bail","1117","2464","45.3"
"percentage of defendants by remand status","2011","All"," Adults","Mixed","Custody","1054","2464","42.8"
"percentage of defendants by remand status","2011","All"," Adults","Mixed","Not remanded","293","2464","11.9"
"percentage of defendants by remand status","2011","All"," Adults","Other inc Chinese","Bail","754","1749","43.1"
"percentage of defendants by remand status","2011","All"," Adults","Other inc Chinese","Custody","781","1749","44.7"
"percentage of defendants by remand status","2011","All"," Adults","Other inc Chinese","Not remanded","214","1749","12.2"
"percentage of defendants by remand status","2011","All"," Adults","White","Bail","35088","69001","50.9"
"percentage of defendants by remand status","2011","All"," Adults","White","Custody","23462","69001","34"
"percentage of defendants by remand status","2011","All"," Adults","White","Not remanded","10451","69001","15.1"
"percentage of defendants by remand status","2011","All"," Juveniles","Asian","Bail","150","257","58.4"
"percentage of defendants by remand status","2011","All"," Juveniles","Asian","Custody","107","257","41.6"
"percentage of defendants by remand status","2011","All"," Juveniles","Asian","Not remanded","0","257","0"
"percentage of defendants by remand status","2011","All"," Juveniles","Black","Bail","259","578","44.8"
"percentage of defendants by remand status","2011","All"," Juveniles","Black","Custody","297","578","51.4"
"percentage of defendants by remand status","2011","All"," Juveniles","Black","Not remanded","22","578","3.8"
"percentage of defendants by remand status","2011","All"," Juveniles","Mixed","Bail","107","212","50.5"
"percentage of defendants by remand status","2011","All"," Juveniles","Mixed","Custody","94","212","44.3"
"percentage of defendants by remand status","2011","All"," Juveniles","Mixed","Not remanded","11","212","5.2"
"percentage of defendants by remand status","2011","All"," Juveniles","Other inc Chinese","Bail","22","51","43.1"
"percentage of defendants by remand status","2011","All"," Juveniles","Other inc Chinese","Custody","28","51","54.9"
"percentage of defendants by remand status","2011","All"," Juveniles","Other inc Chinese","Not remanded","1","51","2"
"percentage of defendants by remand status","2011","All"," Juveniles","White","Bail","1061","1756","60.4"
"percentage of defendants by remand status","2011","All"," Juveniles","White","Custody","628","1756","35.8"
"percentage of defendants by remand status","2011","All"," Juveniles","White","Not remanded","67","1756","3.8"
"percentage of defendants by remand status","2011","All"," Young adults","Asian","Bail","732","1273","57.5"
"percentage of defendants by remand status","2011","All"," Young adults","Asian","Custody","431","1273","33.9"
"percentage of defendants by remand status","2011","All"," Young adults","Asian","Not remanded","110","1273","8.6"
"percentage of defendants by remand status","2011","All"," Young adults","Black","Bail","845","2102","40.2"
"percentage of defendants by remand status","2011","All"," Young adults","Black","Custody","1077","2102","51.2"
"percentage of defendants by remand status","2011","All"," Young adults","Black","Not remanded","180","2102","8.6"
"percentage of defendants by remand status","2011","All"," Young adults","Mixed","Bail","392","812","48.3"
"percentage of defendants by remand status","2011","All"," Young adults","Mixed","Custody","319","812","39.3"
"percentage of defendants by remand status","2011","All"," Young adults","Mixed","Not remanded","101","812","12.4"
"percentage of defendants by remand status","2011","All"," Young adults","Other inc Chinese","Bail","94","253","37.2"
"percentage of defendants by remand status","2011","All"," Young adults","Other inc Chinese","Custody","128","253","50.6"
"percentage of defendants by remand status","2011","All"," Young adults","Other inc Chinese","Not remanded","31","253","12.3"
"percentage of defendants by remand status","2011","All"," Young adults","White","Bail","6206","12237","50.7"
"percentage of defendants by remand status","2011","All"," Young adults","White","Custody","4184","12237","34.2"
"percentage of defendants by remand status","2011","All"," Young adults","White","Not remanded","1847","12237","15.1"
"percentage of defendants by remand status","2012","All"," Adults","Asian","Bail","3339","6026","55.4"
"percentage of defendants by remand status","2012","All"," Adults","Asian","Custody","2096","6026","34.8"
"percentage of defendants by remand status","2012","All"," Adults","Asian","Not remanded","591","6026","9.8"
"percentage of defendants by remand status","2012","All"," Adults","Black","Bail","3590","8141","44.1"
"percentage of defendants by remand status","2012","All"," Adults","Black","Custody","3617","8141","44.4"
"percentage of defendants by remand status","2012","All"," Adults","Black","Not remanded","934","8141","11.5"
"percentage of defendants by remand status","2012","All"," Adults","Mixed","Bail","1001","2297","43.6"
"percentage of defendants by remand status","2012","All"," Adults","Mixed","Custody","944","2297","41.1"
"percentage of defendants by remand status","2012","All"," Adults","Mixed","Not remanded","352","2297","15.3"
"percentage of defendants by remand status","2012","All"," Adults","Other inc Chinese","Bail","647","1560","41.5"
"percentage of defendants by remand status","2012","All"," Adults","Other inc Chinese","Custody","676","1560","43.3"
"percentage of defendants by remand status","2012","All"," Adults","Other inc Chinese","Not remanded","237","1560","15.2"
"percentage of defendants by remand status","2012","All"," Adults","White","Bail","30105","61200","49.2"
"percentage of defendants by remand status","2012","All"," Adults","White","Custody","20247","61200","33.1"
"percentage of defendants by remand status","2012","All"," Adults","White","Not remanded","10848","61200","17.7"
"percentage of defendants by remand status","2012","All"," Juveniles","Asian","Bail","139","221","62.9"
"percentage of defendants by remand status","2012","All"," Juveniles","Asian","Custody","72","221","32.6"
"percentage of defendants by remand status","2012","All"," Juveniles","Asian","Not remanded","10","221","4.5"
"percentage of defendants by remand status","2012","All"," Juveniles","Black","Bail","245","524","46.8"
"percentage of defendants by remand status","2012","All"," Juveniles","Black","Custody","267","524","51"
"percentage of defendants by remand status","2012","All"," Juveniles","Black","Not remanded","12","524","2.3"
"percentage of defendants by remand status","2012","All"," Juveniles","Mixed","Bail","93","167","55.7"
"percentage of defendants by remand status","2012","All"," Juveniles","Mixed","Custody","66","167","39.5"
"percentage of defendants by remand status","2012","All"," Juveniles","Mixed","Not remanded","8","167","4.8"
"percentage of defendants by remand status","2012","All"," Juveniles","Other inc Chinese","Bail","31","61","50.8"
"percentage of defendants by remand status","2012","All"," Juveniles","Other inc Chinese","Custody","26","61","42.6"
"percentage of defendants by remand status","2012","All"," Juveniles","Other inc Chinese","Not remanded","4","61","6.6"
"percentage of defendants by remand status","2012","All"," Juveniles","White","Bail","922","1411","65.3"
"percentage of defendants by remand status","2012","All"," Juveniles","White","Custody","442","1411","31.3"
"percentage of defendants by remand status","2012","All"," Juveniles","White","Not remanded","47","1411","3.3"
"percentage of defendants by remand status","2012","All"," Young adults","Asian","Bail","574","1047","54.8"
"percentage of defendants by remand status","2012","All"," Young adults","Asian","Custody","358","1047","34.2"
"percentage of defendants by remand status","2012","All"," Young adults","Asian","Not remanded","115","1047","11"
"percentage of defendants by remand status","2012","All"," Young adults","Black","Bail","745","1803","41.3"
"percentage of defendants by remand status","2012","All"," Young adults","Black","Custody","859","1803","47.6"
"percentage of defendants by remand status","2012","All"," Young adults","Black","Not remanded","199","1803","11"
"percentage of defendants by remand status","2012","All"," Young adults","Mixed","Bail","286","677","42.2"
"percentage of defendants by remand status","2012","All"," Young adults","Mixed","Custody","294","677","43.4"
"percentage of defendants by remand status","2012","All"," Young adults","Mixed","Not remanded","97","677","14.3"
"percentage of defendants by remand status","2012","All"," Young adults","Other inc Chinese","Bail","71","202","35.1"
"percentage of defendants by remand status","2012","All"," Young adults","Other inc Chinese","Custody","111","202","55"
"percentage of defendants by remand status","2012","All"," Young adults","Other inc Chinese","Not remanded","20","202","9.9"
"percentage of defendants by remand status","2012","All"," Young adults","White","Bail","4508","9206","49"
"percentage of defendants by remand status","2012","All"," Young adults","White","Custody","3114","9206","33.8"
"percentage of defendants by remand status","2012","All"," Young adults","White","Not remanded","1584","9206","17.2"
"percentage of defendants by remand status","2013","All"," Adults","Asian","Bail","3175","5838","54.4"
"percentage of defendants by remand status","2013","All"," Adults","Asian","Custody","2045","5838","35"
"percentage of defendants by remand status","2013","All"," Adults","Asian","Not remanded","618","5838","10.6"
"percentage of defendants by remand status","2013","All"," Adults","Black","Bail","3304","7670","43.1"
"percentage of defendants by remand status","2013","All"," Adults","Black","Custody","3472","7670","45.3"
"percentage of defendants by remand status","2013","All"," Adults","Black","Not remanded","894","7670","11.7"
"percentage of defendants by remand status","2013","All"," Adults","Mixed","Bail","934","2197","42.5"
"percentage of defendants by remand status","2013","All"," Adults","Mixed","Custody","940","2197","42.8"
"percentage of defendants by remand status","2013","All"," Adults","Mixed","Not remanded","323","2197","14.7"
"percentage of defendants by remand status","2013","All"," Adults","Other inc Chinese","Bail","608","1489","40.8"
"percentage of defendants by remand status","2013","All"," Adults","Other inc Chinese","Custody","690","1489","46.3"
"percentage of defendants by remand status","2013","All"," Adults","Other inc Chinese","Not remanded","191","1489","12.8"
"percentage of defendants by remand status","2013","All"," Adults","White","Bail","27897","59056","47.2"
