"","Asian","","","Black","","","Mixed","","","White","","","Other","","","Unknown","",""
"North Wales","0.2","0.9","3","0.1","0.2","1","0.6","0.7","8","99.0","97.5","1,411","0.1","0.6","2","N/A","N/A","16"
"North Yorkshire","0.4","1.2","5","0.0","0.5"," -   ","0.9","0.9","12","98.8","96.6","1,357","0.0","0.8"," -   ","N/A","N/A","4"
"Northamptonshire","1.0","3.3","11","1.3","2.4","14","1.3","2.0","14","96.3","91.5","1,101","0.2","0.8","2","N/A","N/A","44"
"Northumbria","0.5","2.7","15","0.2","0.6","5","1.0","0.9","32","98.3","94.6","3,161","0.1","1.3","4","N/A","N/A","72"
"Nottinghamshire","2.1","4.4","39","0.9","2.5","16","1.4","2.8","25","95.4","88.8","1,747","0.2","1.4","3","N/A","N/A","7"
"South Wales","0.6","2.8","16","0.2","1.0","5","1.2","1.4","35","97.8","93.4","2,825","0.2","1.5","7","N/A","N/A","20"
"South Yorkshire","1.9","4.1","47","0.6","1.9","15","1.0","1.5","24","96.4","90.6","2,385","0.1","1.8","3","N/A","N/A","11"
"Staffordshire","0.8","3.2","14","0.5","0.8","8","0.7","1.3","12","98.0","94.1","1,586","0.0","0.7"," -   ","N/A","N/A","6"
"Suffolk","0.1","1.5","1","0.3","0.9","3","2.2","1.7","24","97.3","95.2","1,057","0.1","0.6","1","N/A","N/A","15"
"Surrey","1.2","4.8","20","0.5","1.1","8","1.9","2.1","31","95.8","90.4","1,599","0.6","1.7","11","N/A","N/A","317"
"Sussex","0.2","2.5","6","0.2","0.9","4","1.0","1.9","25","98.1","93.7","2,444","0.5","1.0","13","N/A","N/A","95"
"Thames Valley","1.6","8.5","66","0.7","3.0","28","2.2","2.5","89","95.1","84.6","3,851","0.4","1.4","17","N/A","N/A","45"
"Warwickshire","3.9","4.2","32","0.1","0.8","1","0.7","1.5","6","94.8","92.7","776","0.4","0.9","4","N/A","N/A","17"
"West Mercia","1.0","1.8","20","0.3","0.4","6","1.0","1.1","20","97.5","96.2","1,984","0.3","0.5","6","N/A","N/A","20"
"West Midlands","5.6","18.0","371","1.5","6.0","100","2.0","3.5","134","90.7","70.1","6,044","0.2","2.3","14","N/A","N/A","93"
"West Yorkshire","3.1","12.6","146","0.6","2.1","30","1.3","2.2","63","94.6","81.8","4,458","0.3","1.4","15","N/A","N/A","8"
"Wiltshire","0.4","2.6","4","0.3","0.9","3","0.7","1.4","7","98.5","94.5","966","0.1","0.6","1","N/A","N/A","2"
