"Title","Self-employment"
"Location","UK"
"Time period","2011 to 2016"
"Data source","Department for Business, Energy & Industrial Strategy"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/labourforcesurveylfsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","October 2017"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note",""
"Self-employment in the labour force","2012","Year","Total","ONS defined grouping (consistent with NOMIS)","14.30%"," 29,462,700 "," 4,213,400 ","NA","NA","",""
"Self-employment in the labour force","2012","Year","Unreported","ONS defined grouping (consistent with NOMIS)","?","?","?","NA","NA","Suppressed",""
"Self-employment in the labour force","2012","Year","White","ONS defined grouping (consistent with NOMIS)","14.30%"," 26,403,700 "," 3,773,100 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Black","ONS defined grouping (consistent with NOMIS)","9.90%"," 716,700 "," 70,800 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Indian","ONS defined grouping (consistent with NOMIS)","13.60%"," 750,800 "," 102,000 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Mixed","ONS defined grouping (consistent with NOMIS)","11.20%"," 274,600 "," 30,900 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Other","ONS defined grouping (consistent with NOMIS)","15.00%"," 830,500 "," 124,900 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Pakistani/Bangladeshi","ONS defined grouping (consistent with NOMIS)","20.60%"," 534,100 "," 110,100 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Total","ONS defined grouping (consistent with NOMIS)","14.40%"," 29,879,600 "," 4,299,300 ","NA","NA","",""
"Self-employment in the labour force","2013","Year","Unreported","ONS defined grouping (consistent with NOMIS)","?","?","?","NA","NA","Suppressed",""
"Self-employment in the labour force","2013","Year","White","ONS defined grouping (consistent with NOMIS)","14.40%"," 26,759,200 "," 3,856,800 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Black","ONS defined grouping (consistent with NOMIS)","10.20%"," 762,200 "," 78,000 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Indian","ONS defined grouping (consistent with NOMIS)","12.20%"," 805,400 "," 98,400 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Mixed","ONS defined grouping (consistent with NOMIS)","14.80%"," 295,300 "," 43,600 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Other","ONS defined grouping (consistent with NOMIS)","16.90%"," 881,100 "," 148,600 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Pakistani/Bangladeshi","ONS defined grouping (consistent with NOMIS)","21.00%"," 581,600 "," 122,200 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Total","ONS defined grouping (consistent with NOMIS)","14.80%"," 30,473,600 "," 4,497,700 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","Unreported","ONS defined grouping (consistent with NOMIS)","19.9%"," 34,200 "," 6,800 ","NA","NA","",""
"Self-employment in the labour force","2014","Year","White","ONS defined grouping (consistent with NOMIS)","14.80%"," 27,113,900 "," 4,000,100 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Black","ONS defined grouping (consistent with NOMIS)","10.90%"," 868,800 "," 95,100 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Indian","ONS defined grouping (consistent with NOMIS)","13.70%"," 816,100 "," 111,900 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Mixed","ONS defined grouping (consistent with NOMIS)","11.30%"," 301,800 "," 34,200 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Other","ONS defined grouping (consistent with NOMIS)","15.00%"," 927,200 "," 139,100 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Pakistani/Bangladeshi","ONS defined grouping (consistent with NOMIS)","21.80%"," 592,700 "," 129,000 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Total","ONS defined grouping (consistent with NOMIS)","14.80%"," 31,174,900 "," 4,601,000 ","NA","NA","",""
"Self-employment in the labour force","2015","Year","Unreported","ONS defined grouping (consistent with NOMIS)","?","?","?","NA","NA","Suppressed",""
"Self-employment in the labour force","2015","Year","White","ONS defined grouping (consistent with NOMIS)","14.80%"," 27,634,800 "," 4,085,700 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Black","ONS defined grouping (consistent with NOMIS)","10.70%"," 893,200 "," 95,700 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Indian","ONS defined grouping (consistent with NOMIS)","14.00%"," 844,200 "," 118,100 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Mixed","ONS defined grouping (consistent with NOMIS)","14.60%"," 330,800 "," 48,100 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Other","ONS defined grouping (consistent with NOMIS)","16.50%"," 1,001,300 "," 165,100 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Pakistani/Bangladeshi","ONS defined grouping (consistent with NOMIS)","22.10%"," 637,300 "," 140,700 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Total","ONS defined grouping (consistent with NOMIS)","15.20%"," 31,483,900 "," 4,790,500 ","NA","NA","",""
"Self-employment in the labour force","2016","Year","Unreported","ONS defined grouping (consistent with NOMIS)","?","?","?","NA","NA","Suppressed",""
"Self-employment in the labour force","2016","Year","White","ONS defined grouping (consistent with NOMIS)","15.20%"," 27,754,200 "," 4,220,100 ","NA","NA","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
