"Title","Destinations and earnings of graduates after higher education"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/graduate-outcomes-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-06-28"
"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","activity not captured","10.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","White","LEO","activity not captured","6.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","activity not captured","8.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","activity not captured","7.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","activity not captured","10.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","activity not captured","11.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","activity not captured","6.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Chinese","LEO","activity not captured","22.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Unknown","LEO","activity not captured","12.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","activity not captured","11.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","activity not captured","13.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","activity not captured","10.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","White","LEO","activity not captured","8.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","activity not captured","12.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","activity not captured","11.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","activity not captured","15.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","activity not captured","16.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","activity not captured","9.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Chinese","LEO","activity not captured","28.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Unknown","LEO","activity not captured","15.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","activity not captured","17.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","activity not captured","16.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","activity not captured","15.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","White","LEO","activity not captured","12.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","17.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","19.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","20.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - African","LEO","further study, with or without sustained employment","19.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","13.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Chinese","LEO","further study, with or without sustained employment","23","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Unknown","LEO","further study, with or without sustained employment","15.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other (including mixed)","LEO","further study, with or without sustained employment","19.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Asian Background","LEO","further study, with or without sustained employment","21.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","further study, with or without sustained employment","15.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","White","LEO","further study, with or without sustained employment","19.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","9.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","11.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","11.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","further study, with or without sustained employment","16.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","11.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Chinese","LEO","further study, with or without sustained employment","12.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Unknown","LEO","further study, with or without sustained employment","14","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","further study, with or without sustained employment","14","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","further study, with or without sustained employment","15.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","further study, with or without sustained employment","14.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","White","LEO","further study, with or without sustained employment","13.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","6.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","7.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","8.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","further study, with or without sustained employment","13.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","10.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Chinese","LEO","further study, with or without sustained employment","9.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Unknown","LEO","further study, with or without sustained employment","11.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","further study, with or without sustained employment","11.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","further study, with or without sustained employment","11.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","further study, with or without sustained employment","10.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","White","LEO","further study, with or without sustained employment","10.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","4.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","4.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","5.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","further study, with or without sustained employment","7.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","6.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Chinese","LEO","further study, with or without sustained employment","4.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Unknown","LEO","further study, with or without sustained employment","6.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","further study, with or without sustained employment","6.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","further study, with or without sustained employment","7.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","further study, with or without sustained employment","7.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","White","LEO","further study, with or without sustained employment","5.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Bangladeshi","LEO","no sustained destination","11","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Indian","LEO","no sustained destination","8.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Pakistani","LEO","no sustained destination","12.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - African","LEO","no sustained destination","11.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - Caribbean","LEO","no sustained destination","10.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Chinese","LEO","no sustained destination","9.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Unknown","LEO","no sustained destination","9.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other (including mixed)","LEO","no sustained destination","10.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Asian Background","LEO","no sustained destination","10.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","no sustained destination","13.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","White","LEO","no sustained destination","7.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","no sustained destination","8.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","no sustained destination","6.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","no sustained destination","9.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","no sustained destination","9.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","no sustained destination","8.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Chinese","LEO","no sustained destination","6.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Unknown","LEO","no sustained destination","8","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","no sustained destination","8.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","no sustained destination","8.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","no sustained destination","11.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","White","LEO","no sustained destination","5.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","no sustained destination","7.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","no sustained destination","6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","no sustained destination","9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","no sustained destination","9.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","no sustained destination","8.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Chinese","LEO","no sustained destination","5.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Unknown","LEO","no sustained destination","6.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","no sustained destination","7.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","no sustained destination","6.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","no sustained destination","10.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","White","LEO","no sustained destination","4.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","no sustained destination","6.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","no sustained destination","4.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","no sustained destination","8.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","no sustained destination","9.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","no sustained destination","7.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Chinese","LEO","no sustained destination","4.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Unknown","LEO","no sustained destination","6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","no sustained destination","6.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","no sustained destination","6.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","no sustained destination","9.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","White","LEO","no sustained destination","3.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","84.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Indian","LEO","sustained employment further study or both","86.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","81.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - African","LEO","sustained employment further study or both","82.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - Caribbean","LEO","sustained employment further study or both","86","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Chinese","LEO","sustained employment further study or both","77.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Unknown","LEO","sustained employment further study or both","82.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other (including mixed)","LEO","sustained employment further study or both","82.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Asian Background","LEO","sustained employment further study or both","81.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","sustained employment further study or both","79.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","White","LEO","sustained employment further study or both","87.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","85.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","sustained employment further study or both","87.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","81.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","sustained employment further study or both","81.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","sustained employment further study or both","86.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Chinese","LEO","sustained employment further study or both","74.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Unknown","LEO","sustained employment further study or both","81.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","sustained employment further study or both","82.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","sustained employment further study or both","80.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","sustained employment further study or both","77.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","White","LEO","sustained employment further study or both","87.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","84","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","sustained employment further study or both","86.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","80.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","sustained employment further study or both","79.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","sustained employment further study or both","85.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Chinese","LEO","sustained employment further study or both","71.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Unknown","LEO","sustained employment further study or both","80.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","sustained employment further study or both","80.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","sustained employment further study or both","79.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","sustained employment further study or both","79","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","White","LEO","sustained employment further study or both","86.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","81.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","sustained employment further study or both","84","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","76","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","sustained employment further study or both","74.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","sustained employment further study or both","83.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Chinese","LEO","sustained employment further study or both","67.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Unknown","LEO","sustained employment further study or both","78.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","sustained employment further study or both","76.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","sustained employment further study or both","77","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","sustained employment further study or both","74.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","White","LEO","sustained employment further study or both","83.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Bangladeshi","LEO","sustained employment only","67","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Indian","LEO","sustained employment only","67","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Pakistani","LEO","sustained employment only","60.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - African","LEO","sustained employment only","63.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - Caribbean","LEO","sustained employment only","72.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Chinese","LEO","sustained employment only","54.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Unknown","LEO","sustained employment only","66.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other (including mixed)","LEO","sustained employment only","63.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Asian Background","LEO","sustained employment only","59.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","sustained employment only","63.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","White","LEO","sustained employment only","68.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","sustained employment only","76.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","sustained employment only","75.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","sustained employment only","70.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","sustained employment only","64.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","sustained employment only","74.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Chinese","LEO","sustained employment only","62.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Unknown","LEO","sustained employment only","67.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","sustained employment only","68.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","sustained employment only","65.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","sustained employment only","62.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","White","LEO","sustained employment only","73.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","sustained employment only","77.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","sustained employment only","78.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","sustained employment only","71.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","sustained employment only","65.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","sustained employment only","74.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Chinese","LEO","sustained employment only","62.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Unknown","LEO","sustained employment only","68.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","sustained employment only","69.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","sustained employment only","68.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","sustained employment only","68.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","White","LEO","sustained employment only","75.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","sustained employment only","76.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","sustained employment only","79.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","sustained employment only","70.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","sustained employment only","66.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","sustained employment only","77.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Chinese","LEO","sustained employment only","63.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Unknown","LEO","sustained employment only","72.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","sustained employment only","69.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","sustained employment only","69.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","sustained employment only","67.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","White","LEO","sustained employment only","77.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","79.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Indian","LEO","sustained employment with or without further study","79.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","73.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - African","LEO","sustained employment with or without further study","77.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - Caribbean","LEO","sustained employment with or without further study","82.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Chinese","LEO","sustained employment with or without further study","65.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Unknown","LEO","sustained employment with or without further study","77.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other (including mixed)","LEO","sustained employment with or without further study","75.5","%"
