"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","earnings quartile","value","value_type"
"Earnings of graduates after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","earnings_UQ","23500","£"
"Earnings of graduates after higher education","2015/2016","2013/2014","1","White","LEO","earnings_UQ","24600","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","27300","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","earnings_UQ","34100","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","earnings_UQ","27100","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","earnings_UQ","28100","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","earnings_UQ","26700","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Chinese","LEO","earnings_UQ","34300","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Unknown","LEO","earnings_UQ","30800","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","earnings_UQ","30000","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","earnings_UQ","33700","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","earnings_UQ","26800","£"
"Earnings of graduates after higher education","2015/2016","2011/2012","3","White","LEO","earnings_UQ","29200","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","30600","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","earnings_UQ","39400","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","earnings_UQ","30300","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","earnings_UQ","31700","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","earnings_UQ","30100","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Chinese","LEO","earnings_UQ","40400","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Unknown","LEO","earnings_UQ","34800","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","earnings_UQ","34800","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","earnings_UQ","40200","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","earnings_UQ","29100","£"
"Earnings of graduates after higher education","2015/2016","2009/2010","5","White","LEO","earnings_UQ","33700","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","40900","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","earnings_UQ","49400","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","earnings_UQ","38100","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","earnings_UQ","40100","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","earnings_UQ","37000","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Chinese","LEO","earnings_UQ","47200","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Unknown","LEO","earnings_UQ","39100","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","earnings_UQ","45200","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","earnings_UQ","50100","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","earnings_UQ","38700","£"
"Earnings of graduates after higher education","2015/2016","2004/2005","10","White","LEO","earnings_UQ","42200","£"
