"NS-SEC","Ethnicity","%"
"Small employers and own account workers","Mixed White/Black Caribbean","3"
"Small employers and own account workers","Mixed other","6"
"Small employers and own account workers","White",""
"Small employers and own account workers","White British","5"
"Small employers and own account workers","White Irish","3"
"Small employers and own account workers","White other","8"
"Small employers and own account workers","Other",""
"Small employers and own account workers","Arab","!"
"Small employers and own account workers","Any other","6"
"Lower supervisory and technical","Asian",""
"Lower supervisory and technical","Bangladeshi","2"
"Lower supervisory and technical","Chinese","3"
"Lower supervisory and technical","Indian","3"
"Lower supervisory and technical","Pakistani","2"
"Lower supervisory and technical","Asian other","3"
"Lower supervisory and technical","Black",""
"Lower supervisory and technical","Black African","2"
"Lower supervisory and technical","Black Caribbean","3"
"Lower supervisory and technical","Black other","!"
"Lower supervisory and technical","Mixed",""
"Lower supervisory and technical","Mixed White/Asian","!"
"Lower supervisory and technical","Mixed White/Black African","!"
"Lower supervisory and technical","Mixed White/Black Caribbean","1"
"Lower supervisory and technical","Mixed other","2"
"Lower supervisory and technical","White",""
"Lower supervisory and technical","White British","3"
"Lower supervisory and technical","White Irish","2"
"Lower supervisory and technical","White other","5"
"Lower supervisory and technical","Other",""
"Lower supervisory and technical","Arab","!"
"Lower supervisory and technical","Any other","2"
"Semi-routine occupations","Asian",""
"Semi-routine occupations","Bangladeshi","11"
"Semi-routine occupations","Chinese","8"
"Semi-routine occupations","Indian","10"
"Semi-routine occupations","Pakistani","11"
"Semi-routine occupations","Asian other","14"
"Semi-routine occupations","Black",""
"Semi-routine occupations","Black African","16"
"Semi-routine occupations","Black Caribbean","15"
"Semi-routine occupations","Black other","14"
"Semi-routine occupations","Mixed",""
"Semi-routine occupations","Mixed White/Asian","12"
"Semi-routine occupations","Mixed White/Black African","12"
"Semi-routine occupations","Mixed White/Black Caribbean","16"
"Semi-routine occupations","Mixed other","8"
"Semi-routine occupations","White",""
"Semi-routine occupations","White British","13"
"Semi-routine occupations","White Irish","7"
"Semi-routine occupations","White other","13"
"Semi-routine occupations","Other",""
"Semi-routine occupations","Arab","7"
"Semi-routine occupations","Any other","12"
"Routine occupations","Asian",""
"Routine occupations","Bangladeshi","3"
"Routine occupations","Chinese","3"
"Routine occupations","Indian","4"
"Routine occupations","Pakistani","4"
"Routine occupations","Asian other","7"
"Routine occupations","Black",""
"Routine occupations","Black African","8"
"Routine occupations","Black Caribbean","6"
"Routine occupations","Black other","4"
"Routine occupations","Mixed",""
"Routine occupations","Mixed White/Asian","!"
"Routine occupations","Mixed White/Black African","8"
"Routine occupations","Mixed White/Black Caribbean","6"
"Routine occupations","Mixed other","8"
"Routine occupations","White",""
"Routine occupations","White British","6"
"Routine occupations","White Irish","4"
"Routine occupations","White other","13"
"Routine occupations","Other",""
"Routine occupations","Arab","4"
"Routine occupations","Any other","8"
"Never worked or long-term unemployed","Asian",""
"Never worked or long-term unemployed","Bangladeshi","51"
"Never worked or long-term unemployed","Chinese","47"
"Never worked or long-term unemployed","Indian","31"
"Never worked or long-term unemployed","Pakistani","50"
"Never worked or long-term unemployed","Asian other","35"
"Never worked or long-term unemployed","Black",""
"Never worked or long-term unemployed","Black African","36"
"Never worked or long-term unemployed","Black Caribbean","30"
"Never worked or long-term unemployed","Black other","33"
"Never worked or long-term unemployed","Mixed",""
"Never worked or long-term unemployed","Mixed White/Asian","34"
"Never worked or long-term unemployed","Mixed White/Black African","33"
"Never worked or long-term unemployed","Mixed White/Black Caribbean","30"
"Never worked or long-term unemployed","Mixed other","28"
"Never worked or long-term unemployed","White",""
"Never worked or long-term unemployed","White British","32"
"Never worked or long-term unemployed","White Irish","38"
"Never worked or long-term unemployed","White other","21"
"Never worked or long-term unemployed","Other",""
"Never worked or long-term unemployed","Arab","60"
"Never worked or long-term unemployed","Any other","37"
