"NS-SEC","Ethnicity","%"
"Lower supervisory and technical","Other",""
"Lower supervisory and technical","Arab","6"
"Lower supervisory and technical","Any other","6"
"Semi-routine occupations","Asian",""
"Semi-routine occupations","Bangladeshi","14"
"Semi-routine occupations","Chinese","5"
"Semi-routine occupations","Indian","9"
"Semi-routine occupations","Pakistani","10"
"Semi-routine occupations","Asian other","14"
"Semi-routine occupations","Black",""
"Semi-routine occupations","Black African","13"
"Semi-routine occupations","Black Caribbean","12"
"Semi-routine occupations","Black other","13"
"Semi-routine occupations","Mixed",""
"Semi-routine occupations","Mixed White/Asian","5"
"Semi-routine occupations","Mixed White/Black African","13"
"Semi-routine occupations","Mixed White/Black Caribbean","13"
"Semi-routine occupations","Mixed other","8"
"Semi-routine occupations","White",""
"Semi-routine occupations","White British","8"
"Semi-routine occupations","White Irish","4"
"Semi-routine occupations","White other","10"
"Semi-routine occupations","Other",""
"Semi-routine occupations","Arab","11"
"Semi-routine occupations","Any other","12"
"Routine occupations","Asian",""
"Routine occupations","Bangladeshi","8"
"Routine occupations","Chinese","2"
"Routine occupations","Indian","6"
"Routine occupations","Pakistani","7"
"Routine occupations","Asian other","8"
"Routine occupations","Black",""
"Routine occupations","Black African","10"
"Routine occupations","Black Caribbean","11"
"Routine occupations","Black other","5"
"Routine occupations","Mixed",""
"Routine occupations","Mixed White/Asian","1"
"Routine occupations","Mixed White/Black African","14"
"Routine occupations","Mixed White/Black Caribbean","7"
"Routine occupations","Mixed other","7"
"Routine occupations","White",""
"Routine occupations","White British","9"
"Routine occupations","White Irish","7"
"Routine occupations","White other","18"
"Routine occupations","Other",""
"Routine occupations","Arab","6"
"Routine occupations","Any other","11"
"Never worked or long-term unemployed","Asian",""
"Never worked or long-term unemployed","Bangladeshi","28"
"Never worked or long-term unemployed","Chinese","47"
"Never worked or long-term unemployed","Indian","20"
"Never worked or long-term unemployed","Pakistani","27"
"Never worked or long-term unemployed","Asian other","27"
"Never worked or long-term unemployed","Black",""
"Never worked or long-term unemployed","Black African","33"
"Never worked or long-term unemployed","Black Caribbean","33"
"Never worked or long-term unemployed","Black other","29"
"Never worked or long-term unemployed","Mixed",""
"Never worked or long-term unemployed","Mixed White/Asian","29"
"Never worked or long-term unemployed","Mixed White/Black African","31"
"Never worked or long-term unemployed","Mixed White/Black Caribbean","29"
"Never worked or long-term unemployed","Mixed other","26"
"Never worked or long-term unemployed","White",""
"Never worked or long-term unemployed","White British","25"
"Never worked or long-term unemployed","White Irish","27"
"Never worked or long-term unemployed","White other","16"
"Never worked or long-term unemployed","Other",""
"Never worked or long-term unemployed","Arab","40"
"Never worked or long-term unemployed","Any other","27"
