"Title","Households under-occupying their home"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Tenure","Value","Numerator","Denominator","Sample_size"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","North East","All","36.9","400","1084","2236"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","North West","All","38.1","1041","2732","5036"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","All","39","782","2002","3646"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","East Midlands","All","41.5","710","1711","3179"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","West Midlands","All","42.3","830","1963","3358"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","East","All","41.8","911","2179","3883"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","London","All","32.4","558","1721","2384"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","South East","All","41.5","1329","3204","5605"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","South West","All","43.2","958","2221","3788"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","All","40","7521","18816","33115"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","North East","All","17.7","11","60","114"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","North West","All","21.4","75","351","639"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","All","19.8","50","255","458"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","East Midlands","All","22.1","52","236","434"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","West Midlands","All","23.5","91","385","656"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","East","All","26.8","90","334","591"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","London","All","15.7","260","1654","2425"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","South East","All","23.5","119","507","862"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","South West","All","21.2","36","172","283"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","All","19.8","784","3952","6462"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/88","Three years","White British","White British and Other","England"," 16 - 24","All","All","All","All","12.5","70","562","992"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/89","Three years","White British","White British and Other","England"," 25 - 34","All","All","All","All","19.9","471","2364","4002"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/90","Three years","White British","White British and Other","England"," 35 - 44","All","All","All","All","24.8","708","2855","5022"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/91","Three years","White British","White British and Other","England"," 45 - 54","All","All","All","All","34.9","1305","3742","6425"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/92","Three years","White British","White British and Other","England"," 55 - 64","All","All","All","All","50","1646","3295","5989"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/93","Three years","White British","White British and Other","England"," 65 or over","All","All","All","All","55.4","3321","5998","10685"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England"," All","All","All","All","All","40","7521","18816","33115"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/95","Three years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","All","8.3","17","201","280"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/96","Three years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","All","10.2","96","944","1477"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/97","Three years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","All","15.1","168","1110","1866"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/98","Three years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","All","20.1","162","803","1332"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/99","Three years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","All","32.7","143","436","734"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/100","Three years","Other than White British","White British and Other","England"," 65 or over","All","All","All","All","43.5","199","458","773"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England"," All","All","All","All","All","19.8","784","3952","6462"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","Owner occupiers","52.7","6721","12749","20436"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","Social rented housing","9.7","298","3071","8104"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","Private rented housing","16.8","502","2996","4575"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","Total","40","7521","18816","33115"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","Owner occupiers","37.5","600","1602","2415"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","Social rented housing","5.8","50","852","1974"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","Private rented housing","8.9","134","1498","2073"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","Total","19.8","784","3952","6462"
