"Measure","Domain","decile_label","Ethnicity","Ethnicity_type","Value","Value_type","Numerator","Denominator"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Asian: Pakistani","ONS 2011 18+1","19.08","%","212245","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Asian: Bangladeshi","ONS 2011 18+1","26.65","%","116350","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Asian: Chinese","ONS 2011 18+1","11.80","%","44768","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Asian: Asian Other","ONS 2011 18+1","13.78","%","112954","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Black:  All","ONS 2011 18+1","24.26","%","448018","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Black:  Black African","ONS 2011 18+1","25.10","%","245428","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Black:  Black Caribbean","ONS 2011 18+1","22.69","%","134074","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Black:  Black Other","ONS 2011 18+1","24.66","%","68516","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Mixed: All","ONS 2011 18+1","15.13","%","180424","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","17.80","%","73977","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Mixed: White and Black African","ONS 2011 18+1","17.61","%","28441","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Mixed: White and Asian","ONS 2011 18+1","10.97","%","36492","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Mixed: Other Mixed","ONS 2011 18+1","14.67","%","41514","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Other: All","ONS 2011 18+1","16.53","%","90629","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Other: Arab","ONS 2011 18+1","15.33","%","33874","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Other: Any Other","ONS 2011 18+1","17.33","%","56755","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","All","ONS 2011 18+1","10.11","%","5360155","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","White: All","ONS 2011 18+1","9.28","%","4200059","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","White: British","ONS 2011 18+1","8.98","%","3797344","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","White: Irish","ONS 2011 18+1","11.46","%","59269","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","11.51","%","6316","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","White: White Other","ONS 2011 18+1","13.87","%","337130","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Asian: All","ONS 2011 18+1","15.11","%","625964","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Asian: Indian","ONS 2011 18+1","15.44","%","215502","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Asian: Pakistani","ONS 2011 18+1","14.75","%","164113","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Asian: Bangladeshi","ONS 2011 18+1","16.57","%","72351","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Asian: Chinese","ONS 2011 18+1","13.82","%","52431","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Asian: Asian Other","ONS 2011 18+1","14.84","%","121567","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Black:  All","ONS 2011 18+1","17.84","%","329381","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Black:  Black African","ONS 2011 18+1","18.16","%","177534","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Black:  Black Caribbean","ONS 2011 18+1","17.33","%","102432","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Black:  Black Other","ONS 2011 18+1","17.78","%","49415","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Mixed: All","ONS 2011 18+1","13.16","%","156971","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","13.89","%","57729","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Mixed: White and Black African","ONS 2011 18+1","14.77","%","23857","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Mixed: White and Asian","ONS 2011 18+1","11.19","%","37240","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Mixed: Other Mixed","ONS 2011 18+1","13.48","%","38145","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Other: All","ONS 2011 18+1","15.72","%","86192","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Other: Arab","ONS 2011 18+1","15.69","%","34683","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","Other: Any Other","ONS 2011 18+1","15.73","%","51509","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","20% to 30% most deprived","All","ONS 2011 18+1","10.18","%","5398567","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","White: All","ONS 2011 18+1","9.84","%","4454667","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","White: British","ONS 2011 18+1","9.68","%","4093597","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","White: Irish","ONS 2011 18+1","11.23","%","58062","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","12.32","%","6765","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","White: White Other","ONS 2011 18+1","12.19","%","296243","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Asian: All","ONS 2011 18+1","12.16","%","503914","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Asian: Indian","ONS 2011 18+1","13.24","%","184830","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Asian: Pakistani","ONS 2011 18+1","11.12","%","123731","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Asian: Bangladeshi","ONS 2011 18+1","9.47","%","41342","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Asian: Chinese","ONS 2011 18+1","11.75","%","44601","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Asian: Asian Other","ONS 2011 18+1","13.35","%","109410","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Black:  All","ONS 2011 18+1","12.25","%","226288","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Black:  Black African","ONS 2011 18+1","11.69","%","114271","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Black:  Black Caribbean","ONS 2011 18+1","13.27","%","78434","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Black:  Black Other","ONS 2011 18+1","12.09","%","33583","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Mixed: All","ONS 2011 18+1","11.37","%","135615","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","11.42","%","47452","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Mixed: White and Black African","ONS 2011 18+1","11.84","%","19133","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Mixed: White and Asian","ONS 2011 18+1","10.69","%","35578","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Mixed: Other Mixed","ONS 2011 18+1","11.82","%","33452","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Other: All","ONS 2011 18+1","11.79","%","64662","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Other: Arab","ONS 2011 18+1","11.75","%","25958","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","Other: Any Other","ONS 2011 18+1","11.82","%","38704","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","30% to 40% most deprived","All","ONS 2011 18+1","10.16","%","5385146","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","White: All","ONS 2011 18+1","10.13","%","4587363","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","White: British","ONS 2011 18+1","10.10","%","4272093","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","White: Irish","ONS 2011 18+1","10.64","%","54993","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.82","%","5939","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","White: White Other","ONS 2011 18+1","10.47","%","254338","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Asian: All","ONS 2011 18+1","9.74","%","403566","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Asian: Indian","ONS 2011 18+1","11.64","%","162529","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Asian: Pakistani","ONS 2011 18+1","7.50","%","83469","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Asian: Bangladeshi","ONS 2011 18+1","6.10","%","26608","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Asian: Chinese","ONS 2011 18+1","10.25","%","38907","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Asian: Asian Other","ONS 2011 18+1","11.23","%","92053","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Black:  All","ONS 2011 18+1","8.56","%","158161","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Black:  Black African","ONS 2011 18+1","7.91","%","77356","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Black:  Black Caribbean","ONS 2011 18+1","9.78","%","57806","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Black:  Black Other","ONS 2011 18+1","8.28","%","22999","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Mixed: All","ONS 2011 18+1","9.60","%","114486","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","9.28","%","38576","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Mixed: White and Black African","ONS 2011 18+1","9.39","%","15170","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.73","%","32371","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Mixed: Other Mixed","ONS 2011 18+1","10.02","%","28369","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Other: All","ONS 2011 18+1","9.46","%","51856","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Other: Arab","ONS 2011 18+1","9.27","%","20496","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","Other: Any Other","ONS 2011 18+1","9.58","%","31360","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","40% to 50% most deprived","All","ONS 2011 18+1","10.03","%","5315432","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","White: All","ONS 2011 18+1","10.49","%","4750814","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","White: British","ONS 2011 18+1","10.53","%","4452493","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","White: Irish","ONS 2011 18+1","10.14","%","52427","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.13","%","5560","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","White: White Other","ONS 2011 18+1","9.89","%","240334","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Asian: All","ONS 2011 18+1","7.79","%","322792","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Asian: Indian","ONS 2011 18+1","9.85","%","137443","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Asian: Pakistani","ONS 2011 18+1","4.88","%","54329","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Asian: Bangladeshi","ONS 2011 18+1","4.06","%","17716","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Asian: Chinese","ONS 2011 18+1","8.83","%","33521","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Asian: Asian Other","ONS 2011 18+1","9.74","%","79783","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Black:  All","ONS 2011 18+1","5.80","%","107074","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Black:  Black African","ONS 2011 18+1","5.51","%","53869","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Black:  Black Caribbean","ONS 2011 18+1","6.39","%","37775","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Black:  Black Other","ONS 2011 18+1","5.55","%","15430","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Mixed: All","ONS 2011 18+1","8.47","%","100978","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","7.48","%","31106","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Mixed: White and Black African","ONS 2011 18+1","7.94","%","12824","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.44","%","31392","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Mixed: Other Mixed","ONS 2011 18+1","9.07","%","25656","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Other: All","ONS 2011 18+1","8.28","%","45392","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Other: Arab","ONS 2011 18+1","8.32","%","18391","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","Other: Any Other","ONS 2011 18+1","8.25","%","27001","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","50% to 60% most deprived","All","ONS 2011 18+1","10.05","%","5327050","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","White: All","ONS 2011 18+1","10.62","%","4807803","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","White: British","ONS 2011 18+1","10.74","%","4539464","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","White: Irish","ONS 2011 18+1","9.58","%","49507","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","8.72","%","4787","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","White: White Other","ONS 2011 18+1","8.81","%","214045","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Asian: All","ONS 2011 18+1","6.39","%","264656","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Asian: Indian","ONS 2011 18+1","8.14","%","113619","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Asian: Pakistani","ONS 2011 18+1","3.68","%","40956","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Asian: Bangladeshi","ONS 2011 18+1","3.00","%","13108","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Asian: Chinese","ONS 2011 18+1","8.96","%","34018","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Asian: Asian Other","ONS 2011 18+1","7.68","%","62955","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Black:  All","ONS 2011 18+1","4.07","%","75180","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Black:  Black African","ONS 2011 18+1","4.01","%","39175","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Black:  Black Caribbean","ONS 2011 18+1","4.36","%","25746","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Black:  Black Other","ONS 2011 18+1","3.69","%","10259","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Mixed: All","ONS 2011 18+1","7.52","%","89687","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","6.30","%","26168","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Mixed: White and Black African","ONS 2011 18+1","6.56","%","10600","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.14","%","30401","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Mixed: Other Mixed","ONS 2011 18+1","7.96","%","22518","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Other: All","ONS 2011 18+1","6.75","%","37016","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Other: Arab","ONS 2011 18+1","6.66","%","14710","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","Other: Any Other","ONS 2011 18+1","6.81","%","22306","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","60% to 70% most deprived","All","ONS 2011 18+1","9.95","%","5274342","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","White: All","ONS 2011 18+1","10.71","%","4849727","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","White: British","ONS 2011 18+1","10.89","%","4604643","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","White: Irish","ONS 2011 18+1","9.28","%","47952","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","7.86","%","4313","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","White: White Other","ONS 2011 18+1","7.93","%","192819","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Asian: All","ONS 2011 18+1","5.69","%","235596","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Asian: Indian","ONS 2011 18+1","7.26","%","101308","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Asian: Pakistani","ONS 2011 18+1","3.22","%","35869","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Asian: Bangladeshi","ONS 2011 18+1","2.49","%","10868","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Asian: Chinese","ONS 2011 18+1","8.26","%","31330","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Asian: Asian Other","ONS 2011 18+1","6.86","%","56221","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Black:  All","ONS 2011 18+1","3.14","%","57981","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Black:  Black African","ONS 2011 18+1","3.13","%","30624","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Black:  Black Caribbean","ONS 2011 18+1","3.32","%","19627","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Black:  Black Other","ONS 2011 18+1","2.78","%","7730","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Mixed: All","ONS 2011 18+1","7.18","%","85698","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","5.78","%","24021","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","70% to 80% most deprived","Mixed: White and Black African","ONS 2011 18+1","6.09","%","9843","161550"
