"Title","Grammar, punctuation and spelling attainment by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","% Higher standard","Average scaled score"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","DFE","Girls","All/Boys/Girls","77","%","25","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","Girls","All/Boys/Girls","77","%","25","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","Girls","All/Boys/Girls","83","%","36","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","40","%","7","99"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","26","%","3","96"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","Girls","All/Boys/Girls","71","%","25","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","Girls","All/Boys/Girls","80","%","30","106"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","75","%","22","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","Girls","All/Boys/Girls","79","%","29","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","Girls","All/Boys/Girls","85","%","37","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","Girls","All/Boys/Girls","82","%","32","106"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","Girls","All/Boys/Girls","83","%","35","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","Girls","All/Boys/Girls","89","%","45","108"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","Girls","All/Boys/Girls","78","%","27","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","85","%","36","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","Girls","All/Boys/Girls","85","%","41","107"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","Girls","All/Boys/Girls","80","%","28","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","Girls","All/Boys/Girls","74","%","19","104"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","Girls","All/Boys/Girls","83","%","31","106"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","Girls","All/Boys/Girls","77","%","25","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","Girls","All/Boys/Girls","90","%","50","109"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other","DFE","Girls","All/Boys/Girls","77","%","28","105"
"% of pupils reaching the expected standard in grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","DFE","Girls","All/Boys/Girls","65","%","21","104"
