"Title","Regional ethnic diversity"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-20"
"Measure","local authority: county / unitary (prior to April 2015)","Ethnicity","Value","Value_type","Ethnicity_type","Source","Time","Geography"
"Ethnicity of local authorities","Coventry","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Thames","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Reading","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Oldham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","City of London","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Sutton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Walsall","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Kirklees","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Milton Keynes","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Derby","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bedford","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Rochdale","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bexley","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bolton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Peterborough","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Sheffield","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bristol, City of","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bromley","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Cardiff","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Leeds","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Newcastle upon Tyne","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Trafford","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Southampton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Thurrock","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Richmond upon Thames","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Windsor and Maidenhead","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Buckinghamshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hertfordshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Havering","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Middlesbrough","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Portsmouth","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wokingham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Stoke-on-Trent","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Liverpool","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Brighton and Hove","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Solihull","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bury","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Medway","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Calderdale","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Swindon","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Newport","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Dudley","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Salford","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Surrey","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bracknell Forest","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Oxfordshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Tameside","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicestershire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Northamptonshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Southend-on-Sea","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bournemouth","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Stockport","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Lancashire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Cambridgeshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Telford and Wrekin","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Warwickshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Rotherham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Kent","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Central Bedfordshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","West Sussex","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Swansea","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Hull, City of","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Essex","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","York","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bath and North East Somerset","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Stockton-on-Tees","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","West Berkshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hampshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","South Gloucestershire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Suffolk","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Doncaster","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Gloucestershire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wakefield","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Nottinghamshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Staffordshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Worcestershire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Poole","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","South Tyneside","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Sunderland","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Warrington","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","East Sussex","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","North Lincolnshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Plymouth","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Darlington","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Gateshead","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","The Vale of Glamorgan","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Gwynedd","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Norfolk","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","North Tyneside","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wiltshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Blackpool","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Ceredigion","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Cheshire East","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wrexham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wirral","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Rutland","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Knowsley","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Isle of Wight","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","North Somerset","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","North Yorkshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wigan","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Cheshire West and Chester","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Denbighshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","North East Lincolnshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Rhondda, Cynon, Taff","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Sefton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Derbyshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Devon","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Torbay","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Lincolnshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Merthyr Tydfil","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Conwy","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hartlepool","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bridgend","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Halton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Barnsley","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Dorset","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Monmouthshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Shropshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Somerset","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","St. Helens","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Torfaen","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Carmarthenshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","East Riding of Yorkshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Neath Port Talbot","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Pembrokeshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Anglesey","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Cornwall","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","County Durham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Herefordshire, County of","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Caerphilly","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Northumberland","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Powys","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Blaenau Gwent","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Cumbria","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Flintshire","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Redcar and Cleveland","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Isles of Scilly","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Newham","White","29","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Brent","White","36.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Harrow","White","42.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Redbridge","White","42.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Tower Hamlets","White","45.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Slough","White","45.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Ealing","White","49","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicester","White","50.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hounslow","White","51.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Waltham Forest","White","52.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lewisham","White","53.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southwark","White","54.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hackney","White","54.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Luton","White","54.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Croydon","White","55.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lambeth","White","57.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Birmingham","White","57.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Barking and Dagenham","White","58.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Haringey","White","60.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hillingdon","White","60.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Enfield","White","61","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Westminster","White","61.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Greenwich","White","62.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Barnet","White","64.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Merton","White","64.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Camden","White","66.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Manchester","White","66.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bradford","White","67.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wolverhampton","White","68","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hammersmith and Fulham","White","68.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Islington","White","68.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Blackburn with Darwen","White","69.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sandwell","White","69.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kensington and Chelsea","White","70.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wandsworth","White","71.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Nottingham","White","71.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Coventry","White","73.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Thames","White","74.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Reading","White","74.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Oldham","White","77.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","City of London","White","78.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sutton","White","78.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Walsall","White","78.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kirklees","White","79.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Milton Keynes","White","80","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Derby","White","80.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bedford","White","80.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rochdale","White","81.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bexley","White","81.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bolton","White","81.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Peterborough","White","82.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sheffield","White","83.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bristol, City of","White","84","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bromley","White","84.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cardiff","White","84.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leeds","White","85.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Newcastle upon Tyne","White","85.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Trafford","White","85.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southampton","White","85.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Thurrock","White","85.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Richmond upon Thames","White","86","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Windsor and Maidenhead","White","86.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Buckinghamshire","White","86.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hertfordshire","White","87.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Havering","White","87.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Middlesbrough","White","88.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Portsmouth","White","88.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wokingham","White","88.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Stoke-on-Trent","White","88.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Liverpool","White","88.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Brighton and Hove","White","89.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Solihull","White","89.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bury","White","89.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Medway","White","89.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Calderdale","White","89.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Swindon","White","89.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Newport","White","89.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Dudley","White","90","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Salford","White","90.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Surrey","White","90.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bracknell Forest","White","90.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Oxfordshire","White","90.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Tameside","White","90.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicestershire","White","91.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Northamptonshire","White","91.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southend-on-Sea","White","91.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bournemouth","White","92","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Stockport","White","92.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lancashire","White","92.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cambridgeshire","White","92.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Telford and Wrekin","White","92.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Warwickshire","White","92.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rotherham","White","93.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kent","White","93.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Central Bedfordshire","White","93.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","West Sussex","White","93.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Swansea","White","94","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Hull, City of","White","94.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Essex","White","94.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","York","White","94.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
