"Title","Ethnic groups by type of location (urban or rural)"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17/12/2012"

"Region","Ethnicity","% urban"
"Yorkshire and The Humber","Black Caribbean","97.0"
"Yorkshire and The Humber","Black other","95.8"
"Yorkshire and The Humber","Mixed","91.9"
"Yorkshire and The Humber","Mixed White/Asian","91.1"
"Yorkshire and The Humber","Mixed White/Black African","91.8"
"Yorkshire and The Humber","Mixed White/Black Caribbean","93.3"
"Yorkshire and The Humber","Mixed other","90.4"
"Yorkshire and The Humber","White","80.7"
"Yorkshire and The Humber","White British","80.4"
"Yorkshire and The Humber","White Irish","87.2"
"Yorkshire and The Humber","White Gypsy/Traveller","82.8"
"Yorkshire and The Humber","White other","90.6"
"Yorkshire and The Humber","Other","96.6"
"Yorkshire and The Humber","Arab","97.5"
"Yorkshire and The Humber","Any other","95.6"
"East Midlands","All","73.3"
"East Midlands","Asian","96.0"
"East Midlands","Bangladeshi","97.2"
"East Midlands","Chinese","92.0"
"East Midlands","Indian","96.6"
"East Midlands","Pakistani","97.6"
"East Midlands","Asian other","93.4"
"East Midlands","Black","95.2"
"East Midlands","Black African","96.1"
"East Midlands","Black Caribbean","94.1"
"East Midlands","Black other","94.6"
"East Midlands","Mixed","87.5"
"East Midlands","Mixed White/Asian","83.8"
"East Midlands","Mixed White/Black African","88.1"
"East Midlands","Mixed White/Black Caribbean","90.1"
"East Midlands","Mixed other","85.7"
"East Midlands","White","70.8"
"East Midlands","White British","70.1"
"East Midlands","White Irish","80.4"
"East Midlands","White Gypsy/Traveller","74.8"
"East Midlands","White other","86.8"
"East Midlands","Other","94.4"
"East Midlands","Arab","95.9"
"East Midlands","Any other","93.5"
"West Midlands","All","84.9"
"West Midlands","Asian","98.4"
"West Midlands","Bangladeshi","99.3"
"West Midlands","Chinese","93.6"
"West Midlands","Indian","98.2"
"West Midlands","Pakistani","99.5"
"West Midlands","Asian other","96.9"
"West Midlands","Black","98.6"
"West Midlands","Black African","98.4"
"West Midlands","Black Caribbean","98.6"
"West Midlands","Black other","98.8"
"West Midlands","Mixed","94.6"
"West Midlands","Mixed White/Asian","92.7"
"West Midlands","Mixed White/Black African","94.0"
"West Midlands","Mixed White/Black Caribbean","95.9"
"West Midlands","Mixed other","93.5"
"West Midlands","White","82.2"
"West Midlands","White British","81.8"
"West Midlands","White Irish","91.7"
"West Midlands","White Gypsy/Traveller","72.3"
"West Midlands","White other","90.2"
"West Midlands","Other","97.7"
"West Midlands","Arab","98.0"
"West Midlands","Any other","97.5"
"East","All","71.1"
"East","Asian","92.2"
"East","Bangladeshi","96.1"
"East","Chinese","86.2"
"East","Indian","91.0"
"East","Pakistani","97.9"
"East","Asian other","88.8"
"East","Black","91.3"
"East","Black African","92.7"
"East","Black Caribbean","90.5"
"East","Black other","86.4"
"East","Mixed","82.5"
"East","Mixed White/Asian","80.0"
"East","Mixed White/Black African","84.4"
"East","Mixed White/Black Caribbean","84.9"
"East","Mixed other","81.3"
"East","White","69.2"
"East","White British","68.4"
"East","White Irish","80.9"
"East","White Gypsy/Traveller","69.8"
"East","White other","82.8"
"East","Other","86.4"
"East","Arab","88.9"
"East","Any other","85.0"
"London","All","99.8"
"London","Asian","99.9"
"London","Bangladeshi","100.0"
"London","Chinese","99.9"
"London","Indian","99.9"
"London","Pakistani","100.0"
"London","Asian other","99.9"
"London","Black","100.0"
"London","Black African","100.0"
"London","Black Caribbean","100.0"
"London","Black other","100.0"
"London","Mixed","99.9"
"London","Mixed White/Asian","99.9"
"London","Mixed White/Black African","99.9"
"London","Mixed White/Black Caribbean","99.9"
"London","Mixed other","99.9"
"London","White","99.7"
"London","White British","99.7"
"London","White Irish","99.8"
"London","White Gypsy/Traveller","99.5"
"London","White other","99.9"
"London","Other","99.9"
"London","Arab","100.0"
"London","Any other","99.9"
"South East","All","79.6"
"South East","Asian","93.7"
"South East","Bangladeshi","94.7"
"South East","Chinese","90.4"
"South East","Indian","93.4"
"South East","Pakistani","97.3"
"South East","Asian other","92.2"
"South East","Black","93.6"
"South East","Black African","94.6"
"South East","Black Caribbean","91.9"
"South East","Black other","92.1"
"South East","Mixed","87.4"
"South East","Mixed White/Asian","85.8"
"South East","Mixed White/Black African","89.8"
"South East","Mixed White/Black Caribbean","88.4"
"South East","Mixed other","87.4"
"South East","White","78.3"
"South East","White British","77.9"
"South East","White Irish","83.3"
"South East","White Gypsy/Traveller","66.7"
"South East","White other","86.9"
"South East","Other","92.1"
"South East","Arab","92.8"
"South East","Any other","91.8"
"South West","All","68.4"
"South West","Asian","89.4"
"South West","Bangladeshi","91.6"
"South West","Chinese","87.5"
"South West","Indian","92.9"
"South West","Pakistani","95.9"
"South West","Asian other","83.3"
"South West","Black","91.7"
"South West","Black African","91.6"
"South West","Black Caribbean","91.0"
"South West","Black other","92.7"
"South West","Mixed","82.1"
"South West","Mixed White/Asian","78.4"
"South West","Mixed White/Black African","82.7"
"South West","Mixed White/Black Caribbean","85.3"
"South West","Mixed other","81.5"
"South West","White","67.5"
"South West","White British","67.0"
"South West","White Irish","74.6"
"South West","White Gypsy/Traveller","62.1"
"South West","White other","80.6"
"South West","Other","87.0"
"South West","Arab","91.5"
"South West","Any other","84.5"
"Wales","All","67.2"
"Wales","Asian","90.0"
"Wales","Bangladeshi","95.5"
"Wales","Chinese","88.1"
"Wales","Indian","89.5"
"Wales","Pakistani","95.3"
"Wales","Asian other","84.4"
"Wales","Black","91.2"
"Wales","Black African","93.3"
"Wales","Black Caribbean","84.0"
"Wales","Black other","92.4"
"Wales","Mixed","80.4"
"Wales","Mixed White/Asian","77.2"
"Wales","Mixed White/Black African","83.9"
"Wales","Mixed White/Black Caribbean","81.8"
"Wales","Mixed other","80.3"
"Wales","White","66.2"
"Wales","White British","66.0"
"Wales","White Irish","69.5"
"Wales","White Gypsy/Traveller","60.4"
"Wales","White other","77.6"
"Wales","Other","89.4"
"Wales","Arab","91.6"
"Wales","Any other","85.6"
