"Title","Destinations of school pupils after key stage 4 (usually aged 16 years)"
"Location","England"
"Time period","2010/11 to 2014/15"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-destinations"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Destination","Value","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","87","1,485","1,295"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Asian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","90","3,290","2,975"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other mixed background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","5,725","5,090"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Indian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","95","11,965","11,395"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Pakistani","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","90","14,760","13,280"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Bangladeshi","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","92","5,975","5,480"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","94","4,245","3,980"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","7,525","6,695"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black - African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","92","10,135","9,365"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Black background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","2,330","2,075"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","96","1,700","1,640"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","91","4,665","4,240"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","All","All","E92000001","ONS geography code","All","All","Education, employment or training","89","568,410","504,535"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","All","All","E92000001","ONS geography code","All","All","Education","86","568,410","487,605"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","All","All","E92000001","ONS geography code","All","All","Employment","3","568,410","16,925"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","All","All","E92000001","ONS geography code","All","All","No sustained education/employment","9","568,410","52,020"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","All","All","E92000001","ONS geography code","All","All","Unknown","2","568,410","11,860"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","93","4,245","3,960"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","4,245","20"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","4","4,245","165"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","4,245","100"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Black background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","88","2,330","2,050"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Black background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","2,330","25"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Black background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","9","2,330","200"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other Black background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","2,330","55"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","90","4,665","4,210"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","4,665","30"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","6","4,665","280"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","3","4,665","145"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other mixed background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","87","5,725","4,995"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other mixed background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","2","5,725","95"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other mixed background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","9","5,725","505"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other mixed background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","5,725","130"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other White background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","88","11,600","10,200"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other White background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","2","11,600","225"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other White background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","8","11,600","905"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other White background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","11,600","270"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Asian","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","91","36,945","33,775"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Asian","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","1","36,945","365"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Asian","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","5","36,945","2,010"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Asian","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","2","36,945","800"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Bangladeshi","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","91","5,975","5,415"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Bangladeshi","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","5,975","65"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Bangladeshi","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","7","5,975","390"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Bangladeshi","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","5,975","105"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","90","19,990","17,985"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","1","19,990","150"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","7","19,990","1,375"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","2","19,990","480"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black - African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","92","10,135","9,330"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black - African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","0","10,135","35"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black - African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","5","10,135","470"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black - African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","3","10,135","300"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","88","7,525","6,605"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","7,525","90"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","9","7,525","710"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","7,525","125"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","96","1,700","1,630"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","0","1,700","10"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","2","1,700","25"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","2","1,700","35"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","59","390","235"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","8","390","30"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","24","390","95"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","9","390","35"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Indian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","95","11,965","11,320"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Indian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","11,965","75"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Indian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","3","11,965","360"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Indian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","11,965","210"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","86","16,690","14,335"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","2","16,690","340"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","10","16,690","1,665"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","2","16,690","355"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other ","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","92","6,365","5,840"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other ","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","1","6,365","35"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other ","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","5","6,365","305"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Other ","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","3","6,365","180"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Pakistani","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","89","14,760","13,080"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Pakistani","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","1","14,760","200"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Pakistani","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","7","14,760","1,095"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Pakistani","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","3","14,760","385"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","50","115","60"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","9","115","10"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","24","115","30"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","17","115","20"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Unclassified","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","84","32,365","27,260"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Unclassified","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","2","32,365","640"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Unclassified","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","9","32,365","2,795"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Unclassified","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","5","32,365","1,670"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education","85","456,050","388,415"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Employment","3","456,050","15,395"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","No sustained education/employment","10","456,050","43,865"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Unknown","2","456,050","8,370"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - British","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","85","442,055","376,285"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - British","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","3","442,055","15,090"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - British","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","10","442,055","42,675"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - British","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","442,055","8,005"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - Irish","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","87","1,885","1,640"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - Irish","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","2","1,885","40"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - Irish","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","9","1,885","165"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - Irish","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","1,885","40"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Asian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","89","3,290","2,915"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Asian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","2","3,290","55"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Asian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","8","3,290","250"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Asian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","3,290","70"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","85","1,485","1,265"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","2","1,485","25"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","10","1,485","150"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","3","1,485","45"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","83","6,190","5,155"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Employment","3","6,190","160"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","No sustained education/employment","12","6,190","765"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Unknown","2","6,190","105"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","White","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","89","456,285","404,240"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","88","18,480","16,295"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Asian","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","92","42,785","39,430"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Black","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","91","25,105","22,900"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Unclassified","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","87","5,650","4,935"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","White - British","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","436,220","386,665"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","White - Irish","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","1,915","1,700"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","50","130","65"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","60","570","340"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Any other White background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","17,455","15,465"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","86","6,320","5,415"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","White and Black African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","88","1,770","1,565"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","White and Asian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","90","3,730","3,370"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Any other mixed background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","6,665","5,950"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Indian","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","95","12,870","12,285"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Pakistani","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","90","16,160","14,530"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Bangladeshi","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","91","6,915","6,285"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","93","6,840","6,330"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","7,915","7,055"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Black - African","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","92","14,330","13,240"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Any other Black background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","91","2,865","2,610"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","97","2,290","2,210"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Other","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","90","6,760","6,055"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","All","All","E92000001","ONS geography code","All","All","Education, employment or training","89","557,365","496,065"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","All","All","E92000001","ONS geography code","All","All","Education","86","557,365","480,400"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","All","All","E92000001","ONS geography code","All","All","Employment","3","557,365","15,665"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","All","All","E92000001","ONS geography code","All","All","No sustained education/employment","9","557,365","49,575"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","All","All","E92000001","ONS geography code","All","All","Unknown","2","557,365","11,725"
"Pupil destination after key stage 4 study (Percentage %)","2011/12","Academic year","Any other Asian background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education","92","6,840","6,295"
