"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","36,945","365"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","5","% of cohort","36,945","2,010"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","36,945","800"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","91","% of cohort","5,975","5,415"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","5,975","65"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","5,975","390"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","5,975","105"
"Pupil destination after key stage 4 study (Percentage %)","Black","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","90","% of cohort","19,990","17,985"
"Pupil destination after key stage 4 study (Percentage %)","Black","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","19,990","150"
"Pupil destination after key stage 4 study (Percentage %)","Black","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","19,990","1,375"
"Pupil destination after key stage 4 study (Percentage %)","Black","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","19,990","480"
"Pupil destination after key stage 4 study (Percentage %)","Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","92","% of cohort","10,135","9,330"
"Pupil destination after key stage 4 study (Percentage %)","Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","10,135","35"
"Pupil destination after key stage 4 study (Percentage %)","Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","5","% of cohort","10,135","470"
"Pupil destination after key stage 4 study (Percentage %)","Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","10,135","300"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","88","% of cohort","7,525","6,605"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","7,525","90"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","7,525","710"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","7,525","125"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","96","% of cohort","1,700","1,630"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","1,700","10"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","2","% of cohort","1,700","25"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1,700","35"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","59","% of cohort","390","235"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","8","% of cohort","390","30"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","24","% of cohort","390","95"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","9","% of cohort","390","35"
"Pupil destination after key stage 4 study (Percentage %)","Indian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","95","% of cohort","11,965","11,320"
"Pupil destination after key stage 4 study (Percentage %)","Indian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","11,965","75"
"Pupil destination after key stage 4 study (Percentage %)","Indian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","3","% of cohort","11,965","360"
"Pupil destination after key stage 4 study (Percentage %)","Indian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","11,965","210"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","16,690","14,335"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","16,690","340"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","16,690","1,665"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","16,690","355"
"Pupil destination after key stage 4 study (Percentage %)","Other ","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","92","% of cohort","6,365","5,840"
"Pupil destination after key stage 4 study (Percentage %)","Other ","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","6,365","35"
"Pupil destination after key stage 4 study (Percentage %)","Other ","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","5","% of cohort","6,365","305"
"Pupil destination after key stage 4 study (Percentage %)","Other ","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","6,365","180"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","89","% of cohort","14,760","13,080"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","14,760","200"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","14,760","1,095"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","14,760","385"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","50","% of cohort","115","60"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","9","% of cohort","115","10"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","24","% of cohort","115","30"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","17","% of cohort","115","20"
"Pupil destination after key stage 4 study (Percentage %)","Unknown","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","84","% of cohort","32,365","27,260"
"Pupil destination after key stage 4 study (Percentage %)","Unknown","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","32,365","640"
"Pupil destination after key stage 4 study (Percentage %)","Unknown","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","32,365","2,795"
"Pupil destination after key stage 4 study (Percentage %)","Unknown","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","5","% of cohort","32,365","1,670"
"Pupil destination after key stage 4 study (Percentage %)","White","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","85","% of cohort","456,050","388,415"
"Pupil destination after key stage 4 study (Percentage %)","White","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","456,050","15,395"
"Pupil destination after key stage 4 study (Percentage %)","White","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","456,050","43,865"
"Pupil destination after key stage 4 study (Percentage %)","White","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","456,050","8,370"
"Pupil destination after key stage 4 study (Percentage %)","White British","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","85","% of cohort","442,055","376,285"
"Pupil destination after key stage 4 study (Percentage %)","White British","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","442,055","15,090"
"Pupil destination after key stage 4 study (Percentage %)","White British","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","442,055","42,675"
"Pupil destination after key stage 4 study (Percentage %)","White British","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","442,055","8,005"
"Pupil destination after key stage 4 study (Percentage %)","White Irish","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","1,885","1,640"
"Pupil destination after key stage 4 study (Percentage %)","White Irish","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","1,885","40"
"Pupil destination after key stage 4 study (Percentage %)","White Irish","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","1,885","165"
"Pupil destination after key stage 4 study (Percentage %)","White Irish","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1,885","40"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","89","% of cohort","3,290","2,915"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","3,290","55"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","3,290","250"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","3,290","70"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","85","% of cohort","1,485","1,265"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","1,485","25"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","1,485","150"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","1,485","45"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","83","% of cohort","6,190","5,155"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","6,190","160"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","12","% of cohort","6,190","765"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","6,190","105"
"Pupil destination after key stage 4 study (Percentage %)","White","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","456,285","404,240"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","88","% of cohort","18,480","16,295"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","92","% of cohort","42,785","39,430"
"Pupil destination after key stage 4 study (Percentage %)","Black","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","91","% of cohort","25,105","22,900"
"Pupil destination after key stage 4 study (Percentage %)","Unknown","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","87","% of cohort","5,650","4,935"
"Pupil destination after key stage 4 study (Percentage %)","White British","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","436,220","386,665"
"Pupil destination after key stage 4 study (Percentage %)","White Irish","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","1,915","1,700"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","50","% of cohort","130","65"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","60","% of cohort","570","340"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","17,455","15,465"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","86","% of cohort","6,320","5,415"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","88","% of cohort","1,770","1,565"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","90","% of cohort","3,730","3,370"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","6,665","5,950"
"Pupil destination after key stage 4 study (Percentage %)","Indian","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","95","% of cohort","12,870","12,285"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","90","% of cohort","16,160","14,530"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","91","% of cohort","6,915","6,285"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","93","% of cohort","6,840","6,330"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","7,915","7,055"
"Pupil destination after key stage 4 study (Percentage %)","Black African","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","92","% of cohort","14,330","13,240"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","91","% of cohort","2,865","2,610"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","97","% of cohort","2,290","2,210"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","90","% of cohort","6,760","6,055"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","557,365","496,065"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","557,365","480,400"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","557,365","15,665"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","557,365","49,575"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","557,365","11,725"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","92","% of cohort","6,840","6,295"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","6,840","35"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","4","% of cohort","6,840","280"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","6,840","230"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","90","% of cohort","2,865","2,590"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","2,865","15"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","6","% of cohort","2,865","180"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","2,865","75"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","89","% of cohort","6,760","6,020"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","6,760","35"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","6","% of cohort","6,760","405"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","6,760","300"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","88","% of cohort","6,665","5,850"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","6,665","100"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","6,665","525"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","6,665","190"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","17,455","15,260"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","17,455","205"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","17,455","1,205"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","17,455","785"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Education","91","% of cohort","42,785","39,025"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2011/12","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","42,785","405"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","5","% of cohort","42,785","2,170"
