"Title","Time spent living in current home"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Title","Time spent living in current home","","","","","","","","","","",""
"Location","England","","","","","","","","","","",""
"Time period","2015/16 and 2016/17 (combined)","","","","","","","","","","",""
"Data sources","Ministry of Housing, Communities and Local Government (MHCLG)","","","","","","","","","","",""
"Data source link","https://www.gov.uk/government/collections/english-housing-survey","","","","","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk","","","","","","","","","","",""
"Last updated","12/07/2018","","","","","","","","","","",""
"Measure","Time","Time_type","Geography","Ethnicity","Ethnicity_type","Age_group","NS-SEC","Income_band","Region","Tenure","Value","Sample_size"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£1000 and above","All","All","11.5","5696"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","North East","All","15.8","1470"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","North West","All","15.7","3381"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","Yorkshire and the Humber","All","14.8","2431"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","East Midlands","All","14.6","2091"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","West Midlands","All","16.7","2265"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","East","All","15","2575"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","London","All","15.8","1581"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","South East","All","14","3729"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","South West","All","14.2","2474"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","North East","All","8.9","77"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","North West","All","8.7","430"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","Yorkshire and the Humber","All","8.8","339"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","East Midlands","All","8","305"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","West Midlands","All","9.4","444"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","East","All","7.8","389"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","London","All","8.7","1646"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","South East","All","7.3","593"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","South West","All","6.1","196"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","North East","All","15.4","1547"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","North West","All","14.9","3811"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","Yorkshire and the Humber","All","14.1","2770"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","East Midlands","All","13.7","2396"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","West Midlands","All","15.5","2709"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","East","All","14.1","2964"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","London","All","12.3","3227"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","South East","All","13.1","4322"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","South West","All","13.5","2670"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","All","Owner occupiers","18.2","13444"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","All","Social rented housing","12.2","5465"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","All","Private rented housing","4.8","3088"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","All","Owner occupiers","13.5","1598"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","All","Social rented housing","8.8","1346"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","All","All","Private rented housing","2.9","1475"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","All","Owner occupiers","17.7","15042"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","All","Social rented housing","11.4","6811"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","All","All","Private rented housing","4.1","4563"
