"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","76,709","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","76,709","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","64","73,459","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","63","73,459","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","15","73,459","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","20","73,459","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","59","73,459","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","22","73,459","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","6","73,459","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","14","73,459","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","4","73,459","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","13","73,459","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","6","73,459","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","16","73,459","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","4","73,459","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","1","73,459","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","28","73,459","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","73,459","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","73,459","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","73,459","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","73,459","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","1","73,459","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","7","73,459","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","7","73,459","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","0","73,459","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","0","73,459","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","1","73,459","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","73,459","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","48","3,250","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","46","3,250","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","15","3,250","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","17","3,250","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","42","3,250","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","22","3,250","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","8","3,250","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","3,250","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","3,250","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","12","3,250","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","4","3,250","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","3,250","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","2","3,250","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","3,250","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","14","3,250","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","3,250","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","3,250","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","3,250","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","2","3,250","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","3,250","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","4","3,250","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","3,250","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","0","3,250","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","0","3,250","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","3,250","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","3,250","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","49","714","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","48","714","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","21","714","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","26","714","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","40","714","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","27","714","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","8","714","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","20","714","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","6","714","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","17","714","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","2","714","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","17","714","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","7","714","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","714","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","5","714","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","714","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","2","714","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","714","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","714","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","714","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","3","714","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","3","714","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","0","714","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","0","714","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","0","714","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","714","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","49","3,652","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","48","3,652","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","19","3,652","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","19","3,652","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","43","3,652","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","28","3,652","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","10","3,652","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","18","3,652","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,652","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","9","3,652","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,652","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","14","3,652","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,652","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","1","3,652","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","9","3,652","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","-","3,652","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","2","3,652","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","-","3,652","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","1","3,652","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","1","3,652","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","5","3,652","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,652","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","0","3,652","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","0","3,652","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","-","3,652","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","0","3,652","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","48","1,548","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","47","1,548","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","14","1,548","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","13","1,548","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","42","1,548","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","25","1,548","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","6","1,548","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","13","1,548","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","2","1,548","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","6","1,548","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","3","1,548","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","8","1,548","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","4","1,548","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","1","1,548","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","11","1,548","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","-","1,548","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","3","1,548","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","-","1,548","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","1","1,548","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","1","1,548","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","5","1,548","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","4","1,548","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","0","1,548","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","0","1,548","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","-","1,548","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","0","1,548","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","56","915","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","54","915","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","30","915","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","26","915","","","",""
