"Geography_name","Ethnicity","%"
"London","Mixed other","1.8"
"London","White","47.8"
"London","White British","38.7"
"London","White Irish","1.6"
"London","White Gypsy/Traveller","0.1"
"London","White other","7.4"
"London","Other","4.0"
"London","Arab","1.1"
"London","Any other","2.9"
"South East","Asian","3.4"
"South East","Bangladeshi","0.4"
"South East","Chinese","0.1"
"South East","Indian","0.5"
"South East","Pakistani","1.2"
"South East","Asian other","1.1"
"South East","Black","3.6"
"South East","Black African","2.2"
"South East","Black Caribbean","0.9"
"South East","Black other","0.5"
"South East","Mixed","2.4"
"South East","Mixed White/Asian","0.3"
"South East","Mixed White/Black African","0.4"
"South East","Mixed White/Black Caribbean","1.0"
"South East","Mixed other","0.7"
"South East","White","89.8"
"South East","White British","85.5"
"South East","White Irish","0.5"
"South East","White Gypsy/Traveller","0.2"
"South East","White other","3.7"
"South East","Other","0.9"
"South East","Arab","0.2"
"South East","Any other","0.7"
"South West","Asian","1.2"
"South West","Bangladeshi","0.2"
"South West","Chinese","0.1"
"South West","Indian","0.2"
"South West","Pakistani","0.2"
"South West","Asian other","0.4"
"South West","Black","2.7"
"South West","Black African","1.3"
"South West","Black Caribbean","0.8"
"South West","Black other","0.6"
"South West","Mixed","2.0"
"South West","Mixed White/Asian","0.3"
"South West","Mixed White/Black African","0.2"
"South West","Mixed White/Black Caribbean","1.0"
"South West","Mixed other","0.5"
"South West","White","93.4"
"South West","White British","89.9"
"South West","White Irish","0.4"
"South West","White Gypsy/Traveller","0.1"
"South West","White other","3.0"
"South West","Other","0.7"
"South West","Arab","0.1"
"South West","Any other","0.5"
