"Title","A* to C in English and Maths GCSE by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Grouping"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","63"," 177,753 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","74"," 768 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","19"," 26 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","10"," 377 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","56"," 11,146 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","63"," 9,414 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","53"," 2,798 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","61"," 1,079 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","73"," 2,180 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","65"," 3,357 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","67"," 21,835 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","76"," 6,782 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","58"," 8,163 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","67"," 2,972 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","70"," 3,918 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","56"," 10,594 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","47"," 2,710 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","61"," 6,594 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","51"," 1,290 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","78"," 966 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","61"," 3,182 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","51"," 2,465 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","All pupils","England","Country","E92000001","Boys","All other pupils","63"," 238,526 ","NA","NA","","Boys All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Girls","All other pupils","71"," 183,098 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","71"," 171,125 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","79"," 793 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","39"," 23 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","12"," 400 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","64"," 10,757 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Girls","All other pupils","71"," 9,214 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","64"," 2,742 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","69"," 1,079 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","79"," 2,177 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","73"," 3,216 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Girls","All other pupils","74"," 20,365 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","82"," 6,222 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","65"," 7,735 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","73"," 2,886 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","80"," 3,522 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Girls","All other pupils","68"," 10,786 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","62"," 2,817 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","71"," 6,669 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","65"," 1,300 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Girls","All other pupils","88"," 930 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","69"," 2,913 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","61"," 2,329 ","NA","NA","","Girls All other pupils"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","All pupils","England","Country","E92000001","Girls","All other pupils","71"," 229,635 ","NA","NA","","Girls All other pupils"
