"Title","A* to C in English and Maths GCSE by ethnicity and school type"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type"," Value "," Denominator "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Studio schools","33","927"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Studio schools","38","50"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Studio schools","37","70"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Studio schools","35","29"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Studio schools","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","State-funded special schools","1","8,235"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","State-funded special schools","1","403"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","703"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","517"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","18"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded schools","63","422,763"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded schools","63","22,868"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded schools","67","51,218"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded schools","59","27,924"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded schools","83","2,026"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","64","530,580"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","62","191,701"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Academies and free schools","65","337,452"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sponsored academies","53","85,080"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Converter academies","70","247,551"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Free schools","65","1,838"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","University technical colleges","51","1,864"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Studio schools","34","1,119"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","10","885"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","State-funded special schools","1","10,109"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded schools","63","540,689"
