"Title","Patient satisfaction with NHS dental services"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01773&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value_type","Denominator","Numerator","Lower CI","Upper CI","Unweighted Respondents","Note"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","White Gypsy or Irish Traveller","ONS 18+1","England","69.5","%","91.7","63.8","","","61","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Indian","ONS 18+1","England","76.5","%","5,321.20","4,073.00","","","5,789","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","White Irish","ONS 18+1","England","86.8","%","1,818.50","1,577.70","","","2,187","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Pakistani","ONS 18+1","England","76","%","4,285.10","3,257.70","","","4,073","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Mixed White/Asian","ONS 18+1","England","80","%","660.9","528.4","","","535","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Mixed White/Black African ","ONS 18+1","England","76.7","%","383.6","294.4","","","322","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Mixed White/Black Caribbean","ONS 18+1","England","80.9","%","790.6","639.7","","","625","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Unknown","ONS 18+1","England","78.1","%","2,597.60","2,027.90","","","2,756","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Black African","ONS 18+1","England","79","%","3,129.90","2,473.50","","","2,792","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Asian other","ONS 18+1","England","76.5","%","3,074.90","2,352.30","","","2,908","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Black other","ONS 18+1","England","78.4","%","921.1","722.6","","","959","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Other","ONS 18+1","England","76.6","%","6,417.10","4,915.40","","","6,018","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Mixed other","ONS 18+1","England","79.5","%","809.6","643.5","","","573","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","White other","ONS 18+1","England","74.4","%","11,691.10","8,696.50","","","9,526","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Arab","ONS 18+1","England","68.8","%","587.8","404.6","","","504","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 18+1","England","76.5","%","1,318.70","1,008.80","","","1,055","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Black Caribbean","ONS 18+1","England","85.3","%","1,947.40","1,660.20","","","2,278","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Chinese","ONS 18+1","England","73.7","%","1,431.20","1,055.30","","","1,111","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","White British","ONS 18+1","England","86.4","%","203,343.90","175,597.20","","","200,937","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","White Gypsy or Irish Traveller","ONS 18+1","England","87.2","%","83.4","72.8","","","61","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Indian","ONS 18+1","England","75.3","%","5,272.40","3,969.00","","","5,585","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","White Irish","ONS 18+1","England","85.2","%","1,972.60","1,680.20","","","2,355","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Pakistani","ONS 18+1","England","75.8","%","3,739.80","2,834.90","","","3,499","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Mixed White/Asian","ONS 18+1","England","82.7","%","726","600.4","","","504","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Mixed White/Black African ","ONS 18+1","England","79.4","%","348.6","276.8","","","310","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Mixed White/Black Caribbean","ONS 18+1","England","81","%","865.7","701.3","","","621","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Unknown","ONS 18+1","England","78.5","%","2,241.50","1,759.70","","","2,452","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Black African","ONS 18+1","England","78.9","%","3,067.40","2,421.70","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Asian other","ONS 18+1","England","75.6","%","3,018.00","2,280.70","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Black other","ONS 18+1","England","78.9","%","982.9","776","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Other","ONS 18+1","England","77","%","6,946.60","5,350.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Mixed other","ONS 18+1","England","73.3","%","718.9","526.9","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","White other","ONS 18+1","England","74.8","%","11,484.80","8,594.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Arab","ONS 18+1","England","73.6","%","528.1","388.7","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 18+1","England","77.4","%","1,310.70","1,014.70","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Black Caribbean","ONS 18+1","England","81.5","%","2,210.20","1,801.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Chinese","ONS 18+1","England","74.6","%","1,318.10","983.1","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","White British","ONS 18+1","England","85.8","%","216,624.20","185,757.80","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","White Gypsy or Irish Traveller","ONS 18+1","England","64.6","%","110.4","71.3","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Indian","ONS 18+1","England","76.8","%","5,217.00","4,007.40","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","White Irish","ONS 18+1","England","83.7","%","2,054.90","1,720.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Pakistani","ONS 18+1","England","76.8","%","3,995.50","3,066.60","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Mixed White/Asian","ONS 18+1","England","82.1","%","668.6","549.1","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Mixed White/Black African ","ONS 18+1","England","79.3","%","409.5","324.9","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Mixed White/Black Caribbean","ONS 18+1","England","84.1","%","880.2","740.4","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Unknown","ONS 18+1","England","75.4","%","2,021.30","1,524.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Black African","ONS 18+1","England","77.8","%","3,383.20","2,632.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Asian other","ONS 18+1","England","76.7","%","3,042.50","2,332.90","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Black other","ONS 18+1","England","80.2","%","1,093.10","876.3","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Other","ONS 18+1","England","77.9","%","7,197.80","5,607.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Mixed other","ONS 18+1","England","79.1","%","666.6","527","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","White other","ONS 18+1","England","73.9","%","12,016.60","8,874.80","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Arab","ONS 18+1","England","76.1","%","574.5","437","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 18+1","England","74.1","%","1,462.90","1,084.50","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Black Caribbean","ONS 18+1","England","80.6","%","2,377.70","1,915.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Chinese","ONS 18+1","England","73.2","%","1,389.20","1,017.20","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","White British","ONS 18+1","England","85.6","%","234,091.80","200,418.40","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","White Gypsy or Irish Traveller","ONS 18+1","England","77.5","%","118.7","91.9","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Indian","ONS 18+1","England","74.9","%","5,605.50","4,199.70","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","White Irish","ONS 18+1","England","83.6","%","2,207.40","1,845.20","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Pakistani","ONS 18+1","England","73.8","%","4,102.00","3,026.60","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Mixed White/Asian","ONS 18+1","England","77.7","%","851.1","661.4","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Mixed White/Black African ","ONS 18+1","England","73","%","377.9","275.9","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Mixed White/Black Caribbean","ONS 18+1","England","79.6","%","1,047.90","833.9","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Unknown","ONS 18+1","England","78.1","%","2,574.20","2,010.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Black African","ONS 18+1","England","77.7","%","3,592.30","2,791.10","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Asian other","ONS 18+1","England","74.8","%","3,423.60","2,561.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Black other","ONS 18+1","England","77.8","%","1,172.70","912.9","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Other","ONS 18+1","England","76.6","%","5,881.40","4,507.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Mixed other","ONS 18+1","England","74.8","%","742.9","556.1","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","White other","ONS 18+1","England","73.6","%","11,539.50","8,498.10","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Arab","ONS 18+1","England","72","%","561.8","404.7","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 18+1","England","76.5","%","1,536.00","1,175.40","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Black Caribbean","ONS 18+1","England","81.3","%","2,445.20","1,989.20","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Chinese","ONS 18+1","England","71.1","%","1,462.40","1,039.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","White British","ONS 18+1","England","85.1","%","232,140.30","197,533.30","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","White Gypsy or Irish Traveller","ONS 18+1","England","77.4","%","114.6","88.6","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Indian","ONS 18+1","England","73.3","%","5,774.90","4,234.50","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","White Irish","ONS 18+1","England","82.8","%","2,373.50","1,964.80","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Pakistani","ONS 18+1","England","75","%","4,259.20","3,194.00","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Mixed White/Asian","ONS 18+1","England","76.1","%","705.9","537","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Mixed White/Black African ","ONS 18+1","England","77.2","%","411","317.3","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Mixed White/Black Caribbean","ONS 18+1","England","77.6","%","881.3","684","","","","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Unknown","ONS 18+1","England","77.5","%","3,416.30","2,647.20","","","","No figures to report for upper and lower bounds"
