"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","England","Country","E92000001","Boys","eligible for free school meals","37","37080","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","England","Country","E92000001","Girls","eligible for free school meals","39","24311","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","England","Country","E92000001","Girls","eligible for free school meals","39","22784","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Girls","eligible for free school meals","41","98","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Girls","eligible for free school meals","27","32","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Girls","eligible for free school meals","22","173","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Girls","eligible for free school meals","45","1224","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","England","Country","E92000001","Girls","eligible for free school meals","44","2119","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Girls","eligible for free school meals","42","804","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Girls","eligible for free school meals","47","254","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Girls","eligible for free school meals","46","370","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Girls","eligible for free school meals","44","691","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","England","Country","E92000001","Girls","eligible for free school meals","49","4294","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Girls","eligible for free school meals","52","503","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Girls","eligible for free school meals","46","2140","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Girls","eligible for free school meals","51","1194","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Girls","eligible for free school meals","50","457","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","England","Country","E92000001","Girls","eligible for free school meals","47","3227","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Girls","eligible for free school meals","44","851","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","England","Country","E92000001","Girls","eligible for free school meals","49","2011","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Girls","eligible for free school meals","46","365","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","England","Country","E92000001","Girls","eligible for free school meals","62","63","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","England","Country","E92000001","Girls","eligible for free school meals","48","964","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","England","Country","E92000001","Girls","eligible for free school meals","40","470","NA","NA","","FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","England","Country","E92000001","Girls","eligible for free school meals","42","35448","NA","NA","","FSM Girls"
