"Title","Conviction Ratio by ethnicity and gender"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"Year","Ethnicity","Sex","%","Prosections","Convictions"
"2013","White","Not Known","57","554","317"
"2014","Asian","Female","71","943","666"
"2014","Black","Female","74","2,650","1,963"
"2014","Chinese and other","Female","84","443","372"
"2014","Mixed","Female","76","1,349","1,019"
"2014","Not stated","Female","77","10,326","7,924"
"2014","White","Female","81","37,325","30,288"
"2014","Asian","Male","75","15,718","11,740"
"2014","Black","Male","77","24,313","18,748"
"2014","Chinese and other","Male","79","3,175","2,518"
"2014","Mixed","Male","76","8,240","6,264"
"2014","Not stated","Male","77","35,009","27,097"
"2014","White","Male","82","209,231","170,947"
"2014","Asian","Not Known","41","75","31"
"2014","Black","Not Known","54","82","44"
"2014","Chinese and other","Not Known","56","9","5"
"2014","Mixed","Not Known","39","41","16"
"2014","Not stated","Not Known","56","4,555","2,542"
"2014","White","Not Known","59","653","384"
"2015","Asian","Female","70","934","658"
"2015","Black","Female","79","2,381","1,874"
"2015","Chinese and other","Female","90","398","358"
"2015","Mixed","Female","78","1,237","970"
"2015","Not stated","Female","81","10,244","8,328"
"2015","White","Female","84","32,811","27,529"
"2015","Asian","Male","78","14,395","11,277"
"2015","Black","Male","80","22,513","17,970"
"2015","Chinese and other","Male","84","2,982","2,502"
"2015","Mixed","Male","77","7,930","6,136"
"2015","Not stated","Male","81","36,971","29,839"
"2015","White","Male","85","183,928","155,334"
"2015","Asian","Not Known","38","97","37"
"2015","Black","Not Known","53","111","59"
"2015","Chinese and other","Not Known","53","19","10"
"2015","Mixed","Not Known","52","29","15"
"2015","Not stated","Not Known","54","4,790","2,596"
"2015","White","Not Known","57","559","320"
"2016","Asian","Female","73","871","634"
"2016","Black","Female","77","2,205","1,695"
"2016","Chinese and other","Female","76","371","281"
"2016","Mixed","Female","78","967","749"
"2016","Not stated","Female","83","9,529","7,892"
"2016","White","Female","85","28,088","23,882"
"2016","Asian","Male","81","13,753","11,176"
"2016","Black","Male","81","22,670","18,375"
"2016","Chinese and other","Male","82","2,692","2,211"
"2016","Mixed","Male","82","6,615","5,415"
"2016","Not stated","Male","83","41,612","34,680"
"2016","White","Male","86","156,777","135,218"
"2016","Asian","Not Known","38","92","35"
"2016","Black","Not Known","62","125","78"
"2016","Chinese and other","Not Known","64","14","9"
"2016","Mixed","Not Known","61","33","20"
"2016","Not stated","Not Known","56","4,773","2,680"
"2016","White","Not Known","65","538","349"
