"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/2016"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measurement","Ethnicity","Ethnicity type","Gender","FSM","Value","New grouping"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","ONS 18+1","Girls","FSM","76","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","ONS 18+1","Girls","FSM","84","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","ONS 18+1","Girls","FSM","81","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","ONS 18+1","Girls","FSM","77","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","ONS 18+1","Girls","FSM","81","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","ONS 18+1","Girls","FSM","84","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","ONS 18+1","Girls","FSM","80","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","ONS 18+1","Girls","FSM","83","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","ONS 18+1","Girls","FSM","83","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","ONS 18+1","Girls","FSM","82","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","ONS 18+1","Girls","FSM","80","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","ONS 18+1","Girls","FSM","84","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","ONS 18+1","Girls","FSM","78","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","ONS 18+1","Girls","FSM","86","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other - Any other","ONS 18+1","Girls","FSM","78","Girls eligible for free school meals"
