"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Ethnicity","Ethnicity type","Gender","FSM","Value","New grouping"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","DFE","Boys","FSM","60","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","DFE","Boys","FSM","57","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish Traveller","DFE","Boys","FSM","30","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","DFE","Boys","FSM","31","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","DFE","Boys","FSM","65","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","DFE","Boys","FSM","67","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","DFE","Boys","FSM","65","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","DFE","Boys","FSM","71","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","DFE","Boys","FSM","64","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","DFE","Boys","FSM","69","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","DFE","Boys","FSM","74","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","DFE","Boys","FSM","79","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","DFE","Boys","FSM","72","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","DFE","Boys","FSM","74","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","DFE","Boys","FSM","78","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","DFE","Boys","FSM","73","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","DFE","Boys","FSM","67","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","DFE","Boys","FSM","76","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","DFE","Boys","FSM","69","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","DFE","Boys","FSM","71","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other","DFE","Boys","FSM","74","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","DFE","Girls","Non-FSM","87","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish Traveller","DFE","Girls","Non-FSM","53","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","DFE","Girls","Non-FSM","40","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","DFE","Girls","Non-FSM","82","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","DFE","Girls","Non-FSM","88","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","DFE","Girls","Non-FSM","90","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","DFE","Girls","Non-FSM","88","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","DFE","Girls","Non-FSM","88","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","DFE","Girls","Non-FSM","92","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","DFE","Girls","Non-FSM","85","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","DFE","Girls","Non-FSM","87","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","DFE","Girls","Non-FSM","88","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","DFE","Girls","Non-FSM","87","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","DFE","Girls","Non-FSM","88","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","DFE","Girls","Non-FSM","86","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","DFE","Girls","Non-FSM","90","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other","DFE","Girls","Non-FSM","83","Non-FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","DFE","Girls","FSM","74","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","DFE","Girls","FSM","71","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","DFE","Girls","FSM","72","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","DFE","Girls","FSM","62","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish Traveller","DFE","Girls","FSM","41","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","DFE","Girls","FSM","44","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","DFE","Girls","FSM","74","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","DFE","Girls","FSM","78","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","DFE","Girls","FSM","76","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","DFE","Girls","FSM","84","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","DFE","Girls","FSM","81","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","DFE","Girls","FSM","77","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","DFE","Girls","FSM","81","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","DFE","Girls","FSM","84","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","DFE","Girls","FSM","80","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","DFE","Girls","FSM","83","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","DFE","Girls","FSM","83","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","DFE","Girls","FSM","82","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","DFE","Girls","FSM","80","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","DFE","Girls","FSM","84","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","DFE","Girls","FSM","78","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","DFE","Girls","FSM","86","FSM girls"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other","DFE","Girls","FSM","78","FSM girls"
