"Title","Phonics attainments for children aged 5 to 7 by ethnicity and free school meals (FSM)"
"Location","England"
"Time period","2015/2016"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Any other","ONS 18+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","80"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black","ONS 5+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","78"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Caribbean","ONS 18+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","74"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - African","ONS 18+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","80"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Any other","ONS 18+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","74"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Chinese","ONS 18+1/ONS 5+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","77"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Other - Any other","ONS 18+1","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","76"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","All","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White","ONS 5+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - British","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Irish","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","47"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","37"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Any other","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed","ONS 5+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - Any other","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian","ONS 5+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Indian","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Pakistani","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Any other","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black","ONS 5+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Caribbean","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - African","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Any other","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Chinese","ONS 18+1/ONS 5+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Other - Any other","ONS 18+1","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80"
