"Title","Employment by qualification level"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","78.40%","%","1118127","876943","79.50%","77.40%","5599"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","78.00%","%","145793","113720","83.20%","72.80%","610"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","71.90%","%","51121","36755","82.10%","61.70%","188"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","72.60%","%","64382","46758","81.40%","63.90%","248"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","74.90%","%","270621","202742","79.00%","70.80%","1084"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","77.70%","%","1390690","1080555","78.70%","76.70%","6688"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","49.10%","%","1,470,793","721,793","50.20%","48.00%","7,732"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","58.30%","%","165,609","96,631","64.10%","52.60%","697"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","40.70%","%","52,292","21,288","51.70%","29.70%","192"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","59.70%","%","56,348","33,658","70.10%","49.40%","215"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","54.50%","%","289,351","157,561","59.00%","49.90%","1,163"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","50.00%","%","1,761,061","879,888","51.00%","48.90%","8,900"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","68.60%","%","47900","32856","74.70%","62.50%","223"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","63.30%","%","59395","37596","69.20%","57.40%","260"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","79.90%","%","15,941,726","12,741,853","80.20%","79.60%","76,244"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","72.90%","%","159,319","116,125","78.50%","67.30%","606"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","79.10%","%","1,135,415","897,596","80.90%","77.20%","4,522"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","71.10%","%","442,819","314,914","74.60%","67.60%","1,589"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","75.40%","%","371,820","280,182","78.90%","71.80%","1,414"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","76.30%","%","2,109,373","1,608,817","77.70%","74.80%","8,131"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","79.50%","%","18,062,028","14,356,811","79.80%","79.20%","84,423"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.20%","%","5,709,118","4,691,422","82.60%","81.70%","28,810"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","76.10%","%","77,498","58,958","83.70%","68.40%","299"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","69.60%","%","452,632","314,815","72.80%","66.30%","1,923"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","76.90%","%","229,455","176,432","81.20%","72.60%","935"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","72.90%","%","187,396","136,530","77.80%","67.90%","777"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","72.50%","%","946,981","686,735","74.70%","70.30%","3,934"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.80%","%","6,660,572","5,382,199","81.20%","80.40%","32,768"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","78.20%","%","2,556,049","1,999,395","78.90%","77.50%","12,912"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","61.80%","%","32,246","19,938","74.90%","48.70%","132"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","56.30%","%","115,888","65,276","63.30%","49.40%","489"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","70.80%","%","73,415","51,959","79.10%","62.40%","286"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","55.40%","%","30,914","17,120","68.70%","42.00%","134"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","61.10%","%","252,462","154,292","65.80%","56.40%","1,041"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","76.70%","%","2,809,257","2,153,991","77.40%","76.00%","13,957"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","69.00%","%","3,121,531","2,152,441","69.70%","68.20%","16,408"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","65.30%","%","28,697","18,737","78.20%","52.40%","130"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","42.90%","%","129,036","55,329","49.30%","36.40%","569"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","55.30%","%","71,726","39,693","64.50%","46.10%","281"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","48.90%","%","30,681","15,012","62.50%","35.40%","131"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","49.50%","%","260,139","128,770","54.10%","44.90%","1,111"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","67.40%","%","3,383,923","2,282,243","68.10%","66.70%","17,528"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","59.40%","%","2,185,177","1,296,934","60.20%","58.50%","11,653"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","36.20%","%","94,032","34,022","43.30%","29.00%","433"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","47.00%","%","49,638","23,353","58.10%","36.00%","196"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","32.70%","%","25,426","8,309","47.20%","18.10%","100"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","38.90%","%","187,689","73,016","44.20%","33.60%","811"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","57.70%","%","2,374,146","1,370,873","58.60%","56.90%","12,469"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","64.20%","%","782084","502177","65.60%","62.80%","4330"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","36.90%","%","134500","49611","42.90%","30.80%","608"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","45.50%","%","47565","21639","56.50%","34.40%","195"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","47.70%","%","54054","25802","57.90%","37.60%","234"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","41.30%","%","247481","102121","45.90%","36.60%","1082"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","58.70%","%","1030798","604734","60.00%","57.40%","5417"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","34.00%","%","1,653,773","561,937","34.90%","33.00%","9,691"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","16.60%","%","189,807","31,498","20.40%","12.80%","933"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","28.10%","%","57,883","16,240","37.00%","19.20%","245"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","22.20%","%","56,037","12,467","30.60%","13.90%","240"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","19.80%","%","318,583","63,160","23.00%","16.60%","1,492"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","31.70%","%","1,972,938","625,097","32.50%","30.80%","11,187"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","56.70%","%","45100","25557","62.90%","50.40%","243"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","53.60%","%","56620","30355","59.40%","47.80%","284"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","70.00%","%","16,052,832","11,229,863","70.30%","69.60%","84,047"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","61.60%","%","183,774","113,164","67.00%","56.10%","765"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","49.40%","%","1,121,452","553,771","51.60%","47.20%","4,975"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","62.20%","%","531,257","330,243","65.40%","58.90%","2,143"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","55.80%","%","386,561","215,576","59.60%","51.90%","1,622"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","54.60%","%","2,223,044","1,212,754","56.10%","53.00%","9,505"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","68.10%","%","18,288,254","12,449,491","68.40%","67.80%","93,609"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","85.50%","%","10,967,790","9,372,082","85.80%","85.10%","52,705"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","81.00%","%","142,795","115,704","86.30%","75.80%","532"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.10%","%","938,539","751,334","82.10%","78.00%","3,779"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","79.70%","%","401,650","320,315","82.90%","76.60%","1,567"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","78.40%","%","354,965","278,300","81.80%","75.00%","1,422"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","79.70%","%","1,837,949","1,465,653","81.20%","78.30%","7,300"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","84.60%","%","12,814,535","10,845,290","84.90%","84.30%","60,049"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","81.60%","%","5,753,068","4,694,014","82.00%","81.10%","28,471"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","68.50%","%","58,432","40,006","77.90%","59.10%","234"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","68.30%","%","230,503","157,497","73.00%","63.60%","944"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","71.20%","%","126,373","90,034","77.70%","64.80%","478"
