"Title","Reading attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Region","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominators"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","26","%","898"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","6","%","323"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","2","%","1,243"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","22,636"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","23","%","19,275"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","16","%","4,939"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","22","%","2,772"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","28","%","4,602"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","24","%","6,962"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","19","%","34,773"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","27","%","9,412"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","14","%","14,430"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","19","%","5,175"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","22","%","5,756"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","18","%","18,178"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","3,419"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","20","%","12,246"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","2,513"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","29","%","1,539"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","6,053"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","14","%","3,876"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","All","All","Girls","All/Boys/Girls","27","%","313,344"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","27","%","232,742"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","28","%","209,001"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","35","%","827"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","3","%","281"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","4","%","1,174"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","21","%","21,459"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","30","%","18,616"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","23","%","4,869"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","28","%","2,731"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","36","%","4,275"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","31","%","6,741"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","26","%","33,539"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","36","%","9,023"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","20","%","13,728"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","25","%","5,208"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","29","%","5,580"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","26","%","17,620"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","21","%","3,399"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","27","%","11,865"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","24","%","2,356"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","36","%","1,444"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","20","%","5,718"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","19","%","3,665"
