"Measure","Time","Time_Type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Value","Denominator","Numerator","",""
"Percentage of people who were accepted as being statutorily homeless","2012/13","Financial Year","All","All","E92000001","Country","England","100","53770","53770","",""
"Percentage of people who were accepted as being statutorily homeless","2013/14","Financial Year","All","All","E92000001","Country","England","100","52290","52290","",""
"Percentage of people who were accepted as being statutorily homeless","2014/15","Financial Year","All","All","E92000001","Country","England","100","54430","54430","",""
"Percentage of people who were accepted as being statutorily homeless","2015/16","Financial Year","All","All","E92000001","Country","England","100","57730","57730","",""
"Percentage of people who were accepted as being statutorily homeless","2016/17","Financial Year","All","All","E92000002","Country","England","100","59110","59110","",""
"Percentage of people who were accepted as being statutorily homeless","2017/18","Financial Year","All","All","E92000003","Country","England","100","56580","56580","",""
"Percentage of people who were accepted as being statutorily homeless","2006/07","Financial Year","White","White","E92000001","Country","England","74","73360","54370","",""
"Percentage of people who were accepted as being statutorily homeless","2007/08","Financial Year","White","White","E92000001","Country","England","72","63170","45490","",""
"Percentage of people who were accepted as being statutorily homeless","2008/09","Financial Year","White","White","E92000001","Country","England","70","53430","37310","",""
"Percentage of people who were accepted as being statutorily homeless","2009/10","Financial Year","White","White","E92000001","Country","England","68","40020","27250","",""
"Percentage of people who were accepted as being statutorily homeless","2010/11","Financial Year","White","White","E92000001","Country","England","67","44160","29540","",""
"Percentage of people who were accepted as being statutorily homeless","2011/12","Financial Year","White","White","E92000001","Country","England","66","50290","33410","",""
"Percentage of people who were accepted as being statutorily homeless","2012/13","Financial Year","White","White","E92000001","Country","England","64","53770","34600","",""
"Percentage of people who were accepted as being statutorily homeless","2013/14","Financial Year","White","White","E92000001","Country","England","63","52290","32770","",""
"Percentage of people who were accepted as being statutorily homeless","2014/15","Financial Year","White","White","E92000001","Country","England","61","54430","33300","",""
"Percentage of people who were accepted as being statutorily homeless","2015/16","Financial Year","White","White","E92000001","Country","England","59","57730","34190","",""
"Percentage of people who were accepted as being statutorily homeless","2016/17","Financial Year","White","White","E92000001","Country","England","61","59110","35900","",""
"Percentage of people who were accepted as being statutorily homeless","2017/18","Financial Year","White","White","E92000002","Country","England","61","56580","35020","",""
"Percentage of people who were accepted as being statutorily homeless","2006/07","Financial Year","Unknown","Unknown","E92000001","Country","England","5","73360","3880","",""
"Percentage of people who were accepted as being statutorily homeless","2007/08","Financial Year","Unknown","Unknown","E92000001","Country","England","6","63170","3510","",""
"Percentage of people who were accepted as being statutorily homeless","2008/09","Financial Year","Unknown","Unknown","E92000001","Country","England","5","53430","2820","",""
"Percentage of people who were accepted as being statutorily homeless","2009/10","Financial Year","Unknown","Unknown","E92000001","Country","England","5","40020","1850","",""
"Percentage of people who were accepted as being statutorily homeless","2010/11","Financial Year","Unknown","Unknown","E92000001","Country","England","5","44160","2240","",""
"Percentage of people who were accepted as being statutorily homeless","2011/12","Financial Year","Unknown","Unknown","E92000001","Country","England","5","50290","2430","",""
"Percentage of people who were accepted as being statutorily homeless","2012/13","Financial Year","Unknown","Unknown","E92000001","Country","England","5","53770","2770","",""
"Percentage of people who were accepted as being statutorily homeless","2013/14","Financial Year","Unknown","Unknown","E92000001","Country","England","6","52290","2950","",""
"Percentage of people who were accepted as being statutorily homeless","2014/15","Financial Year","Unknown","Unknown","E92000001","Country","England","6","54430","3380","",""
"Percentage of people who were accepted as being statutorily homeless","2015/16","Financial Year","Unknown","Unknown","E92000001","Country","England","6","57730","3730","",""
"Percentage of people who were accepted as being statutorily homeless","2016/17","Financial Year","Unknown","Unknown","E92000001","Country","England","6","59110","3510","",""
"Percentage of people who were accepted as being statutorily homeless","2017/18","Financial Year","Unknown","Unknown","E92000002","Country","England","6","56580","3630","",""
